pt_graph met
365 2
417 2
468 2
469 2
515 2
519 2
520 2
521 2
628 2
803 2
977 2
1101 2
1163 2
1291 2
1357 2
1421 2
1422 2
1459 2
1463 2
1487 2
1488 2
1489 2
1529 2
1554 2
1555 2
1556 2
1557 2
1594 2
1596 2
1623 2
1671 2
1672 2
1674 2
1755 2
1783 2
1843 2
1925 2
1926 2
1958 2
2014 2
2044 2
2045 2
2126 2
2127 2
2128 2
2129 2
2130 2
2208 2
2210 2
2211 2
2265 2
2372 2
2452 2
2456 2
2542 2
2543 2
2602 2
2605 2
2629 2
2630 2
2687 2
2713 2
2714 2
2799 2
2883 2
2885 2
2966 2
2967 2
3053 2
3054 2
3137 2
3297 2
3378 2
3379 2
3458 2
3459 2
3538 2
3539 2
3540 2
3617 2
3618 2
3695 2
