pt_graph cpue_kghour
365 1.11
365 0
365 3.21
365 2.12
365 2
365 2.66
365 0
365 0.05
365 0.05
417 1.11
417 0
417 3.21
417 2.12
417 2
417 2.66
417 0
417 0.05
417 0.05
469 1.11
469 0
469 3.21
469 2.12
469 2
469 2.66
469 0
469 0.05
469 0.05
468 1.11
468 0
468 3.21
468 2.12
468 2
468 2.66
468 0
468 0.05
468 0.05
521 1.11
521 0
521 3.21
521 2.12
521 2
521 2.66
521 0
521 0.05
521 0.05
520 1.11
520 0
520 3.21
520 2.12
520 2
520 2.66
520 0
520 0.05
520 0.05
519 1.11
519 0
519 3.21
519 2.12
519 2
519 2.66
519 0
519 0.05
519 0.05
515 1.11
515 0
515 3.21
515 2.12
515 2
515 2.66
515 0
515 0.05
515 0.05
628 1.11
628 0
628 3.21
628 2.12
628 2
628 2.66
628 0
628 0.05
628 0.05
803 1.11
803 0
803 3.21
803 2.12
803 2
803 2.66
803 0
803 0.05
803 0.05
977 1.11
977 0
977 3.21
977 2.12
977 2
977 2.66
977 0
977 0.05
977 0.05
1101 1.11
1101 0
1101 3.21
1101 2.12
1101 2
1101 2.66
1101 0
1101 0.05
1101 0.05
1163 1.11
1163 0
1163 3.21
1163 2.12
1163 2
1163 2.66
1163 0
1163 0.05
1163 0.05
1291 1.11
1291 0
1291 3.21
1291 2.12
1291 2
1291 2.66
1291 0
1291 0.05
1291 0.05
1357 1.11
1357 0
1357 3.21
1357 2.12
1357 2
1357 2.66
1357 0
1357 0.05
1357 0.05
1422 1.11
1422 0
1422 3.21
1422 2.12
1422 2
1422 2.66
1422 0
1422 0.05
1422 0.05
1421 1.11
1421 0
1421 3.21
1421 2.12
1421 2
1421 2.66
1421 0
1421 0.05
1421 0.05
1489 1.11
1489 0
1489 3.21
1489 2.12
1489 2
1489 2.66
1489 0
1489 0.05
1489 0.05
1488 1.11
1488 0
1488 3.21
1488 2.12
1488 2
1488 2.66
1488 0
1488 0.05
1488 0.05
1487 1.11
1487 0
1487 3.21
1487 2.12
1487 2
1487 2.66
1487 0
1487 0.05
1487 0.05
1463 1.11
1463 0
1463 3.21
1463 2.12
1463 2
1463 2.66
1463 0
1463 0.05
1463 0.05
1459 1.11
1459 0
1459 3.21
1459 2.12
1459 2
1459 2.66
1459 0
1459 0.05
1459 0.05
1557 1.11
1557 0
1557 3.21
1557 2.12
1557 2
1557 2.66
1557 0
1557 0.05
1557 0.05
1556 1.11
1556 0
1556 3.21
1556 2.12
1556 2
1556 2.66
1556 0
1556 0.05
1556 0.05
1555 1.11
1555 0
1555 3.21
1555 2.12
1555 2
1555 2.66
1555 0
1555 0.05
1555 0.05
1554 1.11
1554 0
1554 3.21
1554 2.12
1554 2
1554 2.66
1554 0
1554 0.05
1554 0.05
1529 1.11
1529 0
1529 3.21
1529 2.12
1529 2
1529 2.66
1529 0
1529 0.05
1529 0.05
1623 1.11
1623 0
1623 3.21
1623 2.12
1623 2
1623 2.66
1623 0
1623 0.05
1623 0.05
1596 1.11
1596 0
1596 3.21
1596 2.12
1596 2
1596 2.66
1596 0
1596 0.05
1596 0.05
1594 1.11
1594 0
1594 3.21
1594 2.12
1594 2
1594 2.66
1594 0
1594 0.05
1594 0.05
1674 1.11
1674 0
1674 3.21
1674 2.12
1674 2
1674 2.66
1674 0
1674 0.05
1674 0.05
1672 1.11
1672 0
1672 3.21
1672 2.12
1672 2
1672 2.66
1672 0
1672 0.05
1672 0.05
1671 1.11
1671 0
1671 3.21
1671 2.12
1671 2
1671 2.66
1671 0
1671 0.05
1671 0.05
1783 1.11
1783 0
1783 3.21
1783 2.12
1783 2
1783 2.66
1783 0
1783 0.05
1783 0.05
1755 1.11
1755 0
1755 3.21
1755 2.12
1755 2
1755 2.66
1755 0
1755 0.05
