pt_graph cpue_kghour
4976 1.09
4976 3.9
4976 5.65
4976 2.56
4976 2.62
4976 2.8
4976 0
4976 1.51
4976 0
5544 1.09
5544 3.9
5544 5.65
5544 2.56
5544 2.62
5544 2.8
5544 0
5544 1.51
5544 0
6322 1.09
6322 3.9
6322 5.65
6322 2.56
6322 2.62
6322 2.8
6322 0
6322 1.51
6322 0
6323 1.09
6323 3.9
6323 5.65
6323 2.56
6323 2.62
6323 2.8
6323 0
6323 1.51
6323 0
6383 1.09
6383 3.9
6383 5.65
6383 2.56
6383 2.62
6383 2.8
6383 0
6383 1.51
6383 0
6444 1.09
6444 3.9
6444 5.65
6444 2.56
6444 2.62
6444 2.8
6444 0
6444 1.51
6444 0
6506 1.09
6506 3.9
6506 5.65
6506 2.56
6506 2.62
6506 2.8
6506 0
6506 1.51
6506 0
6567 1.09
6567 3.9
6567 5.65
6567 2.56
6567 2.62
6567 2.8
6567 0
6567 1.51
6567 0
6687 1.09
6687 3.9
6687 5.65
6687 2.56
6687 2.62
6687 2.8
6687 0
6687 1.51
6687 0
6864 1.09
6864 3.9
6864 5.65
6864 2.56
6864 2.62
6864 2.8
6864 0
6864 1.51
6864 0
6981 1.09
6981 3.9
6981 5.65
6981 2.56
6981 2.62
6981 2.8
6981 0
6981 1.51
6981 0
7290 1.09
7290 3.9
7290 5.65
7290 2.56
7290 2.62
7290 2.8
7290 0
7290 1.51
7290 0
7467 1.09
7467 3.9
7467 5.65
7467 2.56
7467 2.62
7467 2.8
7467 0
7467 1.51
7467 0
7599 1.09
7599 3.9
7599 5.65
7599 2.56
7599 2.62
7599 2.8
7599 0
7599 1.51
7599 0
7666 1.09
7666 3.9
7666 5.65
7666 2.56
7666 2.62
7666 2.8
7666 0
7666 1.51
7666 0
7929 1.09
7929 3.9
7929 5.65
7929 2.56
7929 2.62
7929 2.8
7929 0
7929 1.51
7929 0
7991 1.09
7991 3.9
7991 5.65
7991 2.56
7991 2.62
7991 2.8
7991 0
7991 1.51
7991 0
8056 1.09
8056 3.9
8056 5.65
8056 2.56
8056 2.62
8056 2.8
8056 0
8056 1.51
8056 0
8057 1.09
8057 3.9
8057 5.65
8057 2.56
8057 2.62
8057 2.8
8057 0
8057 1.51
8057 0
8412 1.09
8412 3.9
8412 5.65
8412 2.56
8412 2.62
8412 2.8
8412 0
8412 1.51
8412 0
8508 1.09
8508 3.9
8508 5.65
8508 2.56
8508 2.62
8508 2.8
8508 0
8508 1.51
8508 0
8509 1.09
8509 3.9
8509 5.65
8509 2.56
8509 2.62
8509 2.8
8509 0
8509 1.51
8509 0
8559 1.09
8559 3.9
8559 5.65
8559 2.56
8559 2.62
8559 2.8
8559 0
8559 1.51
8559 0
8560 1.09
8560 3.9
8560 5.65
8560 2.56
8560 2.62
8560 2.8
8560 0
8560 1.51
8560 0
8561 1.09
8561 3.9
8561 5.65
8561 2.56
8561 2.62
8561 2.8
8561 0
8561 1.51
8561 0
8610 1.09
8610 3.9
8610 5.65
8610 2.56
8610 2.62
8610 2.8
8610 0
8610 1.51
8610 0
8612 1.09
8612 3.9
8612 5.65
8612 2.56
8612 2.62
8612 2.8
8612 0
8612 1.51
8612 0
8622 1.09
8622 3.9
8622 5.65
8622 2.56
8622 2.62
8622 2.8
8622 0
8622 1.51
8622 0
8655 1.09
8655 3.9
8655 5.65
8655 2.56
8655 2.62
8655 2.8
8655 0
8655 1.51
8655 0
8657 1.09
8657 3.9
8657 5.65
8657 2.56
8657 2.62
8657 2.8
8657 0
8657 1.51
8657 0
8667 1.09
8667 3.9
8667 5.65
8667 2.56
8667 2.62
8667 2.8
8667 0
8667 1.51
8667 0
8699 1.09
8699 3.9
8699 5.65
