pt_graph freq
4869 1
6196 1
6256 1
6262 1
6322 1
6382 1
6383 1
6443 1
6497 1
6567 1
6628 1
6747 1
6865 1
6981 1
7226 1
7227 1
7353 1
7468 1
7545 1
7599 1
7609 1
7666 1
7674 1
7739 1
7803 1
7867 1
7992 1
8412 1
8413 1
8454 1
8520 1
8560 1
8561 1
8610 1
8612 1
8620 1
8621 1
8656 1
8657 1
8666 1
8699 1
8700 1
8701 1
8743 1
8744 1
8745 1
8755 1
8789 1
8796 1
8835 1
8841 1
8881 1
8882 1
8887 1
8888 1
8924 1
8925 1
8926 1
8968 1
9049 1
9079 1
9081 1
9129 1
9130 1
9132 1
9161 1
9168 1
9169 1
9171 1
9173 1
9214 1
9215 1
9216 1
9254 1
9258 1
9259 1
9307 1
9308 1
9309 1
9360 1
9362 1
9415 1
9419 1
9469 1
9471 1
9472 1
9530 1
9531 1
9533 1
9534 1
9536 1
9583 1
9584 1
9600 1
9601 1
9602 1
9604 1
9607 1
9653 1
9674 1
9675 1
9680 1
9684 1
9730 1
9749 1
9752 1
9753 1
9754 1
9755 1
9759 1
9761 1
9762 1
9764 1
9817 1
9827 1
9828 1
9829 1
9831 1
9834 1
9835 1
9839 1
9840 1
9843 1
9844 1
9845 1
9846 1
9900 1
9904 1
9913 1
9915 1
9916 1
9922 1
9987 1
9991 1
9993 1
9994 1
9995 1
9997 1
10000 1
10002 1
10006 1
10008 1
10009 1
10077 1
10086 1
10087 1
10088 1
10089 1
10090 1
10091 1
10092 1
10154 1
10155 1
10157 1
10158 1
10164 1
10167 1
10172 1
10173 1
10245 1
10250 1
10255 1
10256 1
10257 1
10258 1
10319 1
10323 1
10330 1
10332 1
10334 1
10338 1
10405 1
10411 1
10417 1
10420 1
10422 1
10424 1
10425 1
10427 1
10504 1
10506 1
10510 1
10515 1
10516 1
10517 1
10518 1
10519 1
10522 1
10524 1
10602 1
10603 1
10610 1
10611 1
10613 1
10614 1
10615 1
10616 1
10617 1
10618 1
10619 1
10620 1
10623 1
10699 1
10700 1
10707 1
10708 1
10709 1
10712 1
10716 1
10717 1
10720 1
10721 1
10802 1
10815 1
10820 1
10821 1
10822 1
10823 1
10902 1
10912 1
10913 1
10915 1
10918 1
10919 1
10920 1
10922 1
10923 1
10924 1
10925 1
11014 1
11018 1
11020 1
11021 1
11022 1
11023 1
11025 1
11026 1
11027 1
11028 1
11030 1
11031 1
11032 1
11033 1
11121 1
11127 1
11128 1
11129 1
11130 1
11131 1
11133 1
11136 1
11137 1
11139 1
11140 1
11141 1
11143 1
11241 1
11242 1
11249 1
11250 1
11253 1
11254 1
11255 1
11256 1
11259 1
11260 1
11262 1
11264 1
11363 1
11364 1
11367 1
11369 1
11370 1
11371 1
11378 1
11380 1
11382 1
11383 1
11384 1
11385 1
11386 1
11490 1
11496 1
11497 1
11502 1
11503 1
11505 1
11507 1
11508 1
11509 1
11510 1
11511 1
11512 1
11612 1
11616 1
11617 1
11621 1
11624 1
11625 1
11630 1
11631 1
11632 1
11633 1
11634 1
11635 1
11636 1
11639 1
11640 1
11658 1
11747 1
11753 1
11754 1
11759 1
11760 1
11762 1
11763 1
11764 1
11765 1
11766 1
11767 1
11769 1
11881 1
11883 1
11888 1
11889 1
11892 1
11894 1
11897 1
11898 1
11899 1
11900 1
12001 1
12003 1
12004 1
12010 1
12012 1
12013 1
12014 1
12015 1
12016 1
12017 1
12018 1
12019 1
12022 1
12023 1
12024 1
12121 1
12125 1
12127 1
12128 1
12131 1
12132 1
12133 1
12134 1
12245 1
12247 1
12248 1
12249 1
12251 1
12254 1
12257 1
12373 1
12375 1
12378 1
12379 1
12382 1
12385 1
12387 1
12510 1
12511 1
12512 1
12514 1
12518 1
12642 1
12644 1
12752 1
12760 1
12761 1
12762 1
12764 1
12870 1
12878 1
12879 1
12880 1
12999 1
13003 1
13113 1
13114 1
13218 1
13219 1
13220 1
13221 1
13314 1
13316 1
13395 1
13398 1
13400 1
13475 1
13476 1
13479 1
13480 1
13481 1
13546 1
13549 1
13550 1
13551 1
13552 1
13608 1
13609 1
13610 1
13611 1
13664 1
13670 1
13714 1
13717 1
13721 1
13722 1
13723 1
13772 1
13776 1
13777 1
13779 1
13830 1
13887 1
19523 1
