pt_graph shape
7670 1
7670 1
7670 1
7670 1
7670 1
7670 1
7670 1
7670 1
7670 1
7672 1
7672 1
7672 1
7672 1
7672 1
7672 1
7672 1
7672 1
7672 1
7795 1
7795 1
7795 1
7795 1
7795 1
7795 1
7795 1
7795 1
7795 1
7857 1
7857 1
7857 1
7857 1
7857 1
7857 1
7857 1
7857 1
7857 1
7858 1
7858 1
7858 1
7858 1
7858 1
7858 1
7858 1
7858 1
7858 1
7859 1
7859 1
7859 1
7859 1
7859 1
7859 1
7859 1
7859 1
7859 1
7923 1
7923 1
7923 1
7923 1
7923 1
7923 1
7923 1
7923 1
7923 1
7997 1
7997 1
7997 1
7997 1
7997 1
7997 1
7997 1
7997 1
7997 1
8058 1
8058 1
8058 1
8058 1
8058 1
8058 1
8058 1
8058 1
8058 1
8120 1
8120 1
8120 1
8120 1
8120 1
8120 1
8120 1
8120 1
8120 1
8284 1
8284 1
8284 1
8284 1
8284 1
8284 1
8284 1
8284 1
8284 1
8570 1
8570 1
8570 1
8570 1
8570 1
8570 1
8570 1
8570 1
8570 1
8663 1
8663 1
8663 1
8663 1
8663 1
8663 1
8663 1
8663 1
8663 1
8711 1
8711 1
8711 1
8711 1
8711 1
8711 1
8711 1
8711 1
8711 1
8974 1
8974 1
8974 1
8974 1
8974 1
8974 1
8974 1
8974 1
8974 1
9013 1
9013 1
9013 1
9013 1
9013 1
9013 1
9013 1
9013 1
9013 1
