pt_graph met
7101 1
7166 1
7229 1
7291 1
7292 1
7354 1
7355 1
7415 1
7419 1
7483 1
7547 1
7738 1
7741 1
7805 1
7806 1
7868 1
7869 1
7870 1
7925 1
7928 1
7929 1
7931 1
7933 1
7991 1
7993 1
7994 1
7995 1
7997 1
8034 1
8055 1
8060 1
8061 1
8117 1
8120 1
8122 1
8123 1
8161 1
8178 1
8180 1
8181 1
8182 1
8183 1
8184 1
8186 1
8219 1
8240 1
8241 1
8242 1
8243 1
8244 1
8245 1
8246 1
8280 1
8282 1
8302 1
8303 1
8304 1
8336 1
8338 1
8341 1
8355 1
8356 1
8359 1
8392 1
8393 1
8394 1
8395 1
8396 1
8414 1
8445 1
8446 1
8447 1
8448 1
8449 1
8450 1
8451 1
8499 1
8500 1
8501 1
8502 1
8503 1
8522 1
8552 1
8553 1
8554 1
8558 1
8573 1
8603 1
8670 1
8713 1
8748 1
8756 1
8757 1
8787 1
8801 1
8802 1
8803 1
8847 1
8888 1
8889 1
8890 1
8891 1
8892 1
8929 1
8931 1
8932 1
8933 1
8934 1
8935 1
8970 1
8972 1
8973 1
8974 1
9089 1
9091 1
9092 1
9128 1
9132 1
9133 1
9263 1
9362 1
9363 1
9420 1
9477 1
9478 1
9479 1
9480 1
9541 1
9542 1
9543 1
9613 1
