pt_graph cpue_kghour
15028 1.09
15028 3.9
15028 5.82
15028 2.59
15028 2.63
15028 2.9
15028 0.1
15028 1.51
15028 0.19
15055 1.09
15055 3.9
15055 5.82
15055 2.59
15055 2.63
15055 2.9
15055 0.1
15055 1.51
15055 0.19
15087 1.09
15087 3.9
15087 5.82
15087 2.59
15087 2.63
15087 2.9
15087 0.1
15087 1.51
15087 0.19
15124 1.09
15124 3.9
15124 5.82
15124 2.59
15124 2.63
15124 2.9
15124 0.1
15124 1.51
15124 0.19
15125 1.09
15125 3.9
15125 5.82
15125 2.59
15125 2.63
15125 2.9
15125 0.1
15125 1.51
15125 0.19
15162 1.09
15162 3.9
15162 5.82
15162 2.59
15162 2.63
15162 2.9
15162 0.1
15162 1.51
15162 0.19
15208 1.09
15208 3.9
15208 5.82
15208 2.59
15208 2.63
15208 2.9
15208 0.1
15208 1.51
15208 0.19
15253 1.09
15253 3.9
15253 5.82
15253 2.59
15253 2.63
15253 2.9
15253 0.1
15253 1.51
15253 0.19
15255 1.09
15255 3.9
15255 5.82
15255 2.59
15255 2.63
15255 2.9
15255 0.1
15255 1.51
15255 0.19
15310 1.09
15310 3.9
15310 5.82
15310 2.59
15310 2.63
15310 2.9
15310 0.1
15310 1.51
15310 0.19
15311 1.09
15311 3.9
15311 5.82
15311 2.59
15311 2.63
15311 2.9
15311 0.1
15311 1.51
15311 0.19
15312 1.09
15312 3.9
15312 5.82
15312 2.59
15312 2.63
15312 2.9
15312 0.1
15312 1.51
15312 0.19
15365 1.09
15365 3.9
15365 5.82
15365 2.59
15365 2.63
15365 2.9
15365 0.1
15365 1.51
15365 0.19
15366 1.09
15366 3.9
15366 5.82
15366 2.59
15366 2.63
15366 2.9
15366 0.1
15366 1.51
15366 0.19
15415 1.09
15415 3.9
15415 5.82
15415 2.59
15415 2.63
15415 2.9
15415 0.1
15415 1.51
15415 0.19
15424 1.09
15424 3.9
15424 5.82
15424 2.59
15424 2.63
15424 2.9
15424 0.1
15424 1.51
15424 0.19
15426 1.09
15426 3.9
15426 5.82
15426 2.59
15426 2.63
15426 2.9
15426 0.1
15426 1.51
15426 0.19
15427 1.09
15427 3.9
15427 5.82
15427 2.59
15427 2.63
15427 2.9
15427 0.1
15427 1.51
15427 0.19
15480 1.09
15480 3.9
15480 5.82
15480 2.59
15480 2.63
15480 2.9
15480 0.1
15480 1.51
15480 0.19
15491 1.09
15491 3.9
15491 5.82
15491 2.59
15491 2.63
15491 2.9
15491 0.1
15491 1.51
15491 0.19
15552 1.09
15552 3.9
15552 5.82
15552 2.59
15552 2.63
15552 2.9
15552 0.1
15552 1.51
15552 0.19
15555 1.09
15555 3.9
15555 5.82
15555 2.59
15555 2.63
15555 2.9
15555 0.1
15555 1.51
15555 0.19
15608 1.09
15608 3.9
15608 5.82
15608 2.59
15608 2.63
15608 2.9
15608 0.1
15608 1.51
15608 0.19
15611 1.09
15611 3.9
15611 5.82
15611 2.59
15611 2.63
15611 2.9
15611 0.1
15611 1.51
15611 0.19
15618 1.09
15618 3.9
15618 5.82
15618 2.59
15618 2.63
15618 2.9
15618 0.1
15618 1.51
15618 0.19
15619 1.09
15619 3.9
15619 5.82
15619 2.59
15619 2.63
15619 2.9
15619 0.1
15619 1.51
15619 0.19
15683 1.09
15683 3.9
15683 5.82
15683 2.59
15683 2.63
15683 2.9
15683 0.1
15683 1.51
15683 0.19
15748 1.09
15748 3.9
15748 5.82
15748 2.59
15748 2.63
15748 2.9
15748 0.1
15748 1.51
15748 0.19
15750 1.09
15750 3.9
15750 5.82
