pt_graph freq
17080 1
17160 1
17166 1
17203 1
17207 1
17245 1
17246 1
17248 1
17249 1
17282 1
17284 1
17285 1
17286 1
17288 1
17289 1
17317 1
17320 1
17321 1
17353 1
17354 1
17355 1
17356 1
17357 1
17360 1
17361 1
17362 1
17387 1
17388 1
17389 1
17392 1
17418 1
17419 1
17420 1
17421 1
17422 1
17424 1
17450 1
17451 1
17452 1
17453 1
17454 1
17456 1
17485 1
17486 1
17487 1
17488 1
17489 1
17490 1
17494 1
17522 1
17524 1
17525 1
17526 1
17527 1
17528 1
17529 1
17531 1
17563 1
17565 1
17566 1
17568 1
17569 1
17570 1
17571 1
17572 1
17575 1
17604 1
17605 1
17606 1
17607 1
17608 1
17609 1
17611 1
17612 1
17614 1
17616 1
17617 1
17618 1
17621 1
17645 1
17646 1
17647 1
17648 1
17655 1
17656 1
17657 1
17661 1
17665 1
17692 1
17693 1
17695 1
17696 1
17697 1
17698 1
17701 1
17702 1
17704 1
17707 1
17708 1
17737 1
17739 1
17741 1
17743 1
17746 1
17749 1
17750 1
17751 1
17752 1
17788 1
17790 1
17791 1
17793 1
17796 1
17797 1
17798 1
17832 1
17833 1
17835 1
17836 1
17838 1
17839 1
17840 1
17841 1
17843 1
17845 1
17870 1
17879 1
17880 1
17882 1
17883 1
17884 1
17885 1
17886 1
17887 1
17891 1
17918 1
17926 1
17929 1
17930 1
17931 1
17932 1
17933 1
17934 1
17935 1
17937 1
17939 1
17941 1
17969 1
17973 1
17974 1
17976 1
17977 1
17978 1
17979 1
17980 1
17981 1
17984 1
17987 1
18014 1
18020 1
18021 1
18022 1
18024 1
18025 1
18026 1
18027 1
18028 1
18029 1
18030 1
18058 1
18067 1
18069 1
18070 1
18071 1
18072 1
18074 1
18075 1
18114 1
18115 1
18116 1
18117 1
18118 1
18119 1
18120 1
18123 1
18125 1
18152 1
18161 1
18165 1
18166 1
18167 1
18168 1
18170 1
18173 1
18210 1
18212 1
18213 1
18214 1
18215 1
18216 1
18218 1
18219 1
18220 1
18221 1
18222 1
18223 1
18225 1
18259 1
18260 1
18261 1
18262 1
18263 1
18264 1
18265 1
18266 1
18267 1
18268 1
18269 1
18270 1
18298 1
18301 1
18302 1
18306 1
18307 1
18308 1
18309 1
18310 1
18311 1
18312 1
18313 1
18314 1
18315 1
18316 1
18346 1
18349 1
18350 1
18351 1
18352 1
18353 1
18354 1
18355 1
18356 1
18357 1
18383 1
18386 1
18388 1
18389 1
18390 1
18391 1
18392 1
18415 1
18419 1
18420 1
18421 1
18422 1
18423 1
18424 1
18425 1
18449 1
18451 1
18452 1
18453 1
18454 1
18455 1
18457 1
18458 1
18459 1
18460 1
18461 1
18485 1
18486 1
18487 1
18489 1
18491 1
18492 1
18493 1
18494 1
18515 1
18519 1
18521 1
18523 1
18524 1
18548 1
18549 1
18550 1
18551 1
18575 1
18576 1
18577 1
18578 1
18579 1
18580 1
18581 1
18602 1
18603 1
18604 1
18606 1
18607 1
18608 1
18629 1
18630 1
18631 1
18632 1
18633 1
18634 1
18635 1
18636 1
18637 1
18663 1
18664 1
18665 1
18666 1
18669 1
18670 1
18695 1
18696 1
18697 1
18698 1
18699 1
18700 1
18701 1
18702 1
18703 1
18704 1
18705 1
18706 1
18707 1
18710 1
18711 1
18712 1
18736 1
18741 1
18742 1
18743 1
18744 1
18745 1
18746 1
18747 1
18748 1
18749 1
18750 1
18751 1
18752 1
18753 1
18755 1
18783 1
18785 1
18786 1
18787 1
18788 1
18789 1
18790 1
18791 1
18792 1
18793 1
18794 1
18795 1
18796 1
18797 1
18798 1
18800 1
18827 1
18829 1
18831 1
18833 1
18834 1
18836 1
18838 1
18840 1
18841 1
18842 1
18845 1
18846 1
18871 1
18874 1
18876 1
18877 1
18878 1
18880 1
18885 1
18911 1
18912 1
18915 1
18916 1
18917 1
18918 1
18921 1
18922 1
18923 1
18926 1
18954 1
18957 1
18961 1
18963 1
18965 1
18994 1
18996 1
18997 1
18999 1
19000 1
19003 1
19032 1
19036 1
19037 1
19038 1
19039 1
19071 1
19072 1
