pt_graph met
16273 2
16405 2
16413 2
16623 2
16627 2
16632 2
16640 2
16686 2
16712 2
16766 2
16810 2
16825 2
16828 2
16878 2
17000 2
17032 2
17047 2
17078 2
17085 2
17117 2
17170 2
17247 2
17251 2
17255 2
17284 2
17381 2
17414 2
17421 2
17430 2
17446 2
17454 2
17529 2
17604 2
17605 2
17608 2
17610 2
17620 2
17663 2
17665 2
17708 2
17830 2
17836 2
17839 2
17935 2
17966 2
17968 2
17978 2
18015 2
18021 2
18059 2
18118 2
18120 2
18128 2
18152 2
18153 2
18167 2
18170 2
18215 2
18217 2
18219 2
18296 2
18316 2
18341 2
18349 2
18410 2
18447 2
18450 2
18476 2
18491 2
18550 2
18581 2
18598 2
18637 2
18670 2
18699 2
18738 2
18747 2
18751 2
18778 2
18795 2
18845 2
18867 2
18884 2
18885 2
18899 2
18919 2
18952 2
18956 2
18985 2
18990 2
19002 2
19033 2
19092 2
19236 2
