pt_graph shape
9618 1
9618 1
9618 1
9618 1
9618 1
9618 1
9618 1
9618 1
9618 1
9695 1
9695 1
9695 1
9695 1
9695 1
9695 1
9695 1
9695 1
9695 1
9771 1
9771 1
9771 1
9771 1
9771 1
9771 1
9771 1
9771 1
9771 1
9853 1
9853 1
9853 1
9853 1
9853 1
9853 1
9853 1
9853 1
9853 1
10103 1
10103 1
10103 1
10103 1
10103 1
10103 1
10103 1
10103 1
10103 1
10102 1
10102 1
10102 1
10102 1
10102 1
10102 1
10102 1
10102 1
10102 1
10264 1
10264 1
10264 1
10264 1
10264 1
10264 1
10264 1
10264 1
10264 1
10455 1
10455 1
10455 1
10455 1
10455 1
10455 1
10455 1
10455 1
10455 1
10552 1
10552 1
10552 1
10552 1
10552 1
10552 1
10552 1
10552 1
10552 1
10659 1
10659 1
10659 1
10659 1
10659 1
10659 1
10659 1
10659 1
10659 1
10650 1
10650 1
10650 1
10650 1
10650 1
10650 1
10650 1
10650 1
10650 1
11080 1
11080 1
11080 1
11080 1
11080 1
11080 1
11080 1
11080 1
11080 1
11311 1
11311 1
11311 1
11311 1
11311 1
11311 1
11311 1
11311 1
11311 1
11446 1
11446 1
11446 1
11446 1
11446 1
11446 1
11446 1
11446 1
11446 1
11575 1
11575 1
11575 1
11575 1
11575 1
11575 1
11575 1
11575 1
11575 1
11702 1
11702 1
11702 1
11702 1
11702 1
11702 1
11702 1
11702 1
11702 1
11830 1
11830 1
11830 1
11830 1
11830 1
11830 1
11830 1
11830 1
11830 1
12084 1
12084 1
12084 1
12084 1
12084 1
12084 1
12084 1
12084 1
12084 1
12208 1
12208 1
12208 1
12208 1
12208 1
12208 1
12208 1
12208 1
12208 1
12584 1
12584 1
12584 1
12584 1
12584 1
12584 1
12584 1
12584 1
12584 1
12577 1
12577 1
12577 1
12577 1
12577 1
12577 1
12577 1
12577 1
12577 1
13067 1
13067 1
13067 1
13067 1
13067 1
13067 1
13067 1
13067 1
13067 1
13064 1
13064 1
13064 1
13064 1
13064 1
13064 1
13064 1
13064 1
13064 1
13061 1
13061 1
13061 1
13061 1
13061 1
13061 1
13061 1
13061 1
13061 1
13265 1
13265 1
13265 1
13265 1
13265 1
13265 1
13265 1
13265 1
13265 1
