pt_graph met
9545 2
9546 2
9547 2
9616 2
9617 2
9618 2
9619 2
9620 2
9621 2
9622 2
9623 2
9692 2
9693 2
9694 2
9695 2
9696 2
9698 2
9699 2
9700 2
9769 2
9770 2
9772 2
9773 2
9774 2
9775 2
9776 2
9777 2
9778 2
9851 2
9853 2
9854 2
9855 2
9856 2
9857 2
9858 2
9859 2
9860 2
9938 2
9939 2
9940 2
9941 2
10014 2
10015 2
10020 2
10021 2
10022 2
10097 2
10098 2
10099 2
10185 2
10186 2
10262 2
10263 2
10265 2
10359 2
10360 2
10432 2
10446 2
10450 2
10451 2
10453 2
10454 2
10549 2
10551 2
10554 2
10555 2
10656 2
10660 2
10752 2
10753 2
10764 2
10827 2
10853 2
10933 2
10965 2
11041 2
11043 2
11044 2
11074 2
11081 2
11158 2
11189 2
11193 2
11311 2
11315 2
11320 2
11324 2
11325 2
11326 2
11404 2
11405 2
11440 2
11444 2
11446 2
11448 2
11451 2
11452 2
11453 2
11454 2
11455 2
11573 2
11574 2
11580 2
11581 2
11582 2
11583 2
11584 2
11702 2
11707 2
11710 2
11711 2
11712 2
11799 2
11832 2
11833 2
11834 2
11835 2
11840 2
11841 2
11962 2
11963 2
11964 2
12086 2
12201 2
12202 2
12203 2
12327 2
12332 2
12333 2
12336 2
12459 2
12460 2
12462 2
12466 2
12467 2
12588 2
12589 2
12591 2
12592 2
12596 2
12597 2
12598 2
12710 2
12711 2
12715 2
12716 2
12719 2
12720 2
12830 2
12832 2
12833 2
12834 2
12835 2
12838 2
12947 2
12953 2
12956 2
12957 2
13061 2
13063 2
13064 2
13065 2
13066 2
13067 2
13068 2
13171 2
13259 2
13260 2
13261 2
13262 2
13265 2
13347 2
13348 2
13349 2
13350 2
13351 2
13428 2
13429 2
13430 2
13431 2
13432 2
