pt_graph cpue_kghour
9547 1.24
9547 0
9547 3.06
9547 2.54
9547 3.52
9547 2.96
9547 0
9547 0
9547 0
9546 1.24
9546 0
9546 3.06
9546 2.54
9546 3.52
9546 2.96
9546 0
9546 0
9546 0
9545 1.24
9545 0
9545 3.06
9545 2.54
9545 3.52
9545 2.96
9545 0
9545 0
9545 0
9623 1.24
9623 0
9623 3.06
9623 2.54
9623 3.52
9623 2.96
9623 0
9623 0
9623 0
9622 1.24
9622 0
9622 3.06
9622 2.54
9622 3.52
9622 2.96
9622 0
9622 0
9622 0
9621 1.24
9621 0
9621 3.06
9621 2.54
9621 3.52
9621 2.96
9621 0
9621 0
9621 0
9620 1.24
9620 0
9620 3.06
9620 2.54
9620 3.52
9620 2.96
9620 0
9620 0
9620 0
9619 1.24
9619 0
9619 3.06
9619 2.54
9619 3.52
9619 2.96
9619 0
9619 0
9619 0
9618 1.24
9618 0
9618 3.06
9618 2.54
9618 3.52
9618 2.96
9618 0
9618 0
9618 0
9617 1.24
9617 0
9617 3.06
9617 2.54
9617 3.52
9617 2.96
9617 0
9617 0
9617 0
9616 1.24
9616 0
9616 3.06
9616 2.54
9616 3.52
9616 2.96
9616 0
9616 0
9616 0
9700 1.24
9700 0
9700 3.06
9700 2.54
9700 3.52
9700 2.96
9700 0
9700 0
9700 0
9699 1.24
9699 0
9699 3.06
9699 2.54
9699 3.52
9699 2.96
9699 0
9699 0
9699 0
9698 1.24
9698 0
9698 3.06
9698 2.54
9698 3.52
9698 2.96
9698 0
9698 0
9698 0
9697 1.24
9697 0
9697 3.06
9697 2.54
9697 3.52
9697 2.96
9697 0
9697 0
9697 0
9696 1.24
9696 0
9696 3.06
9696 2.54
9696 3.52
9696 2.96
9696 0
9696 0
9696 0
9695 1.24
9695 0
9695 3.06
9695 2.54
9695 3.52
9695 2.96
9695 0
9695 0
9695 0
9694 1.24
9694 0
9694 3.06
9694 2.54
9694 3.52
9694 2.96
9694 0
9694 0
9694 0
9693 1.24
9693 0
9693 3.06
9693 2.54
9693 3.52
9693 2.96
9693 0
9693 0
9693 0
9692 1.24
9692 0
9692 3.06
9692 2.54
9692 3.52
9692 2.96
9692 0
