pt_graph freq
9545 1
9546 1
9547 1
9616 1
9618 1
9619 1
9620 1
9621 1
9622 1
9623 1
9693 1
9695 1
9697 1
9698 1
9699 1
9700 1
9770 1
9773 1
9774 1
9775 1
9777 1
9778 1
9852 1
9853 1
9854 1
9855 1
9856 1
9858 1
9934 1
9941 1
10014 1
10022 1
10098 1
10359 1
10360 1
10432 1
10454 1
10547 1
10752 1
10753 1
10827 1
10854 1
10855 1
10966 1
11085 1
11201 1
11449 1
11452 1
11572 1
11579 1
11581 1
11705 1
11708 1
11709 1
11710 1
11841 1
11964 1
12200 1
12330 1
12458 1
12459 1
12460 1
12591 1
12592 1
12594 1
12596 1
12597 1
12598 1
12715 1
12716 1
12717 1
12719 1
12720 1
12834 1
12835 1
12836 1
12838 1
12956 1
12957 1
