pt_graph met
9545 2
9546 2
9547 2
9616 2
9617 2
9618 2
9619 2
9620 2
9621 2
9622 2
9623 2
9692 2
9693 2
9694 2
9695 2
9696 2
9697 2
9698 2
9699 2
9700 2
9769 2
9770 2
9772 2
9773 2
9774 2
9775 2
9776 2
9777 2
9778 2
9851 2
9852 2
9853 2
9854 2
9855 2
9856 2
9857 2
9858 2
9859 2
9860 2
9933 2
9935 2
9936 2
9937 2
9939 2
9940 2
9941 2
10014 2
10015 2
10020 2
10021 2
10022 2
10097 2
10098 2
10102 2
10179 2
10262 2
10264 2
10265 2
10345 2
10359 2
10360 2
10432 2
10445 2
10450 2
10451 2
10454 2
10551 2
10554 2
10555 2
10628 2
10654 2
10753 2
10756 2
10827 2
10853 2
10858 2
10860 2
10865 2
11043 2
11073 2
11077 2
11158 2
11201 2
11205 2
11280 2
11440 2
11441 2
11445 2
11448 2
11450 2
11452 2
11453 2
11455 2
11576 2
11578 2
11580 2
11581 2
11582 2
11583 2
11700 2
11702 2
11705 2
11707 2
11708 2
11709 2
11710 2
11711 2
11833 2
11834 2
11835 2
11836 2
11840 2
11962 2
11963 2
11964 2
12085 2
12326 2
12331 2
12458 2
12459 2
12460 2
12468 2
12589 2
12591 2
12592 2
12593 2
12595 2
12596 2
12597 2
12598 2
12708 2
12710 2
12711 2
12715 2
12716 2
12717 2
12718 2
12719 2
12720 2
12830 2
12832 2
12834 2
12835 2
12836 2
12837 2
12838 2
12950 2
12952 2
12953 2
12956 2
12957 2
13063 2
13065 2
13067 2
13068 2
13165 2
13166 2
13168 2
13169 2
13170 2
13171 2
13261 2
13262 2
13265 2
13350 2
13352 2
13431 2
13432 2
