pt_graph freq
9545 1
9546 1
9547 1
9616 1
9617 1
9618 1
9619 1
9620 1
9621 1
9622 1
9623 1
9692 1
9693 1
9694 1
9695 1
9696 1
9697 1
9698 1
9699 1
9700 1
9769 1
9770 1
9772 1
9773 1
9774 1
9775 1
9776 1
9777 1
9778 1
9851 1
9852 1
9853 1
9854 1
9855 1
9856 1
9857 1
9858 1
9859 1
9860 1
9933 1
9935 1
9936 1
9937 1
9939 1
9940 1
9941 1
10014 1
10015 1
10020 1
10021 1
10022 1
10097 1
10098 1
10102 1
10179 1
10262 1
10264 1
10265 1
10345 1
10359 1
10360 1
10432 1
10445 1
10450 1
10451 1
10454 1
10551 1
10554 1
10555 1
10628 1
10654 1
10753 1
10756 1
10827 1
10853 1
10858 1
10860 1
10865 1
11043 1
11073 1
11077 1
11158 1
11201 1
11205 1
11280 1
11440 1
11441 1
11445 1
11448 1
11450 1
11452 1
11453 1
11455 1
11576 1
11578 1
11580 1
11581 1
11582 1
11583 1
11700 1
11702 1
11705 1
11707 1
11708 1
11709 1
11710 1
11711 1
11833 1
11834 1
11835 1
11836 1
11840 1
11962 1
11963 1
11964 1
12085 1
12326 1
12331 1
12458 1
12459 1
12460 1
12468 1
12589 1
12591 1
12592 1
12593 1
12595 1
12596 1
12597 1
12598 1
12708 1
12710 1
12711 1
12715 1
12716 1
12717 1
12718 1
12719 1
12720 1
12830 1
12832 1
12834 1
12835 1
12836 1
12837 1
12838 1
12950 1
12952 1
12953 1
12956 1
12957 1
13063 1
13065 1
13067 1
13068 1
13165 1
13166 1
13168 1
13169 1
13170 1
13171 1
13261 1
13262 1
13265 1
13350 1
13352 1
13431 1
13432 1
