pt_graph shape
19521 1
19521 1
19521 1
19521 1
19521 1
19521 1
19521 1
19521 1
19521 1
9549 1
9549 1
9549 1
9549 1
9549 1
9549 1
9549 1
9549 1
9549 1
9547 1
9547 1
9547 1
9547 1
9547 1
9547 1
9547 1
9547 1
9547 1
9623 1
9623 1
9623 1
9623 1
9623 1
9623 1
9623 1
9623 1
9623 1
9621 1
9621 1
9621 1
9621 1
9621 1
9621 1
9621 1
9621 1
9621 1
9620 1
9620 1
9620 1
9620 1
9620 1
9620 1
9620 1
9620 1
9620 1
9619 1
9619 1
9619 1
9619 1
9619 1
9619 1
9619 1
9619 1
9619 1
9618 1
9618 1
9618 1
9618 1
9618 1
9618 1
9618 1
9618 1
9618 1
9617 1
9617 1
9617 1
9617 1
9617 1
9617 1
9617 1
9617 1
9617 1
9698 1
9698 1
9698 1
9698 1
9698 1
9698 1
9698 1
9698 1
9698 1
9697 1
9697 1
9697 1
9697 1
9697 1
9697 1
9697 1
9697 1
9697 1
9696 1
9696 1
9696 1
9696 1
9696 1
9696 1
9696 1
9696 1
9696 1
9695 1
9695 1
9695 1
9695 1
9695 1
9695 1
9695 1
9695 1
9695 1
9694 1
9694 1
9694 1
9694 1
9694 1
9694 1
9694 1
9694 1
9694 1
9693 1
9693 1
9693 1
9693 1
9693 1
9693 1
9693 1
9693 1
9693 1
9691 1
9691 1
9691 1
9691 1
9691 1
9691 1
9691 1
9691 1
9691 1
9774 1
9774 1
9774 1
9774 1
9774 1
9774 1
9774 1
9774 1
9774 1
9773 1
9773 1
9773 1
9773 1
9773 1
9773 1
9773 1
9773 1
9773 1
9772 1
9772 1
9772 1
9772 1
9772 1
9772 1
9772 1
9772 1
9772 1
9771 1
9771 1
9771 1
9771 1
9771 1
9771 1
9771 1
9771 1
9771 1
9770 1
9770 1
9770 1
9770 1
9770 1
9770 1
9770 1
9770 1
9770 1
19520 1
19520 1
19520 1
19520 1
19520 1
19520 1
19520 1
19520 1
19520 1
10015 1
10015 1
10015 1
10015 1
