pt_graph cpue_kghour
9547 1.32
9547 0
9547 4.49
9547 2.85
9547 4.08
9547 3.63
9547 0
9547 0
9547 0
9546 1.32
9546 0
9546 4.49
9546 2.85
9546 4.08
9546 3.63
9546 0
9546 0
9546 0
9545 1.32
9545 0
9545 4.49
9545 2.85
9545 4.08
9545 3.63
9545 0
9545 0
9545 0
9623 1.32
9623 0
9623 4.49
9623 2.85
9623 4.08
9623 3.63
9623 0
9623 0
9623 0
9622 1.32
9622 0
9622 4.49
9622 2.85
9622 4.08
9622 3.63
9622 0
9622 0
9622 0
9619 1.32
9619 0
9619 4.49
9619 2.85
9619 4.08
9619 3.63
9619 0
9619 0
9619 0
9618 1.32
9618 0
9618 4.49
9618 2.85
9618 4.08
9618 3.63
9618 0
9618 0
9618 0
9617 1.32
9617 0
9617 4.49
9617 2.85
9617 4.08
9617 3.63
9617 0
9617 0
9617 0
9616 1.32
9616 0
9616 4.49
9616 2.85
9616 4.08
9616 3.63
9616 0
9616 0
9616 0
9699 1.32
9699 0
9699 4.49
9699 2.85
9699 4.08
9699 3.63
9699 0
9699 0
9699 0
9697 1.32
9697 0
9697 4.49
9697 2.85
9697 4.08
9697 3.63
9697 0
9697 0
9697 0
9695 1.32
9695 0
9695 4.49
9695 2.85
9695 4.08
9695 3.63
9695 0
9695 0
9695 0
9694 1.32
9694 0
9694 4.49
9694 2.85
9694 4.08
9694 3.63
9694 0
9694 0
9694 0
9778 1.32
9778 0
9778 4.49
9778 2.85
9778 4.08
9778 3.63
9778 0
9778 0
9778 0
9776 1.32
9776 0
9776 4.49
9776 2.85
9776 4.08
9776 3.63
9776 0
9776 0
9776 0
9775 1.32
9775 0
9775 4.49
9775 2.85
9775 4.08
9775 3.63
9775 0
9775 0
9775 0
9773 1.32
9773 0
9773 4.49
9773 2.85
9773 4.08
9773 3.63
9773 0
9773 0
9773 0
9771 1.32
9771 0
9771 4.49
9771 2.85
9771 4.08
9771 3.63
9771 0
9771 0
9771 0
9769 1.32
9769 0
9769 4.49
9769 2.85
9769 4.08
9769 3.63
9769 0
9769 0
9769 0
9941 1.32
9941 0
9941 4.49
9941 2.85
9941 4.08
9941 3.63
9941 0
9941 0
9941 0
10014 1.32
10014 0
10014 4.49
10014 2.85
10014 4.08
10014 3.63
10014 0
10014 0
10014 0
10262 1.32
10262 0
10262 4.49
10262 2.85
10262 4.08
10262 3.63
10262 0
10262 0
10262 0
10359 1.32
10359 0
10359 4.49
10359 2.85
10359 4.08
10359 3.63
10359 0
10359 0
10359 0
10445 1.32
10445 0
10445 4.49
10445 2.85
10445 4.08
10445 3.63
10445 0
10445 0
10445 0
10551 1.32
10551 0
10551 4.49
10551 2.85
10551 4.08
10551 3.63
10551 0
10551 0
10551 0
10751 1.32
10751 0
10751 4.49
10751 2.85
10751 4.08
10751 3.63
10751 0
10751 0
10751 0
10962 1.32
10962 0
10962 4.49
10962 2.85
10962 4.08
10962 3.63
10962 0
10962 0
10962 0
11081 1.32
11081 0
11081 4.49
11081 2.85
11081 4.08
11081 3.63
11081 0
11081 0
11081 0
11206 1.32
11206 0
11206 4.49
11206 2.85
11206 4.08
11206 3.63
11206 0
11206 0
11206 0
11318 1.32
11318 0
11318 4.49
11318 2.85
11318 4.08
11318 3.63
11318 0
11318 0
11318 0
11314 1.32
11314 0
11314 4.49
11314 2.85
11314 4.08
11314 3.63
11314 0
11314 0
11314 0
11455 1.32
11455 0
11455 4.49
11455 2.85
11455 4.08
11455 3.63
11455 0
11455 0
11455 0
11452 1.32
11452 0
11452 4.49
11452 2.85
11452 4.08
11452 3.63
11452 0
11452 0
11452 0
11450 1.32
11450 0
11450 4.49
11450 2.85
11450 4.08
11450 3.63
11450 0
11450 0
11450 0
11444 1.32
11444 0
11444 4.49
11444 2.85
11444 4.08
11444 3.63
11444 0
11444 0
11444 0
11441 1.32
11441 0
11441 4.49
11441 2.85
11441 4.08
11441 3.63
11441 0
11441 0
11441 0
11440 1.32
11440 0
11440 4.49
11440 2.85
11440 4.08
11440 3.63
11440 0
11440 0
11440 0
11712 1.32
11712 0
11712 4.49
11712 2.85
11712 4.08
11712 3.63
11712 0
11712 0
11712 0
11702 1.32
11702 0
11702 4.49
11702 2.85
11702 4.08
11702 3.63
11702 0
11702 0
11702 0
11699 1.32
11699 0
11699 4.49
11699 2.85
11699 4.08
11699 3.63
11699 0
11699 0
11699 0
11963 1.32
11963 0
11963 4.49
11963 2.85
11963 4.08
11963 3.63
11963 0
11963 0
11963 0
