pt_graph shape
1595 1
1595 1
1595 1
1595 1
1595 1
1595 1
1595 1
1595 1
1595 1
1594 1
1594 1
1594 1
1594 1
1594 1
1594 1
1594 1
1594 1
1594 1
1593 1
1593 1
1593 1
1593 1
1593 1
1593 1
1593 1
1593 1
1593 1
1673 1
1673 1
1673 1
1673 1
1673 1
1673 1
1673 1
1673 1
1673 1
1672 1
1672 1
1672 1
1672 1
1672 1
1672 1
1672 1
1672 1
1672 1
1843 1
1843 1
1843 1
1843 1
1843 1
1843 1
1843 1
1843 1
1843 1
1927 1
1927 1
1927 1
1927 1
1927 1
1927 1
1927 1
1927 1
1927 1
2017 1
2017 1
2017 1
2017 1
2017 1
2017 1
2017 1
2017 1
2017 1
2100 1
2100 1
2100 1
2100 1
2100 1
2100 1
2100 1
2100 1
2100 1
2098 1
2098 1
2098 1
2098 1
2098 1
2098 1
2098 1
2098 1
2098 1
2346 1
2346 1
2346 1
2346 1
2346 1
2346 1
2346 1
2346 1
2346 1
2605 1
2605 1
2605 1
2605 1
2605 1
2605 1
2605 1
2605 1
2605 1
2602 1
2602 1
2602 1
2602 1
2602 1
2602 1
2602 1
2602 1
2602 1
2689 1
2689 1
2689 1
2689 1
2689 1
2689 1
2689 1
2689 1
2689 1
2687 1
2687 1
2687 1
2687 1
2687 1
2687 1
2687 1
2687 1
2687 1
2685 1
2685 1
2685 1
2685 1
2685 1
2685 1
2685 1
2685 1
2685 1
2776 1
2776 1
2776 1
2776 1
2776 1
2776 1
2776 1
2776 1
2776 1
2772 1
2772 1
2772 1
2772 1
2772 1
2772 1
2772 1
2772 1
2772 1
2859 1
2859 1
2859 1
2859 1
2859 1
2859 1
2859 1
2859 1
2859 1
2944 1
2944 1
2944 1
2944 1
2944 1
2944 1
2944 1
2944 1
2944 1
2943 1
2943 1
2943 1
2943 1
2943 1
2943 1
2943 1
2943 1
2943 1
3029 1
3029 1
3029 1
3029 1
3029 1
3029 1
3029 1
3029 1
3029 1
3028 1
3028 1
3028 1
3028 1
3028 1
3028 1
3028 1
3028 1
3028 1
3115 1
3115 1
3115 1
3115 1
3115 1
3115 1
3115 1
3115 1
3115 1
3114 1
3114 1
3114 1
3114 1
3114 1
3114 1
3114 1
3114 1
3114 1
3197 1
3197 1
3197 1
3197 1
3197 1
3197 1
3197 1
3197 1
3197 1
3277 1
3277 1
3277 1
3277 1
3277 1
3277 1
3277 1
3277 1
3277 1
3360 1
3360 1
3360 1
3360 1
3360 1
3360 1
