pt_graph cpue_kghour
3494 1.09
3494 0
3494 2.38
3494 2.2
3494 2.55
3494 2.35
3494 0.01
3494 0
3494 0
3676 1.09
3676 0
3676 2.38
3676 2.2
3676 2.55
3676 2.35
3676 0.01
3676 0
3676 0
3650 1.09
3650 0
3650 2.38
3650 2.2
3650 2.55
3650 2.35
3650 0.01
3650 0
3650 0
3727 1.09
3727 0
3727 2.38
3727 2.2
3727 2.55
3727 2.35
3727 0.01
3727 0
3727 0
3725 1.09
3725 0
3725 2.38
3725 2.2
3725 2.55
3725 2.35
3725 0.01
3725 0
3725 0
3724 1.09
3724 0
3724 2.38
3724 2.2
3724 2.55
3724 2.35
3724 0.01
3724 0
3724 0
3804 1.09
3804 0
3804 2.38
3804 2.2
3804 2.55
3804 2.35
3804 0.01
3804 0
3804 0
3803 1.09
3803 0
3803 2.38
3803 2.2
3803 2.55
3803 2.35
3803 0.01
3803 0
3803 0
3802 1.09
3802 0
3802 2.38
3802 2.2
3802 2.55
3802 2.35
3802 0.01
3802 0
3802 0
3800 1.09
3800 0
3800 2.38
3800 2.2
3800 2.55
3800 2.35
3800 0.01
3800 0
3800 0
3797 1.09
3797 0
3797 2.38
3797 2.2
3797 2.55
3797 2.35
3797 0.01
3797 0
3797 0
3798 1.09
3798 0
3798 2.38
3798 2.2
3798 2.55
3798 2.35
3798 0.01
3798 0
3798 0
3877 1.09
3877 0
3877 2.38
3877 2.2
3877 2.55
3877 2.35
3877 0.01
3877 0
3877 0
3875 1.09
3875 0
3875 2.38
3875 2.2
3875 2.55
3875 2.35
3875 0.01
3875 0
3875 0
3874 1.09
3874 0
3874 2.38
3874 2.2
3874 2.55
3874 2.35
3874 0.01
3874 0
3874 0
3872 1.09
3872 0
3872 2.38
3872 2.2
3872 2.55
3872 2.35
3872 0.01
3872 0
3872 0
3868 1.09
3868 0
3868 2.38
3868 2.2
3868 2.55
3868 2.35
3868 0.01
3868 0
3868 0
3949 1.09
3949 0
3949 2.38
3949 2.2
3949 2.55
3949 2.35
3949 0.01
3949 0
3949 0
3950 1.09
3950 0
3950 2.38
3950 2.2
3950 2.55
3950 2.35
3950 0.01
3950 0
3950 0
3948 1.09
3948 0
3948 2.38
3948 2.2
3948 2.55
3948 2.35
3948 0.01
3948 0
3948 0
3945 1.09
3945 0
3945 2.38
3945 2.2
3945 2.55
3945 2.35
3945 0.01
3945 0
3945 0
3943 1.09
3943 0
3943 2.38
3943 2.2
3943 2.55
3943 2.35
3943 0.01
3943 0
3943 0
3941 1.09
3941 0
3941 2.38
3941 2.2
3941 2.55
3941 2.35
3941 0.01
3941 0
3941 0
3942 1.09
3942 0
3942 2.38
3942 2.2
3942 2.55
3942 2.35
3942 0.01
3942 0
3942 0
4018 1.09
4018 0
4018 2.38
4018 2.2
4018 2.55
4018 2.35
4018 0.01
4018 0
4018 0
4016 1.09
4016 0
4016 2.38
4016 2.2
4016 2.55
4016 2.35
4016 0.01
4016 0
4016 0
4015 1.09
4015 0
4015 2.38
4015 2.2
4015 2.55
4015 2.35
4015 0.01
4015 0
4015 0
4013 1.09
4013 0
4013 2.38
4013 2.2
4013 2.55
4013 2.35
4013 0.01
4013 0
4013 0
4012 1.09
4012 0
4012 2.38
4012 2.2
4012 2.55
4012 2.35
4012 0.01
4012 0
4012 0
4010 1.09
4010 0
4010 2.38
4010 2.2
4010 2.55
4010 2.35
4010 0.01
4010 0
4010 0
4084 1.09
4084 0
4084 2.38
4084 2.2
4084 2.55
4084 2.35
4084 0.01
4084 0
4084 0
4082 1.09
4082 0
4082 2.38
4082 2.2
4082 2.55
4082 2.35
4082 0.01
4082 0
4082 0
4079 1.09
4079 0
4079 2.38
4079 2.2
4079 2.55
4079 2.35
4079 0.01
4079 0
4079 0
4076 1.09
4076 0
4076 2.38
4076 2.2
4076 2.55
4076 2.35
4076 0.01
4076 0
4076 0
4077 1.09
4077 0
4077 2.38
4077 2.2
4077 2.55
4077 2.35
4077 0.01
4077 0
4077 0
4075 1.09
4075 0
4075 2.38
4075 2.2
4075 2.55
4075 2.35
4075 0.01
4075 0
4075 0
4168 1.09
4168 0
4168 2.38
4168 2.2
4168 2.55
4168 2.35
4168 0.01
4168 0
4168 0
4153 1.09
4153 0
4153 2.38
4153 2.2
4153 2.55
4153 2.35
4153 0.01
4153 0
4153 0
4146 1.09
4146 0
4146 2.38
4146 2.2
4146 2.55
4146 2.35
4146 0.01
4146 0
4146 0
4143 1.09
4143 0
4143 2.38
4143 2.2
4143 2.55
4143 2.35
4143 0.01
4143 0
4143 0
4142 1.09
4142 0
4142 2.38
4142 2.2
4142 2.55
4142 2.35
4142 0.01
4142 0
4142 0
4140 1.09
4140 0
4140 2.38
4140 2.2
4140 2.55
4140 2.35
4140 0.01
4140 0
4140 0
4141 1.09
4141 0
4141 2.38
4141 2.2
4141 2.55
4141 2.35
4141 0.01
4141 0
4141 0
4139 1.09
4139 0
4139 2.38
4139 2.2
4139 2.55
4139 2.35
4139 0.01
4139 0
4139 0
4211 1.09
4211 0
4211 2.38
4211 2.2
4211 2.55
4211 2.35
4211 0.01
4211 0
4211 0
4208 1.09
4208 0
4208 2.38
4208 2.2
4208 2.55
4208 2.35
4208 0.01
4208 0
4208 0
4207 1.09
4207 0
4207 2.38
4207 2.2
4207 2.55
4207 2.35
4207 0.01
4207 0
4207 0
4206 1.09
4206 0
4206 2.38
4206 2.2
4206 2.55
4206 2.35
4206 0.01
4206 0
4206 0
4204 1.09
4204 0
4204 2.38
4204 2.2
4204 2.55
4204 2.35
4204 0.01
4204 0
4204 0
4205 1.09
4205 0
4205 2.38
4205 2.2
4205 2.55
4205 2.35
4205 0.01
4205 0
4205 0
4203 1.09
4203 0
4203 2.38
4203 2.2
4203 2.55
4203 2.35
4203 0.01
4203 0
4203 0
4288 1.09
4288 0
4288 2.38
4288 2.2
4288 2.55
4288 2.35
4288 0.01
4288 0
4288 0
4269 1.09
4269 0
4269 2.38
4269 2.2
4269 2.55
4269 2.35
4269 0.01
4269 0
4269 0
4266 1.09
4266 0
4266 2.38
4266 2.2
4266 2.55
4266 2.35
4266 0.01
4266 0
4266 0
4265 1.09
4265 0
4265 2.38
4265 2.2
4265 2.55
4265 2.35
4265 0.01
4265 0
4265 0
4326 1.09
4326 0
4326 2.38
4326 2.2
4326 2.55
4326 2.35
4326 0.01
4326 0
4326 0
4323 1.09
4323 0
4323 2.38
4323 2.2
4323 2.55
4323 2.35
4323 0.01
4323 0
4323 0
4322 1.09
4322 0
4322 2.38
4322 2.2
4322 2.55
4322 2.35
4322 0.01
4322 0
4322 0
4377 1.09
4377 0
4377 2.38
4377 2.2
4377 2.55
4377 2.35
4377 0.01
4377 0
4377 0
4376 1.09
4376 0
4376 2.38
4376 2.2
4376 2.55
4376 2.35
4376 0.01
4376 0
4376 0
4375 1.09
4375 0
4375 2.38
4375 2.2
4375 2.55
4375 2.35
4375 0.01
4375 0
4375 0
4418 1.09
4418 0
4418 2.38
4418 2.2
4418 2.55
4418 2.35
4418 0.01
4418 0
4418 0
4464 1.09
4464 0
4464 2.38
4464 2.2
4464 2.55
4464 2.35
4464 0.01
4464 0
4464 0
4505 1.09
4505 0
4505 2.38
4505 2.2
4505 2.55
4505 2.35
4505 0.01
4505 0
4505 0
4506 1.09
4506 0
4506 2.38
4506 2.2
4506 2.55
4506 2.35
4506 0.01
4506 0
4506 0
4566 1.09
4566 0
4566 2.38
4566 2.2
4566 2.55
4566 2.35
4566 0.01
4566 0
4566 0
4549 1.09
4549 0
4549 2.38
4549 2.2
4549 2.55
4549 2.35
4549 0.01
4549 0
4549 0
4547 1.09
4547 0
4547 2.38
4547 2.2
4547 2.55
4547 2.35
4547 0.01
4547 0
4547 0
4593 1.09
4593 0
4593 2.38
4593 2.2
4593 2.55
4593 2.35
4593 0.01
4593 0
4593 0
4592 1.09
4592 0
4592 2.38
4592 2.2
4592 2.55
4592 2.35
4592 0.01
4592 0
4592 0
4590 1.09
4590 0
4590 2.38
4590 2.2
4590 2.55
4590 2.35
4590 0.01
4590 0
4590 0
4649 1.09
4649 0
4649 2.38
4649 2.2
4649 2.55
4649 2.35
4649 0.01
4649 0
4649 0
4648 1.09
4648 0
4648 2.38
4648 2.2
4648 2.55
4648 2.35
4648 0.01
4648 0
4648 0
4647 1.09
4647 0
4647 2.38
4647 2.2
4647 2.55
4647 2.35
4647 0.01
4647 0
4647 0
4637 1.09
4637 0
4637 2.38
4637 2.2
4637 2.55
4637 2.35
4637 0.01
4637 0
4637 0
4634 1.09
4634 0
4634 2.38
4634 2.2
4634 2.55
4634 2.35
4634 0.01
4634 0
4634 0
4630 1.09
4630 0
4630 2.38
4630 2.2
4630 2.55
4630 2.35
4630 0.01
4630 0
4630 0
4690 1.09
4690 0
4690 2.38
4690 2.2
4690 2.55
4690 2.35
4690 0.01
4690 0
4690 0
4676 1.09
4676 0
4676 2.38
4676 2.2
4676 2.55
4676 2.35
4676 0.01
4676 0
4676 0
4719 1.09
4719 0
4719 2.38
4719 2.2
4719 2.55
4719 2.35
4719 0.01
4719 0
4719 0
4716 1.09
4716 0
4716 2.38
4716 2.2
4716 2.55
4716 2.35
4716 0.01
4716 0
4716 0
4760 1.09
4760 0
4760 2.38
4760 2.2
4760 2.55
4760 2.35
4760 0.01
4760 0
4760 0
4759 1.09
4759 0
4759 2.38
4759 2.2
4759 2.55
4759 2.35
4759 0.01
4759 0
4759 0
4757 1.09
4757 0
4757 2.38
4757 2.2
4757 2.55
4757 2.35
4757 0.01
4757 0
4757 0
4755 1.09
4755 0
4755 2.38
4755 2.2
4755 2.55
4755 2.35
4755 0.01
4755 0
4755 0
4808 1.09
4808 0
4808 2.38
4808 2.2
4808 2.55
4808 2.35
4808 0.01
4808 0
4808 0
4807 1.09
4807 0
4807 2.38
4807 2.2
4807 2.55
4807 2.35
4807 0.01
4807 0
4807 0
4798 1.09
4798 0
4798 2.38
4798 2.2
4798 2.55
4798 2.35
4798 0.01
4798 0
4798 0
4795 1.09
4795 0
4795 2.38
4795 2.2
4795 2.55
4795 2.35
4795 0.01
4795 0
4795 0
4794 1.09
4794 0
4794 2.38
4794 2.2
4794 2.55
4794 2.35
4794 0.01
4794 0
4794 0
4793 1.09
4793 0
4793 2.38
4793 2.2
4793 2.55
4793 2.35
4793 0.01
4793 0
4793 0
4839 1.09
4839 0
4839 2.38
4839 2.2
4839 2.55
4839 2.35
4839 0.01
4839 0
4839 0
4838 1.09
4838 0
4838 2.38
4838 2.2
4838 2.55
4838 2.35
4838 0.01
4838 0
4838 0
4837 1.09
4837 0
4837 2.38
4837 2.2
4837 2.55
4837 2.35
4837 0.01
4837 0
4837 0
4836 1.09
4836 0
4836 2.38
4836 2.2
4836 2.55
4836 2.35
4836 0.01
4836 0
4836 0
4834 1.09
4834 0
4834 2.38
4834 2.2
4834 2.55
4834 2.35
4834 0.01
4834 0
4834 0
4835 1.09
4835 0
4835 2.38
