pt_graph met
3573 1
3646 1
3719 1
3728 1
3791 1
3803 1
3868 1
3871 1
3872 1
3885 1
3941 1
3942 1
3943 1
4010 1
4012 1
4016 1
4017 1
4019 1
4040 1
4076 1
4077 1
4078 1
4079 1
4085 1
4139 1
4140 1
4143 1
4144 1
4145 1
4147 1
4148 1
4203 1
4204 1
4206 1
4208 1
4214 1
4264 1
4265 1
4266 1
4323 1
4324 1
4325 1
4375 1
4420 1
4422 1
4425 1
4461 1
4465 1
4507 1
4564 1
4565 1
4566 1
4593 1
4633 1
4635 1
4648 1
4649 1
4678 1
4679 1
4690 1
4716 1
4717 1
4753 1
4755 1
4757 1
4768 1
4793 1
4794 1
4799 1
4800 1
4808 1
4833 1
4835 1
4836 1
4837 1
4838 1
4875 1
4876 1
4877 1
4879 1
4885 1
4887 1
4917 1
4919 1
4921 1
4922 1
4923 1
4924 1
4925 1
4972 1
4973 1
4974 1
4975 1
4976 1
4984 1
5028 1
5029 1
5030 1
5031 1
5032 1
5034 1
5035 1
5037 1
5039 1
5040 1
5089 1
5090 1
5091 1
5092 1
5093 1
5094 1
5095 1
5096 1
5097 1
5147 1
5148 1
5149 1
5150 1
5151 1
5152 1
19516 1
