pt_graph freq
7414 1
7669 1
7865 1
7930 1
7989 1
7995 1
7998 1
8058 1
8095 1
8212 1
8214 1
8242 1
8246 1
8302 1
8359 1
8393 1
8438 1
8445 1
8449 1
8451 1
8463 1
8499 1
8501 1
8503 1
8545 1
8569 1
8602 1
8603 1
8653 1
8780 1
8786 1
8829 1
8873 1
8974 1
9009 1
9036 1
9075 1
9117 1
9127 1
9172 1
9196 1
9217 1
9248 1
9344 1
9394 1
9401 1
9473 1
9476 1
9539 1
9540 1
9587 1
9588 1
9652 1
9825 1
9845 1
9898 1
9902 1
9982 1
9990 1
10049 1
10054 1
10064 1
10071 1
10085 1
10134 1
10145 1
10150 1
10152 1
10237 1
10339 1
10342 1
10388 1
10389 1
10486 1
10501 1
10520 1
10598 1
10819 1
10924 1
11149 1
11264 1
11267 1
11270 1
11385 1
11389 1
11391 1
11635 1
11639 1
11652 1
11755 1
11771 1
11772 1
11787 1
11868 1
11889 1
11908 1
12018 1
12019 1
12028 1
12036 1
12047 1
12152 1
12154 1
12281 1
12366 1
12388 1
12413 1
12518 1
12524 1
12544 1
12550 1
12629 1
12749 1
12754 1
12756 1
12793 1
12888 1
12995 1
13000 1
13002 1
13007 1
13119 1
13123 1
13322 1
13391 1
13408 1
13485 1
13549 1
13551 1
13554 1
13608 1
13611 1
13662 1
13726 1
13773 1
13833 1
13890 1
13892 1
13949 1
19532 1
