pt_graph cpue_kghour
7483 1.2
7483 0
7483 4.16
7483 2.22
7483 2
7483 3.17
7483 0
7483 0
7483 0
7482 1.2
7482 0
7482 4.16
7482 2.22
7482 2
7482 3.17
7482 0
7482 0
7482 0
7546 1.2
7546 0
7546 4.16
7546 2.22
7546 2
7546 3.17
7546 0
7546 0
7546 0
7611 1.2
7611 0
7611 4.16
7611 2.22
7611 2
7611 3.17
7611 0
7611 0
7611 0
7675 1.2
7675 0
7675 4.16
7675 2.22
7675 2
7675 3.17
7675 0
7675 0
7675 0
7676 1.2
7676 0
7676 4.16
7676 2.22
7676 2
7676 3.17
7676 0
7676 0
7676 0
7672 1.2
7672 0
7672 4.16
7672 2.22
7672 2
7672 3.17
7672 0
7672 0
7672 0
7740 1.2
7740 0
7740 4.16
7740 2.22
7740 2
7740 3.17
7740 0
7740 0
7740 0
7741 1.2
7741 0
7741 4.16
7741 2.22
7741 2
7741 3.17
7741 0
7741 0
7741 0
7806 1.2
7806 0
7806 4.16
7806 2.22
7806 2
7806 3.17
7806 0
7806 0
7806 0
7801 1.2
7801 0
7801 4.16
7801 2.22
7801 2
7801 3.17
7801 0
7801 0
7801 0
7802 1.2
7802 0
7802 4.16
7802 2.22
7802 2
7802 3.17
7802 0
7802 0
7802 0
7794 1.2
7794 0
7794 4.16
7794 2.22
7794 2
7794 3.17
7794 0
7794 0
7794 0
7870 1.2
7870 0
7870 4.16
7870 2.22
7870 2
7870 3.17
7870 0
7870 0
7870 0
7934 1.2
7934 0
7934 4.16
7934 2.22
7934 2
7934 3.17
7934 0
7934 0
7934 0
7929 1.2
7929 0
7929 4.16
7929 2.22
7929 2
7929 3.17
7929 0
7929 0
7929 0
7931 1.2
7931 0
7931 4.16
7931 2.22
7931 2
7931 3.17
7931 0
7931 0
7931 0
7990 1.2
7990 0
7990 4.16
7990 2.22
7990 2
7990 3.17
7990 0
7990 0
7990 0
7992 1.2
7992 0
7992 4.16
7992 2.22
7992 2
7992 3.17
7992 0
7992 0
7992 0
7993 1.2
7993 0
7993 4.16
7993 2.22
7993 2
7993 3.17
7993 0
7993 0
7993 0
7994 1.2
7994 0
7994 4.16
7994 2.22
7994 2
7994 3.17
7994 0
7994 0
7994 0
7996 1.2
7996 0
7996 4.16
7996 2.22
7996 2
7996 3.17
7996 0
7996 0
7996 0
8054 1.2
8054 0
8054 4.16
8054 2.22
8054 2
8054 3.17
8054 0
8054 0
8054 0
8055 1.2
8055 0
8055 4.16
8055 2.22
8055 2
8055 3.17
8055 0
8055 0
8055 0
8056 1.2
8056 0
8056 4.16
8056 2.22
8056 2
8056 3.17
8056 0
8056 0
8056 0
8058 1.2
8058 0
8058 4.16
8058 2.22
8058 2
8058 3.17
8058 0
8058 0
8058 0
8059 1.2
8059 0
8059 4.16
8059 2.22
8059 2
8059 3.17
8059 0
8059 0
8059 0
8098 1.2
8098 0
8098 4.16
8098 2.22
8098 2
8098 3.17
8098 0
8098 0
8098 0
8124 1.2
8124 0
8124 4.16
8124 2.22
8124 2
8124 3.17
8124 0
8124 0
8124 0
8115 1.2
8115 0
8115 4.16
8115 2.22
8115 2
8115 3.17
8115 0
8115 0
8115 0
8116 1.2
8116 0
8116 4.16
8116 2.22
8116 2
8116 3.17
8116 0
8116 0
8116 0
8119 1.2
8119 0
8119 4.16
8119 2.22
8119 2
8119 3.17
8119 0
8119 0
8119 0
8120 1.2
8120 0
8120 4.16
8120 2.22
8120 2
8120 3.17
8120 0
8120 0
8120 0
8151 1.2
8151 0
8151 4.16
8151 2.22
8151 2
8151 3.17
8151 0
8151 0
8151 0
8157 1.2
8157 0
8157 4.16
8157 2.22
8157 2
8157 3.17
8157 0
8157 0
8157 0
8161 1.2
8161 0
8161 4.16
8161 2.22
8161 2
8161 3.17
8161 0
8161 0
8161 0
8185 1.2
8185 0
8185 4.16
8185 2.22
8185 2
8185 3.17
8185 0
8185 0
8185 0
8186 1.2
8186 0
8186 4.16
8186 2.22
8186 2
8186 3.17
8186 0
8186 0
8186 0
8176 1.2
8176 0
8176 4.16
8176 2.22
8176 2
8176 3.17
8176 0
8176 0
8176 0
8178 1.2
8178 0
8178 4.16
8178 2.22
8178 2
8178 3.17
8178 0
8178 0
8178 0
8181 1.2
8181 0
8181 4.16
8181 2.22
8181 2
8181 3.17
8181 0
8181 0
8181 0
8182 1.2
8182 0
8182 4.16
8182 2.22
8182 2
8182 3.17
8182 0
8182 0
8182 0
8241 1.2
8241 0
8241 4.16
8241 2.22
8241 2
8241 3.17
8241 0
8241 0
8241 0
8242 1.2
8242 0
8242 4.16
8242 2.22
8242 2
8242 3.17
8242 0
8242 0
8242 0
8243 1.2
8243 0
8243 4.16
8243 2.22
8243 2
8243 3.17
8243 0
8243 0
8243 0
8244 1.2
8244 0
8244 4.16
8244 2.22
8244 2
8244 3.17
8244 0
8244 0
8244 0
8245 1.2
8245 0
8245 4.16
8245 2.22
8245 2
8245 3.17
8245 0
8245 0
8245 0
8246 1.2
8246 0
8246 4.16
8246 2.22
8246 2
8246 3.17
8246 0
8246 0
8246 0
8273 1.2
8273 0
8273 4.16
8273 2.22
8273 2
8273 3.17
8273 0
8273 0
8273 0
8284 1.2
8284 0
8284 4.16
8284 2.22
8284 2
8284 3.17
8284 0
8284 0
8284 0
8300 1.2
8300 0
8300 4.16
8300 2.22
8300 2
8300 3.17
8300 0
8300 0
8300 0
8302 1.2
8302 0
8302 4.16
8302 2.22
8302 2
8302 3.17
8302 0
8302 0
8302 0
8303 1.2
8303 0
8303 4.16
8303 2.22
8303 2
8303 3.17
8303 0
8303 0
8303 0
8304 1.2
8304 0
8304 4.16
8304 2.22
8304 2
8304 3.17
8304 0
8304 0
8304 0
8333 1.2
8333 0
8333 4.16
8333 2.22
8333 2
8333 3.17
8333 0
8333 0
8333 0
8334 1.2
8334 0
8334 4.16
8334 2.22
8334 2
8334 3.17
8334 0
8334 0
8334 0
8359 1.2
8359 0
8359 4.16
8359 2.22
8359 2
8359 3.17
8359 0
8359 0
8359 0
8389 1.2
8389 0
8389 4.16
8389 2.22
8389 2
8389 3.17
8389 0
8389 0
8389 0
8390 1.2
8390 0
8390 4.16
8390 2.22
8390 2
8390 3.17
8390 0
8390 0
8390 0
8391 1.2
8391 0
8391 4.16
8391 2.22
8391 2
8391 3.17
8391 0
8391 0
8391 0
8396 1.2
8396 0
8396 4.16
8396 2.22
8396 2
8396 3.17
8396 0
8396 0
8396 0
8412 1.2
8412 0
8412 4.16
8412 2.22
8412 2
8412 3.17
8412 0
8412 0
8412 0
8442 1.2
8442 0
8442 4.16
8442 2.22
8442 2
8442 3.17
8442 0
8442 0
8442 0
8443 1.2
8443 0
8443 4.16
8443 2.22
8443 2
8443 3.17
8443 0
8443 0
