pt_graph met
5914 3
6196 3
6201 3
6262 3
6264 3
6321 3
6322 3
6375 3
6381 3
6382 3
6383 3
6443 3
6444 3
6567 3
6627 3
6628 3
6687 3
6747 3
6748 3
6806 3
6864 3
6865 3
6922 3
6980 3
6981 3
7102 3
7164 3
7227 3
7290 3
7337 3
7338 3
7353 3
7354 3
7545 3
7609 3
7666 3
7673 3
7674 3
7738 3
7739 3
7803 3
7804 3
7863 3
7866 3
7867 3
7929 3
7930 3
7990 3
7991 3
7993 3
8056 3
8057 3
8466 3
8508 3
8509 3
8520 3
8560 3
8561 3
8571 3
8572 3
8610 3
8611 3
8612 3
8621 3
8622 3
8656 3
8657 3
8666 3
8667 3
8668 3
8699 3
8701 3
8702 3
8709 3
8711 3
8712 3
8743 3
8744 3
8745 3
8753 3
8755 3
8756 3
8789 3
8790 3
8791 3
8797 3
8799 3
8800 3
8835 3
8836 3
8842 3
8844 3
8881 3
8885 3
8886 3
8888 3
8925 3
8926 3
8929 3
8931 3
8966 3
8969 3
9040 3
9088 3
9119 3
9163 3
9173 3
9204 3
9216 3
9258 3
9259 3
9261 3
9309 3
9310 3
9357 3
9361 3
9415 3
9416 3
9472 3
9473 3
9534 3
9603 3
9606 3
9607 3
9611 3
9653 3
9678 3
9681 3
9683 3
9685 3
9754 3
9755 3
9758 3
9759 3
9761 3
9762 3
9763 3
9764 3
9831 3
9834 3
9838 3
9841 3
9842 3
9843 3
9844 3
9845 3
9903 3
9915 3
9920 3
9922 3
9923 3
9924 3
9925 3
9926 3
9927 3
9982 3
9992 3
9993 3
9997 3
10006 3
10007 3
10008 3
10009 3
10085 3
10087 3
10088 3
10089 3
10090 3
10091 3
10092 3
10093 3
10131 3
10169 3
10170 3
10171 3
10172 3
10173 3
10239 3
10250 3
10252 3
10253 3
10254 3
10255 3
10256 3
10257 3
10258 3
10326 3
10330 3
10331 3
10332 3
10334 3
10335 3
10336 3
10337 3
10338 3
10339 3
10404 3
10406 3
10414 3
10421 3
10423 3
10424 3
10425 3
10427 3
10501 3
10503 3
10507 3
10511 3
10515 3
10517 3
10518 3
10520 3
10521 3
10522 3
10523 3
10524 3
10599 3
10603 3
10606 3
10609 3
10611 3
10613 3
10614 3
10615 3
10616 3
10618 3
10619 3
10620 3
10621 3
10622 3
10623 3
10709 3
10710 3
10713 3
10715 3
10716 3
10718 3
10719 3
10720 3
10805 3
10809 3
10810 3
10814 3
10815 3
10816 3
10817 3
10818 3
10819 3
10820 3
10821 3
10822 3
10823 3
10908 3
10910 3
10912 3
10914 3
10915 3
10916 3
10918 3
10921 3
10922 3
10923 3
10924 3
10925 3
11010 3
11014 3
11021 3
11022 3
11023 3
11027 3
11029 3
11030 3
11031 3
11032 3
11033 3
11118 3
11119 3
11124 3
11129 3
11131 3
11132 3
11133 3
11134 3
11136 3
11138 3
11139 3
11140 3
11141 3
11142 3
11144 3
11145 3
11239 3
11245 3
11248 3
11254 3
11255 3
11257 3
11258 3
11259 3
11261 3
11262 3
11264 3
11274 3
11361 3
11365 3
11369 3
11370 3
11371 3
11375 3
11376 3
11377 3
11379 3
11383 3
11384 3
11385 3
11386 3
11393 3
11394 3
11395 3
11396 3
11397 3
11398 3
11399 3
11400 3
11485 3
11486 3
11488 3
11492 3
11495 3
11497 3
11501 3
11505 3
11506 3
11507 3
11508 3
11509 3
11510 3
11511 3
11512 3
11523 3
11524 3
11525 3
11527 3
11528 3
11529 3
11531 3
11615 3
11616 3
11619 3
11621 3
11624 3
11625 3
11627 3
11631 3
11632 3
11633 3
11634 3
11635 3
11636 3
11637 3
11638 3
11639 3
11640 3
11650 3
11651 3
11652 3
11654 3
11655 3
11656 3
11657 3
11658 3
11659 3
11660 3
11743 3
11745 3
11752 3
11755 3
11757 3
11758 3
11759 3
11760 3
11762 3
11763 3
11764 3
11765 3
11766 3
11767 3
11768 3
11769 3
11780 3
11781 3
11782 3
11783 3
11784 3
11785 3
11786 3
11787 3
11788 3
11789 3
11790 3
11791 3
11882 3
11883 3
11885 3
11886 3
11887 3
11888 3
11889 3
11890 3
11891 3
11893 3
11894 3
11895 3
11896 3
11897 3
11898 3
11899 3
11900 3
11907 3
11908 3
11909 3
11910 3
11911 3
11912 3
11913 3
11914 3
11915 3
11916 3
11917 3
11918 3
11919 3
11920 3
11921 3
11996 3
11998 3
12008 3
12009 3
12010 3
12011 3
12012 3
12013 3
12014 3
12015 3
12016 3
12017 3
12018 3
12021 3
12022 3
12023 3
12025 3
12029 3
12030 3
12031 3
12032 3
12033 3
12034 3
12035 3
12036 3
12038 3
12042 3
12043 3
12044 3
12045 3
12046 3
12121 3
12122 3
12125 3
12127 3
12128 3
12131 3
12132 3
12133 3
12134 3
12147 3
12149 3
12150 3
12151 3
12152 3
12153 3
12155 3
12163 3
12165 3
12167 3
12168 3
12245 3
12248 3
12249 3
12252 3
12253 3
12256 3
12257 3
12275 3
12278 3
12287 3
12288 3
12289 3
12290 3
12291 3
12292 3
12304 3
12374 3
12375 3
12376 3
12381 3
12382 3
12383 3
12384 3
12385 3
12386 3
12387 3
12417 3
12419 3
12420 3
12421 3
12424 3
12506 3
12507 3
12508 3
12510 3
12511 3
12514 3
12515 3
12516 3
12518 3
12519 3
12520 3
12550 3
12551 3
12552 3
12553 3
12554 3
12555 3
12556 3
12557 3
12638 3
12639 3
12640 3
12642 3
12644 3
12646 3
12647 3
12672 3
12673 3
12674 3
12675 3
12676 3
12678 3
12679 3
12680 3
12685 3
12687 3
12752 3
12756 3
12757 3
12760 3
12761 3
12762 3
12763 3
12764 3
12765 3
12790 3
12791 3
12792 3
12793 3
12794 3
12807 3
12808 3
12809 3
12810 3
12811 3
12875 3
12876 3
12878 3
12879 3
12880 3
12881 3
12882 3
12883 3
12888 3
12909 3
12927 3
12995 3
12999 3
13000 3
13001 3
13002 3
13003 3
13004 3
13005 3
13040 3
13041 3
13043 3
13044 3
13046 3
13113 3
13114 3
13115 3
13116 3
13145 3
13147 3
13148 3
13149 3
13157 3
13217 3
13219 3
13220 3
13221 3
13246 3
13247 3
13248 3
13250 3
13251 3
13255 3
13308 3
13309 3
13311 3
13312 3
13315 3
13316 3
13339 3
13340 3
13341 3
13346 3
13396 3
13397 3
13398 3
13399 3
13400 3
13422 3
13424 3
13425 3
13474 3
13477 3
13478 3
13480 3
13481 3
13482 3
13545 3
13548 3
13550 3
13551 3
13552 3
13553 3
13606 3
13609 3
13610 3
13611 3
13612 3
13613 3
13663 3
13664 3
13666 3
13667 3
13668 3
13670 3
13719 3
13721 3
13722 3
13723 3
13724 3
13725 3
13774 3
13776 3
13777 3
13778 3
13779 3
13824 3
13829 3
13830 3
13883 3
13885 3
13886 3
13887 3
13940 3
13941 3
13942 3
13943 3
13997 3
14000 3
14001 3
14008 3
14047 3
14049 3
14056 3
14057 3
14100 3
14103 3
14106 3
14110 3
14111 3
14159 3
14165 3
14166 3
14167 3
14199 3
14214 3
14215 3
14216 3
14261 3
14262 3
14288 3
14309 3
14310 3
14352 3
14353 3
14395 3
14396 3
14467 3
14468 3
14471 3
14504 3
14505 3
14535 3
14536 3
14565 3
14566 3
14567 3
14600 3
14601 3
14602 3
14604 3
19523 3
19528 3
