pt_graph shape
8354 1
8354 1
8354 1
8354 1
8354 1
8354 1
8354 1
8354 1
8354 1
8359 1
8359 1
8359 1
8359 1
8359 1
8359 1
8359 1
8359 1
8359 1
8395 1
8395 1
8395 1
8395 1
8395 1
8395 1
8395 1
8395 1
8395 1
8398 1
8398 1
8398 1
8398 1
8398 1
8398 1
8398 1
8398 1
8398 1
8497 1
8497 1
8497 1
8497 1
8497 1
8497 1
8497 1
8497 1
8497 1
8498 1
8498 1
8498 1
8498 1
8498 1
8498 1
8498 1
8498 1
8498 1
8572 1
8572 1
8572 1
8572 1
8572 1
8572 1
8572 1
8572 1
8572 1
8741 1
8741 1
8741 1
8741 1
8741 1
8741 1
8741 1
8741 1
8741 1
8885 1
8885 1
8885 1
8885 1
8885 1
8885 1
8885 1
8885 1
8885 1
8960 1
8960 1
8960 1
8960 1
8960 1
8960 1
8960 1
8960 1
8960 1
9004 1
9004 1
9004 1
9004 1
9004 1
9004 1
9004 1
9004 1
9004 1
9396 1
9396 1
9396 1
9396 1
9396 1
9396 1
9396 1
9396 1
9396 1
9402 1
9402 1
9402 1
9402 1
9402 1
9402 1
9402 1
9402 1
9402 1
9456 1
9456 1
9456 1
9456 1
9456 1
9456 1
9456 1
9456 1
9456 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9613 1
9613 1
9613 1
9613 1
9613 1
9613 1
9613 1
9613 1
9613 1
9688 1
9688 1
9688 1
9688 1
9688 1
9688 1
9688 1
9688 1
9688 1
9767 1
9767 1
9767 1
9767 1
9767 1
9767 1
9767 1
9767 1
9767 1
9929 1
9929 1
9929 1
9929 1
9929 1
9929 1
9929 1
9929 1
9929 1
9983 1
9983 1
9983 1
9983 1
9983 1
9983 1
9983 1
9983 1
9983 1
10072 1
10072 1
10072 1
10072 1
10072 1
10072 1
10072 1
10072 1
10072 1
10085 1
10085 1
10085 1
10085 1
10085 1
10085 1
10085 1
10085 1
10085 1
10088 1
10088 1
10088 1
10088 1
10088 1
10088 1
10088 1
10088 1
10088 1
10155 1
10155 1
10155 1
10155 1
10155 1
10155 1
10155 1
10155 1
10155 1
10171 1
10171 1
10171 1
10171 1
10171 1
10171 1
10171 1
10171 1
10171 1
10235 1
10235 1
10235 1
10235 1
10235 1
10235 1
10235 1
10235 1
10235 1
10253 1
10253 1
10253 1
10253 1
10253 1
10253 1
10253 1
10253 1
10253 1
10256 1
10256 1
10256 1
10256 1
10256 1
10256 1
10256 1
10256 1
10256 1
10402 1
10402 1
10402 1
10402 1
10402 1
10402 1
10402 1
10402 1
10402 1
10427 1
10427 1
10427 1
10427 1
10427 1
10427 1
10427 1
10427 1
10427 1
10526 1
10526 1
10526 1
10526 1
10526 1
10526 1
10526 1
10526 1
10526 1
10626 1
10626 1
10626 1
10626 1
10626 1
10626 1
10626 1
10626 1
10626 1
10699 1
10699 1
10699 1
10699 1
10699 1
10699 1
10699 1
10699 1
10699 1
10795 1
10795 1
10795 1
10795 1
10795 1
10795 1
10795 1
10795 1
10795 1
10819 1
10819 1
10819 1
10819 1
10819 1
10819 1
10819 1
10819 1
10819 1
10823 1
10823 1
10823 1
10823 1
10823 1
10823 1
10823 1
10823 1
10823 1
10899 1
10899 1
10899 1
10899 1
10899 1
10899 1
10899 1
10899 1
10899 1
11118 1
11118 1
11118 1
11118 1
11118 1
11118 1
11118 1
11118 1
11118 1
11145 1
11145 1
11145 1
11145 1
11145 1
11145 1
11145 1
11145 1
11145 1
11144 1
11144 1
11144 1
11144 1
11144 1
11144 1
11144 1
11144 1
11144 1
11264 1
11264 1
11264 1
11264 1
11264 1
11264 1
11264 1
11264 1
11264 1
11386 1
11386 1
11386 1
11386 1
11386 1
11386 1
11386 1
11386 1
11386 1
11389 1
11389 1
11389 1
11389 1
11389 1
11389 1
11389 1
11389 1
11389 1
11488 1
11488 1
11488 1
11488 1
11488 1
11488 1
11488 1
11488 1
11488 1
11504 1
11504 1
11504 1
11504 1
11504 1
11504 1
11504 1
11504 1
11504 1
11623 1
11623 1
11623 1
11623 1
11623 1
11623 1
11623 1
11623 1
11623 1
11772 1
11772 1
11772 1
11772 1
11772 1
11772 1
11772 1
11772 1
11772 1
11884 1
11884 1
11884 1
11884 1
11884 1
11884 1
11884 1
11884 1
11884 1
