pt_graph cpue_kghour
4505 1.04
4505 0
4505 2.41
4505 2.04
4505 2
4505 2.22
4505 0
4505 0.05
4505 0
4547 1.04
4547 0
4547 2.41
4547 2.04
4547 2
4547 2.22
4547 0
4547 0.05
4547 0
4634 1.04
4634 0
4634 2.41
4634 2.04
4634 2
4634 2.22
4634 0
4634 0.05
4634 0
4680 1.04
4680 0
4680 2.41
4680 2.04
4680 2
4680 2.22
4680 0
4680 0.05
4680 0
4803 1.04
4803 0
4803 2.41
4803 2.04
4803 2
4803 2.22
4803 0
4803 0.05
4803 0
4801 1.04
4801 0
4801 2.41
4801 2.04
4801 2
4801 2.22
4801 0
4801 0.05
4801 0
4797 1.04
4797 0
4797 2.41
4797 2.04
4797 2
4797 2.22
4797 0
4797 0.05
4797 0
4791 1.04
4791 0
4791 2.41
4791 2.04
4791 2
4791 2.22
4791 0
4791 0.05
4791 0
4883 1.04
4883 0
4883 2.41
4883 2.04
4883 2
4883 2.22
4883 0
4883 0.05
4883 0
4926 1.04
4926 0
4926 2.41
4926 2.04
4926 2
4926 2.22
4926 0
4926 0.05
4926 0
4983 1.04
4983 0
4983 2.41
4983 2.04
4983 2
4983 2.22
4983 0
4983 0.05
4983 0
4969 1.04
4969 0
4969 2.41
4969 2.04
4969 2
4969 2.22
4969 0
4969 0.05
4969 0
5023 1.04
5023 0
5023 2.41
5023 2.04
5023 2
5023 2.22
5023 0
5023 0.05
5023 0
5096 1.04
5096 0
5096 2.41
5096 2.04
5096 2
5096 2.22
5096 0
5096 0.05
5096 0
5600 1.04
5600 0
5600 2.41
5600 2.04
5600 2
5600 2.22
5600 0
5600 0.05
5600 0
5650 1.04
5650 0
5650 2.41
5650 2.04
5650 2
5650 2.22
5650 0
5650 0.05
5650 0
5864 1.04
5864 0
5864 2.41
5864 2.04
5864 2
5864 2.22
5864 0
5864 0.05
5864 0
5973 1.04
5973 0
5973 2.41
5973 2.04
5973 2
5973 2.22
5973 0
5973 0.05
5973 0
6565 1.04
6565 0
6565 2.41
6565 2.04
6565 2
6565 2.22
6565 0
6565 0.05
6565 0
6627 1.04
6627 0
6627 2.41
6627 2.04
6627 2
6627 2.22
6627 0
6627 0.05
6627 0
6743 1.04
6743 0
6743 2.41
6743 2.04
6743 2
6743 2.22
6743 0
6743 0.05
6743 0
6865 1.04
6865 0
6865 2.41
6865 2.04
6865 2
6865 2.22
6865 0
6865 0.05
6865 0
6922 1.04
6922 0
6922 2.41
6922 2.04
6922 2
6922 2.22
6922 0
6922 0.05
6922 0
7292 1.04
7292 0
7292 2.41
7292 2.04
7292 2
7292 2.22
7292 0
7292 0.05
7292 0
7350 1.04
7350 0
7350 2.41
7350 2.04
7350 2
7350 2.22
7350 0
7350 0.05
7350 0
7545 1.04
7545 0
7545 2.41
7545 2.04
7545 2
7545 2.22
7545 0
7545 0.05
7545 0
7740 1.04
7740 0
7740 2.41
7740 2.04
7740 2
7740 2.22
7740 0
7740 0.05
7740 0
7726 1.04
7726 0
7726 2.41
7726 2.04
7726 2
7726 2.22
7726 0
7726 0.05
7726 0
7804 1.04
7804 0
7804 2.41
7804 2.04
7804 2
7804 2.22
7804 0
7804 0.05
7804 0
8054 1.04
8054 0
8054 2.41
8054 2.04
8054 2
8054 2.22
8054 0
8054 0.05
8054 0
8057 1.04
8057 0
8057 2.41
8057 2.04
8057 2
8057 2.22
8057 0
8057 0.05
8057 0
8118 1.04
8118 0
8118 2.41
8118 2.04
8118 2
8118 2.22
8118 0
8118 0.05
8118 0
8121 1.04
8121 0
8121 2.41
8121 2.04
8121 2
8121 2.22
8121 0
8121 0.05
8121 0
8184 1.04
8184 0
8184 2.41
8184 2.04
8184 2
8184 2.22
8184 0
8184 0.05
8184 0
8244 1.04
8244 0
8244 2.41
8244 2.04
8244 2
8244 2.22
8244 0
8244 0.05
8244 0
8246 1.04
8246 0
8246 2.41
8246 2.04
8246 2
8246 2.22
8246 0
8246 0.05
8246 0
