pt_graph met
4753 1
4755 1
4794 1
4795 1
4833 1
4834 1
4835 1
4873 1
4874 1
4971 1
5025 1
5027 1
5028 1
5086 1
5196 1
5248 1
5249 1
5297 1
5346 1
5396 1
5446 1
5497 1
5600 1
5601 1
5757 1
6084 1
6143 1
6204 1
6262 1
6263 1
6322 1
6445 1
6505 1
6507 1
6568 1
6628 1
6682 1
6688 1
6689 1
6748 1
6804 1
6807 1
6808 1
6924 1
6982 1
6983 1
7042 1
7043 1
7102 1
7104 1
7166 1
7229 1
7291 1
7292 1
7350 1
7354 1
7355 1
7415 1
7416 1
7418 1
7419 1
7482 1
7483 1
7541 1
7544 1
7546 1
7547 1
7609 1
7611 1
7673 1
7675 1
7676 1
7738 1
7739 1
7740 1
7741 1
7804 1
7805 1
7806 1
