pt_graph met
12240 2
12242 2
12368 2
12370 2
12498 2
12501 2
12628 2
12629 2
12630 2
12640 2
12641 2
12642 2
12644 2
12759 2
12761 2
12762 2
12763 2
12862 2
12863 2
12864 2
12867 2
12875 2
12879 2
12983 2
12986 2
12988 2
12996 2
13001 2
13002 2
13005 2
13007 2
13008 2
13009 2
13095 2
13098 2
13099 2
13102 2
13103 2
13115 2
13116 2
13117 2
13119 2
13120 2
13121 2
13122 2
13123 2
13200 2
13203 2
13204 2
13205 2
13206 2
13208 2
13209 2
13221 2
13222 2
13223 2
13224 2
13225 2
13226 2
13291 2
13297 2
13298 2
13299 2
13316 2
13317 2
13318 2
13319 2
13323 2
13324 2
13382 2
13383 2
13387 2
13397 2
13400 2
13402 2
13404 2
13405 2
13406 2
13407 2
13408 2
13409 2
13460 2
13468 2
13481 2
13482 2
13483 2
13484 2
13485 2
13486 2
13487 2
13488 2
13490 2
13534 2
13543 2
13552 2
13553 2
13554 2
13555 2
13556 2
13558 2
13559 2
13594 2
13600 2
13606 2
13611 2
13613 2
13614 2
13615 2
13616 2
13617 2
13618 2
13619 2
13651 2
13652 2
13662 2
13668 2
13669 2
13671 2
13672 2
13673 2
13674 2
13675 2
13676 2
13705 2
13707 2
13709 2
13713 2
13716 2
13722 2
13724 2
13726 2
13727 2
13728 2
13729 2
13730 2
13731 2
13764 2
13778 2
13780 2
13781 2
13782 2
13783 2
13784 2
13785 2
13818 2
13823 2
13825 2
13832 2
13833 2
13834 2
13835 2
13836 2
13837 2
13838 2
13874 2
13881 2
13889 2
13890 2
13892 2
13893 2
13924 2
13930 2
13940 2
13945 2
13948 2
13949 2
13950 2
13951 2
13952 2
13981 2
13985 2
13986 2
13987 2
13995 2
14001 2
14002 2
14004 2
14005 2
14006 2
14007 2
14008 2
14009 2
14035 2
14037 2
14040 2
14043 2
14045 2
14052 2
14055 2
14056 2
14058 2
14060 2
14061 2
14062 2
14064 2
14104 2
14105 2
14107 2
14108 2
14109 2
14110 2
14114 2
14115 2
14139 2
14152 2
14161 2
14162 2
14163 2
14164 2
14166 2
14169 2
14200 2
14202 2
14208 2
14210 2
14211 2
14212 2
14213 2
14214 2
14215 2
14241 2
14242 2
14245 2
14246 2
14247 2
