pt_graph shape
12868 1
12868 1
12868 1
12868 1
12868 1
12868 1
12868 1
12868 1
12868 1
13321 1
13321 1
13321 1
13321 1
13321 1
13321 1
13321 1
13321 1
13321 1
13322 1
13322 1
13322 1
13322 1
13322 1
13322 1
13322 1
13322 1
13322 1
13399 1
13399 1
13399 1
13399 1
13399 1
13399 1
13399 1
13399 1
13399 1
13403 1
13403 1
13403 1
13403 1
13403 1
13403 1
13403 1
13403 1
13403 1
13406 1
13406 1
13406 1
13406 1
13406 1
13406 1
13406 1
13406 1
13406 1
13407 1
13407 1
13407 1
13407 1
13407 1
13407 1
13407 1
13407 1
13407 1
13488 1
13488 1
13488 1
13488 1
13488 1
13488 1
13488 1
13488 1
13488 1
13544 1
13544 1
13544 1
13544 1
13544 1
13544 1
13544 1
13544 1
13544 1
13552 1
13552 1
13552 1
13552 1
13552 1
13552 1
13552 1
13552 1
13552 1
13554 1
13554 1
13554 1
13554 1
13554 1
13554 1
13554 1
13554 1
13554 1
13558 1
13558 1
13558 1
13558 1
13558 1
13558 1
13558 1
13558 1
13558 1
13617 1
13617 1
13617 1
13617 1
13617 1
13617 1
13617 1
13617 1
13617 1
13618 1
13618 1
13618 1
13618 1
13618 1
13618 1
13618 1
13618 1
13618 1
13778 1
13778 1
13778 1
13778 1
13778 1
13778 1
13778 1
13778 1
13778 1
13781 1
13781 1
13781 1
13781 1
13781 1
13781 1
13781 1
13781 1
13781 1
13783 1
13783 1
13783 1
13783 1
13783 1
13783 1
13783 1
13783 1
13783 1
13866 1
13866 1
13866 1
13866 1
13866 1
13866 1
13866 1
13866 1
13866 1
13889 1
13889 1
13889 1
13889 1
13889 1
13889 1
13889 1
13889 1
13889 1
13946 1
13946 1
13946 1
13946 1
13946 1
13946 1
13946 1
13946 1
13946 1
13948 1
13948 1
13948 1
13948 1
13948 1
13948 1
13948 1
13948 1
13948 1
13952 1
13952 1
13952 1
13952 1
13952 1
13952 1
13952 1
13952 1
13952 1
14003 1
14003 1
14003 1
14003 1
14003 1
14003 1
14003 1
14003 1
14003 1
14030 1
14030 1
14030 1
14030 1
14030 1
14030 1
14030 1
14030 1
14030 1
14034 1
14034 1
14034 1
14034 1
14034 1
14034 1
14034 1
14034 1
14034 1
14064 1
14064 1
14064 1
14064 1
14064 1
14064 1
14064 1
14064 1
14064 1
14168 1
14168 1
14168 1
14168 1
