pt_graph cpue_kghour
14098 1.26
14098 0
14098 4.03
14098 2.69
14098 3.7
14098 3.33
14098 0.01
14098 0.05
14098 0.05
14105 1.26
14105 0
14105 4.03
14105 2.69
14105 3.7
14105 3.33
14105 0.01
14105 0.05
14105 0.05
14107 1.26
14107 0
14107 4.03
14107 2.69
14107 3.7
14107 3.33
14107 0.01
14107 0.05
14107 0.05
14143 1.26
14143 0
14143 4.03
14143 2.69
14143 3.7
14143 3.33
14143 0.01
14143 0.05
14143 0.05
14150 1.26
14150 0
14150 4.03
14150 2.69
14150 3.7
14150 3.33
14150 0.01
14150 0.05
14150 0.05
14151 1.26
14151 0
14151 4.03
14151 2.69
14151 3.7
14151 3.33
14151 0.01
14151 0.05
14151 0.05
14152 1.26
14152 0
14152 4.03
14152 2.69
14152 3.7
14152 3.33
14152 0.01
14152 0.05
14152 0.05
14158 1.26
14158 0
14158 4.03
14158 2.69
14158 3.7
14158 3.33
14158 0.01
14158 0.05
14158 0.05
14160 1.26
14160 0
14160 4.03
14160 2.69
14160 3.7
14160 3.33
14160 0.01
14160 0.05
14160 0.05
14201 1.26
14201 0
14201 4.03
14201 2.69
14201 3.7
14201 3.33
14201 0.01
14201 0.05
14201 0.05
14209 1.26
14209 0
14209 4.03
14209 2.69
14209 3.7
14209 3.33
14209 0.01
14209 0.05
14209 0.05
14211 1.26
14211 0
14211 4.03
14211 2.69
14211 3.7
14211 3.33
14211 0.01
14211 0.05
14211 0.05
14212 1.26
14212 0
14212 4.03
14212 2.69
14212 3.7
14212 3.33
14212 0.01
14212 0.05
14212 0.05
14241 1.26
14241 0
14241 4.03
14241 2.69
14241 3.7
14241 3.33
14241 0.01
14241 0.05
14241 0.05
14255 1.26
14255 0
14255 4.03
14255 2.69
14255 3.7
14255 3.33
14255 0.01
14255 0.05
14255 0.05
14256 1.26
14256 0
14256 4.03
14256 2.69
14256 3.7
14256 3.33
14256 0.01
14256 0.05
14256 0.05
14257 1.26
14257 0
14257 4.03
14257 2.69
14257 3.7
14257 3.33
14257 0.01
14257 0.05
14257 0.05
14258 1.26
14258 0
14258 4.03
14258 2.69
14258 3.7
14258 3.33
14258 0.01
14258 0.05
14258 0.05
14259 1.26
14259 0
14259 4.03
14259 2.69
14259 3.7
14259 3.33
14259 0.01
14259 0.05
14259 0.05
14289 1.26
14289 0
14289 4.03
14289 2.69
14289 3.7
14289 3.33
14289 0.01
14289 0.05
14289 0.05
14291 1.26
14291 0
14291 4.03
14291 2.69
14291 3.7
14291 3.33
14291 0.01
14291 0.05
14291 0.05
14298 1.26
14298 0
14298 4.03
14298 2.69
14298 3.7
14298 3.33
14298 0.01
14298 0.05
14298 0.05
14300 1.26
14300 0
14300 4.03
14300 2.69
14300 3.7
14300 3.33
14300 0.01
14300 0.05
14300 0.05
14302 1.26
14302 0
14302 4.03
14302 2.69
14302 3.7
14302 3.33
14302 0.01
14302 0.05
14302 0.05
14303 1.26
14303 0
14303 4.03
14303 2.69
14303 3.7
14303 3.33
14303 0.01
14303 0.05
14303 0.05
14304 1.26
14304 0
14304 4.03
14304 2.69
14304 3.7
14304 3.33
14304 0.01
14304 0.05
14304 0.05
14305 1.26
14305 0
14305 4.03
14305 2.69
14305 3.7
14305 3.33
14305 0.01
14305 0.05
14305 0.05
14306 1.26
14306 0
14306 4.03
14306 2.69
14306 3.7
14306 3.33
14306 0.01
14306 0.05
14306 0.05
14331 1.26
14331 0
14331 4.03
14331 2.69
14331 3.7
14331 3.33
14331 0.01
14331 0.05
14331 0.05
14344 1.26
14344 0
14344 4.03
14344 2.69
14344 3.7
14344 3.33
14344 0.01
14344 0.05
14344 0.05
14345 1.26
14345 0
14345 4.03
14345 2.69
14345 3.7
14345 3.33
14345 0.01
14345 0.05
14345 0.05
14349 1.26
14349 0
14349 4.03
14349 2.69
14349 3.7
14349 3.33
14349 0.01
14349 0.05
14349 0.05
14350 1.26
14350 0
14350 4.03
14350 2.69
14350 3.7
14350 3.33
14350 0.01
14350 0.05
14350 0.05
14351 1.26
14351 0
14351 4.03
14351 2.69
14351 3.7
14351 3.33
14351 0.01
14351 0.05
14351 0.05
14353 1.26
14353 0
14353 4.03
14353 2.69
14353 3.7
14353 3.33
14353 0.01
14353 0.05
14353 0.05
14375 1.26
14375 0
14375 4.03
14375 2.69
14375 3.7
14375 3.33
14375 0.01
14375 0.05
14375 0.05
14380 1.26
14380 0
14380 4.03
14380 2.69
14380 3.7
14380 3.33
14380 0.01
14380 0.05
14380 0.05
14384 1.26
14384 0
14384 4.03
14384 2.69
14384 3.7
14384 3.33
14384 0.01
14384 0.05
14384 0.05
14386 1.26
14386 0
14386 4.03
14386 2.69
14386 3.7
14386 3.33
14386 0.01
14386 0.05
14386 0.05
14390 1.26
14390 0
14390 4.03
14390 2.69
14390 3.7
14390 3.33
14390 0.01
14390 0.05
14390 0.05
14391 1.26
14391 0
14391 4.03
14391 2.69
14391 3.7
14391 3.33
14391 0.01
14391 0.05
14391 0.05
14392 1.26
14392 0
14392 4.03
14392 2.69
14392 3.7
14392 3.33
