pt_graph freq
14045 1
14048 1
14152 1
14192 1
14204 1
14239 1
14240 1
14257 1
14299 1
14303 1
14304 1
14306 1
14337 1
14340 1
14344 1
14345 1
14350 1
14352 1
14380 1
14386 1
14392 1
14422 1
14423 1
14432 1
14436 1
14463 1
14464 1
14465 1
14466 1
14470 1
14472 1
14474 1
14509 1
14533 1
14538 1
14561 1
14569 1
14570 1
14571 1
14572 1
14604 1
14605 1
14606 1
14607 1
14629 1
14631 1
14632 1
14633 1
14638 1
14640 1
14641 1
14664 1
14665 1
14669 1
14674 1
14693 1
14699 1
14703 1
14707 1
14730 1
14731 1
14737 1
14739 1
14762 1
14769 1
14788 1
14795 1
14796 1
14799 1
14800 1
14802 1
14827 1
14829 1
14831 1
14857 1
14882 1
14886 1
14887 1
14910 1
14915 1
14937 1
14964 1
14986 1
15014 1
15039 1
15040 1
15043 1
15065 1
15067 1
15068 1
15070 1
15095 1
15096 1
15097 1
15098 1
15099 1
15100 1
15132 1
15133 1
15134 1
15135 1
15136 1
15137 1
15170 1
15174 1
15176 1
15177 1
15178 1
15218 1
15221 1
15222 1
15267 1
15268 1
15269 1
15270 1
15312 1
15314 1
15315 1
15316 1
15317 1
15318 1
15369 1
15370 1
15371 1
15372 1
15425 1
15426 1
15427 1
15428 1
15429 1
15430 1
15431 1
15489 1
15492 1
15493 1
15494 1
15557 1
15558 1
15620 1
15621 1
15622 1
15681 1
15686 1
15752 1
15753 1
15754 1
15815 1
15820 1
15821 1
15822 1
15887 1
15947 1
15948 1
15951 1
16004 1
16005 1
16006 1
16007 1
16056 1
16057 1
16059 1
16104 1
16105 1
16107 1
16150 1
16152 1
16153 1
16154 1
16155 1
16198 1
16199 1
16201 1
16202 1
16242 1
16246 1
16248 1
16293 1
16339 1
16341 1
16384 1
