pt_graph freq
8958 1
9117 1
9118 1
9242 1
9290 1
9345 1
9394 1
9402 1
9448 1
9451 1
9508 1
9519 1
9580 1
9605 1
9734 1
9745 1
9756 1
9810 1
9903 1
9973 1
9984 1
9989 1
9991 1
10069 1
10125 1
10132 1
10144 1
10145 1
10225 1
10294 1
10296 1
10302 1
10389 1
10406 1
10483 1
10692 1
10783 1
10784 1
10790 1
10798 1
10897 1
10996 1
11004 1
11237 1
11349 1
11355 1
11502 1
11752 1
11754 1
11862 1
11884 1
11888 1
11996 1
12012 1
12013 1
12014 1
12138 1
12241 1
12369 1
12384 1
12385 1
12505 1
12639 1
12645 1
12752 1
12864 1
12866 1
12874 1
12984 1
12992 1
13000 1
13005 1
13119 1
13120 1
13123 1
13298 1
13313 1
13391 1
13470 1
13475 1
13557 1
13664 1
13672 1
13728 1
13778 1
13813 1
13816 1
13834 1
13837 1
13868 1
13875 1
13892 1
13930 1
13951 1
13989 1
13997 1
14001 1
14036 1
14054 1
14095 1
14099 1
14111 1
14147 1
14152 1
14160 1
14163 1
14246 1
14260 1
14285 1
14287 1
14300 1
14337 1
14345 1
14347 1
14349 1
14373 1
14381 1
14390 1
14501 1
14537 1
14591 1
14598 1
14599 1
14628 1
14880 1
