pt_graph shape
9080 1
9080 1
9080 1
9080 1
9080 1
9080 1
9080 1
9080 1
9080 1
9082 1
9082 1
9082 1
9082 1
9082 1
9082 1
9082 1
9082 1
9082 1
9285 1
9285 1
9285 1
9285 1
9285 1
9285 1
9285 1
9285 1
9285 1
9296 1
9296 1
9296 1
9296 1
9296 1
9296 1
9296 1
9296 1
9296 1
9334 1
9334 1
9334 1
9334 1
9334 1
9334 1
9334 1
9334 1
9334 1
9336 1
9336 1
9336 1
9336 1
9336 1
9336 1
9336 1
9336 1
9336 1
9398 1
9398 1
9398 1
9398 1
9398 1
9398 1
9398 1
9398 1
9398 1
9401 1
9401 1
9401 1
9401 1
9401 1
9401 1
9401 1
9401 1
9401 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9458 1
9458 1
9458 1
9458 1
9458 1
9458 1
9458 1
9458 1
9458 1
9578 1
9578 1
9578 1
9578 1
9578 1
9578 1
9578 1
9578 1
9578 1
9759 1
9759 1
9759 1
9759 1
9759 1
9759 1
9759 1
9759 1
9759 1
9804 1
9804 1
9804 1
9804 1
9804 1
9804 1
9804 1
9804 1
9804 1
9815 1
9815 1
9815 1
9815 1
9815 1
9815 1
9815 1
9815 1
9815 1
9907 1
9907 1
9907 1
9907 1
9907 1
9907 1
9907 1
9907 1
9907 1
9922 1
9922 1
9922 1
9922 1
9922 1
9922 1
9922 1
9922 1
9922 1
9977 1
9977 1
9977 1
9977 1
9977 1
9977 1
9977 1
9977 1
9977 1
9986 1
9986 1
9986 1
9986 1
9986 1
9986 1
9986 1
9986 1
9986 1
10073 1
10073 1
10073 1
10073 1
10073 1
10073 1
10073 1
10073 1
10073 1
10143 1
10143 1
10143 1
10143 1
10143 1
10143 1
10143 1
10143 1
10143 1
10146 1
10146 1
10146 1
10146 1
10146 1
10146 1
10146 1
10146 1
10146 1
10151 1
10151 1
10151 1
10151 1
10151 1
10151 1
10151 1
10151 1
10151 1
10207 1
10207 1
10207 1
10207 1
10207 1
10207 1
10207 1
10207 1
10207 1
10217 1
10217 1
10217 1
10217 1
10217 1
10217 1
10217 1
10217 1
10217 1
10226 1
10226 1
10226 1
10226 1
10226 1
10226 1
10226 1
10226 1
10226 1
10293 1
10293 1
10293 1
10293 1
10293 1
10293 1
10293 1
10293 1
10293 1
10377 1
10377 1
10377 1
10377 1
10377 1
10377 1
10377 1
10377 1
10377 1
10391 1
10391 1
10391 1
10391 1
10391 1
10391 1
10391 1
10391 1
10391 1
10488 1
10488 1
10488 1
10488 1
10488 1
10488 1
10488 1
10488 1
10488 1
10696 1
10696 1
10696 1
10696 1
10696 1
10696 1
10696 1
10696 1
10696 1
10783 1
10783 1
10783 1
10783 1
10783 1
10783 1
10783 1
10783 1
10783 1
10888 1
10888 1
10888 1
10888 1
10888 1
10888 1
10888 1
10888 1
10888 1
11119 1
11119 1
11119 1
11119 1
11119 1
11119 1
11119 1
11119 1
11119 1
11355 1
11355 1
11355 1
11355 1
11355 1
11355 1
11355 1
11355 1
11355 1
11504 1
11504 1
11504 1
11504 1
11504 1
11504 1
11504 1
11504 1
11504 1
11733 1
11733 1
11733 1
11733 1
11733 1
11733 1
11733 1
11733 1
11733 1
11886 1
11886 1
11886 1
11886 1
11886 1
11886 1
11886 1
11886 1
11886 1
11993 1
11993 1
11993 1
11993 1
11993 1
11993 1
11993 1
11993 1
11993 1
12239 1
12239 1
12239 1
12239 1
12239 1
12239 1
12239 1
12239 1
12239 1
12252 1
12252 1
12252 1
12252 1
12252 1
12252 1
12252 1
12252 1
12252 1
12371 1
12371 1
12371 1
12371 1
12371 1
12371 1
12371 1
12371 1
12371 1
12393 1
12393 1
12393 1
12393 1
12393 1
12393 1
12393 1
12393 1
12393 1
12506 1
12506 1
12506 1
12506 1
12506 1
12506 1
12506 1
12506 1
12506 1
12627 1
12627 1
12627 1
12627 1
12627 1
12627 1
12627 1
12627 1
12627 1
12630 1
12630 1
12630 1
12630 1
12630 1
12630 1
12630 1
12630 1
12630 1
12641 1
12641 1
12641 1
12641 1
12641 1
12641 1
12641 1
12641 1
12641 1
12760 1
12760 1
12760 1
12760 1
12760 1
12760 1
