pt_graph cpue_kghour
9237 1.18
9237 0
9237 3.42
9237 2.48
9237 3.19
9237 2.94
9237 0
9237 0
9237 0
9335 1.18
9335 0
9335 3.42
9335 2.48
9335 3.19
9335 2.94
9335 0
9335 0
9335 0
9391 1.18
9391 0
9391 3.42
9391 2.48
9391 3.19
9391 2.94
9391 0
9391 0
9391 0
9393 1.18
9393 0
9393 3.42
9393 2.48
9393 3.19
9393 2.94
9393 0
9393 0
9393 0
9443 1.18
9443 0
9443 3.42
9443 2.48
9443 3.19
9443 2.94
9443 0
9443 0
9443 0
9450 1.18
9450 0
9450 3.42
9450 2.48
9450 3.19
9450 2.94
9450 0
9450 0
9450 0
9507 1.18
9507 0
9507 3.42
9507 2.48
9507 3.19
9507 2.94
9507 0
9507 0
9507 0
9510 1.18
9510 0
9510 3.42
9510 2.48
9510 3.19
9510 2.94
9510 0
9510 0
9510 0
9512 1.18
9512 0
9512 3.42
9512 2.48
9512 3.19
9512 2.94
9512 0
9512 0
9512 0
9573 1.18
9573 0
9573 3.42
9573 2.48
9573 3.19
9573 2.94
9573 0
9573 0
9573 0
9579 1.18
9579 0
9579 3.42
9579 2.48
9579 3.19
9579 2.94
9579 0
9579 0
9579 0
9581 1.18
9581 0
9581 3.42
9581 2.48
9581 3.19
9581 2.94
9581 0
9581 0
9581 0
9583 1.18
9583 0
9583 3.42
9583 2.48
9583 3.19
9583 2.94
9583 0
9583 0
9583 0
9584 1.18
9584 0
9584 3.42
9584 2.48
9584 3.19
9584 2.94
9584 0
9584 0
9584 0
9655 1.18
9655 0
9655 3.42
9655 2.48
9655 3.19
9655 2.94
9655 0
9655 0
9655 0
9656 1.18
9656 0
9656 3.42
9656 2.48
9656 3.19
9656 2.94
9656 0
9656 0
9656 0
9657 1.18
9657 0
9657 3.42
9657 2.48
9657 3.19
9657 2.94
9657 0
9657 0
9657 0
9658 1.18
9658 0
9658 3.42
9658 2.48
9658 3.19
9658 2.94
9658 0
9658 0
9658 0
9660 1.18
9660 0
9660 3.42
9660 2.48
9660 3.19
9660 2.94
9660 0
9660 0
9660 0
9733 1.18
9733 0
9733 3.42
9733 2.48
9733 3.19
9733 2.94
9733 0
9733 0
9733 0
9735 1.18
9735 0
9735 3.42
9735 2.48
9735 3.19
9735 2.94
9735 0
9735 0
9735 0
9805 1.18
9805 0
9805 3.42
9805 2.48
9805 3.19
9805 2.94
9805 0
9805 0
9805 0
9811 1.18
9811 0
9811 3.42
9811 2.48
9811 3.19
9811 2.94
9811 0
9811 0
9811 0
9813 1.18
9813 0
9813 3.42
9813 2.48
9813 3.19
9813 2.94
9813 0
9813 0
9813 0
9817 1.18
9817 0
9817 3.42
9817 2.48
9817 3.19
9817 2.94
9817 0
9817 0
9817 0
9819 1.18
9819 0
9819 3.42
9819 2.48
9819 3.19
9819 2.94
9819 0
9819 0
9819 0
9891 1.18
9891 0
9891 3.42
9891 2.48
9891 3.19
9891 2.94
9891 0
9891 0
9891 0
9892 1.18
9892 0
9892 3.42
9892 2.48
9892 3.19
9892 2.94
9892 0
9892 0
9892 0
9893 1.18
9893 0
9893 3.42
9893 2.48
9893 3.19
9893 2.94
9893 0
9893 0
9893 0
9894 1.18
9894 0
9894 3.42
9894 2.48
9894 3.19
9894 2.94
9894 0
9894 0
9894 0
9895 1.18
9895 0
9895 3.42
9895 2.48
9895 3.19
9895 2.94
9895 0
9895 0
9895 0
9896 1.18
9896 0
9896 3.42
9896 2.48
9896 3.19
9896 2.94
9896 0
9896 0
9896 0
9898 1.18
9898 0
9898 3.42
9898 2.48
9898 3.19
9898 2.94
9898 0
9898 0
9898 0
9899 1.18
9899 0
9899 3.42
9899 2.48
9899 3.19
9899 2.94
9899 0
9899 0
9899 0
9901 1.18
9901 0
9901 3.42
9901 2.48
9901 3.19
9901 2.94
9901 0
9901 0
9901 0
9902 1.18
9902 0
9902 3.42
9902 2.48
9902 3.19
9902 2.94
9902 0
9902 0
9902 0
9970 1.18
9970 0
9970 3.42
9970 2.48
9970 3.19
9970 2.94
9970 0
9970 0
9970 0
9971 1.18
9971 0
9971 3.42
9971 2.48
9971 3.19
9971 2.94
9971 0
9971 0
9971 0
9972 1.18
9972 0
9972 3.42
9972 2.48
9972 3.19
9972 2.94
9972 0
9972 0
9972 0
9974 1.18
9974 0
9974 3.42
9974 2.48
9974 3.19
9974 2.94
9974 0
9974 0
9974 0
9975 1.18
9975 0
9975 3.42
9975 2.48
9975 3.19
9975 2.94
9975 0
9975 0
9975 0
9976 1.18
9976 0
9976 3.42
9976 2.48
9976 3.19
9976 2.94
9976 0
9976 0
9976 0
9978 1.18
9978 0
9978 3.42
9978 2.48
9978 3.19
9978 2.94
9978 0
9978 0
9978 0
9979 1.18
9979 0
9979 3.42
9979 2.48
9979 3.19
9979 2.94
9979 0
9979 0
9979 0
9980 1.18
9980 0
9980 3.42
9980 2.48
9980 3.19
9980 2.94
9980 0
9980 0
9980 0
9981 1.18
9981 0
9981 3.42
9981 2.48
9981 3.19
9981 2.94
9981 0
9981 0
9981 0
9984 1.18
9984 0
9984 3.42
9984 2.48
9984 3.19
9984 2.94
9984 0
9984 0
9984 0
10050 1.18
10050 0
10050 3.42
10050 2.48
10050 3.19
10050 2.94
10050 0
10050 0
10050 0
10054 1.18
10054 0
10054 3.42
10054 2.48
10054 3.19
10054 2.94
10054 0
10054 0
10054 0
10055 1.18
10055 0
10055 3.42
10055 2.48
10055 3.19
10055 2.94
10055 0
10055 0
10055 0
10056 1.18
10056 0
10056 3.42
10056 2.48
10056 3.19
10056 2.94
10056 0
10056 0
10056 0
10057 1.18
10057 0
10057 3.42
10057 2.48
10057 3.19
10057 2.94
10057 0
10057 0
10057 0
10058 1.18
10058 0
10058 3.42
10058 2.48
10058 3.19
10058 2.94
10058 0
10058 0
