pt_graph met
9238 0
9582 0
9737 0
9884 0
9893 0
9899 0
9901 0
9968 0
10045 0
10054 0
10142 0
10143 0
10144 0
10216 0
10217 0
10224 0
10225 0
10227 0
10231 0
10303 0
10304 0
10306 0
10308 0
10309 0
10310 0
10391 0
10392 0
10393 0
10484 0
10487 0
10588 0
10681 0
10687 0
10692 0
10784 0
10887 0
10898 0
10994 0
10997 0
11116 0
11349 0
11350 0
11355 0
11476 0
11603 0
11867 0
11993 0
11995 0
12366 0
12499 0
12630 0
12862 0
12983 0
13099 0
13103 0
13200 0
13204 0
13206 0
13209 0
13297 0
13304 0
13462 0
13535 0
13539 0
13706 0
