pt_graph cpue_kghour
13890 1.16
13890 0
13890 3.76
13890 2.18
13890 2
13890 2.95
13890 0
13890 0
13890 0
13892 1.16
13892 0
13892 3.76
13892 2.18
13892 2
13892 2.95
13892 0
13892 0
13892 0
13893 1.16
13893 0
13893 3.76
13893 2.18
13893 2
13893 2.95
13893 0
13893 0
13893 0
13946 1.16
13946 0
13946 3.76
13946 2.18
13946 2
13946 2.95
13946 0
13946 0
13946 0
13948 1.16
13948 0
13948 3.76
13948 2.18
13948 2
13948 2.95
13948 0
13948 0
13948 0
13950 1.16
13950 0
13950 3.76
13950 2.18
13950 2
13950 2.95
13950 0
13950 0
13950 0
13951 1.16
13951 0
13951 3.76
13951 2.18
13951 2
13951 2.95
13951 0
13951 0
13951 0
13952 1.16
13952 0
13952 3.76
13952 2.18
13952 2
13952 2.95
13952 0
13952 0
13952 0
14003 1.16
14003 0
14003 3.76
14003 2.18
14003 2
14003 2.95
14003 0
14003 0
14003 0
14004 1.16
14004 0
14004 3.76
14004 2.18
14004 2
14004 2.95
14004 0
14004 0
14004 0
14006 1.16
14006 0
14006 3.76
14006 2.18
14006 2
14006 2.95
14006 0
14006 0
14006 0
14007 1.16
14007 0
14007 3.76
14007 2.18
14007 2
14007 2.95
14007 0
14007 0
14007 0
14008 1.16
14008 0
14008 3.76
14008 2.18
14008 2
14008 2.95
14008 0
14008 0
14008 0
14060 1.16
14060 0
14060 3.76
14060 2.18
14060 2
14060 2.95
14060 0
14060 0
14060 0
14062 1.16
14062 0
14062 3.76
14062 2.18
14062 2
14062 2.95
14062 0
14062 0
14062 0
14114 1.16
14114 0
14114 3.76
14114 2.18
14114 2
14114 2.95
14114 0
14114 0
14114 0
14115 1.16
14115 0
14115 3.76
14115 2.18
14115 2
14115 2.95
14115 0
14115 0
14115 0
14156 1.16
14156 0
14156 3.76
14156 2.18
14156 2
14156 2.95
14156 0
14156 0
14156 0
14212 1.16
14212 0
14212 3.76
14212 2.18
14212 2
14212 2.95
14212 0
14212 0
14212 0
14255 1.16
14255 0
14255 3.76
14255 2.18
14255 2
14255 2.95
14255 0
14255 0
14255 0
14256 1.16
14256 0
14256 3.76
14256 2.18
14256 2
14256 2.95
14256 0
14256 0
14256 0
14258 1.16
14258 0
14258 3.76
14258 2.18
14258 2
14258 2.95
14258 0
14258 0
14258 0
14300 1.16
14300 0
14300 3.76
14300 2.18
14300 2
14300 2.95
14300 0
14300 0
14300 0
14301 1.16
14301 0
14301 3.76
14301 2.18
14301 2
14301 2.95
14301 0
14301 0
14301 0
14303 1.16
14303 0
14303 3.76
14303 2.18
14303 2
14303 2.95
14303 0
14303 0
14303 0
14304 1.16
14304 0
14304 3.76
14304 2.18
14304 2
14304 2.95
14304 0
14304 0
14304 0
14305 1.16
14305 0
14305 3.76
14305 2.18
14305 2
14305 2.95
14305 0
14305 0
14305 0
14306 1.16
14306 0
14306 3.76
14306 2.18
14306 2
14306 2.95
14306 0
14306 0
14306 0
14307 1.16
14307 0
14307 3.76
14307 2.18
14307 2
14307 2.95
14307 0
14307 0
14307 0
14308 1.16
14308 0
14308 3.76
14308 2.18
14308 2
14308 2.95
14308 0
14308 0
14308 0
14344 1.16
14344 0
14344 3.76
14344 2.18
14344 2
14344 2.95
14344 0
14344 0
14344 0
14349 1.16
14349 0
14349 3.76
14349 2.18
14349 2
14349 2.95
14349 0
14349 0
14349 0
14351 1.16
14351 0
14351 3.76
14351 2.18
14351 2
14351 2.95
14351 0
14351 0
14351 0
14353 1.16
14353 0
14353 3.76
14353 2.18
14353 2
14353 2.95
14353 0
14353 0
14353 0
14355 1.16
14355 0
14355 3.76
14355 2.18
14355 2
14355 2.95
14355 0
14355 0
14355 0
14380 1.16
14380 0
14380 3.76
14380 2.18
14380 2
14380 2.95
14380 0
14380 0
14380 0
14381 1.16
14381 0
14381 3.76
14381 2.18
14381 2
14381 2.95
14381 0
14381 0
14381 0
14391 1.16
14391 0
14391 3.76
14391 2.18
14391 2
14391 2.95
14391 0
