pt_graph met
13838 2
13892 2
13893 2
13943 2
13944 2
13946 2
13947 2
13948 2
13949 2
13950 2
13951 2
13952 2
14000 2
14002 2
14006 2
14007 2
14009 2
14056 2
14062 2
14064 2
14109 2
14112 2
14114 2
14163 2
14166 2
14167 2
14169 2
14208 2
14213 2
14214 2
14216 2
14217 2
14252 2
14255 2
14257 2
14258 2
14262 2
14264 2
14295 2
14299 2
14300 2
14303 2
14304 2
14305 2
14306 2
14307 2
14308 2
14309 2
14310 2
14342 2
14344 2
14345 2
14346 2
14349 2
14350 2
14351 2
14352 2
14353 2
14380 2
14384 2
14386 2
14387 2
14388 2
14389 2
14390 2
14391 2
14392 2
14394 2
14395 2
14396 2
14397 2
14422 2
14423 2
14424 2
14425 2
14426 2
14427 2
14428 2
14431 2
14432 2
14433 2
14435 2
14436 2
14437 2
14438 2
14462 2
14463 2
14464 2
14469 2
14470 2
14472 2
14473 2
14474 2
14475 2
14499 2
14500 2
14501 2
14502 2
14504 2
14505 2
14507 2
14508 2
14509 2
14531 2
14536 2
14538 2
14540 2
14565 2
14568 2
14569 2
14570 2
14571 2
14572 2
14573 2
14596 2
14598 2
14599 2
14600 2
14601 2
14604 2
14605 2
14606 2
14607 2
14629 2
14631 2
14632 2
14633 2
14637 2
14640 2
14641 2
14663 2
14665 2
14666 2
14669 2
14670 2
14671 2
14672 2
14673 2
14674 2
14694 2
14699 2
14701 2
14703 2
14704 2
14706 2
14707 2
14730 2
14731 2
14734 2
14736 2
14737 2
14738 2
14761 2
14762 2
14763 2
14764 2
14765 2
14770 2
14791 2
14793 2
14795 2
14796 2
14799 2
14800 2
14801 2
14802 2
14825 2
14826 2
14827 2
14828 2
14830 2
14831 2
14855 2
14857 2
14886 2
14887 2
14913 2
14915 2
14936 2
14967 2
14990 2
15013 2
15014 2
15037 2
15038 2
15039 2
15040 2
15043 2
15061 2
15064 2
15065 2
15066 2
15067 2
15068 2
15070 2
15093 2
15095 2
15096 2
15097 2
15098 2
15099 2
15100 2
15126 2
15129 2
15130 2
15131 2
15133 2
15134 2
15135 2
15136 2
15137 2
15169 2
15170 2
15172 2
15173 2
15174 2
15175 2
15176 2
15177 2
15178 2
15212 2
15217 2
15218 2
15219 2
15220 2
15221 2
15222 2
15260 2
15261 2
15262 2
15263 2
15265 2
15266 2
15267 2
15268 2
15269 2
15270 2
15311 2
15312 2
15313 2
15314 2
15315 2
15316 2
15317 2
15318 2
15364 2
15365 2
15366 2
15367 2
15368 2
15369 2
15370 2
15371 2
15372 2
15425 2
15426 2
15427 2
15428 2
15429 2
15430 2
15431 2
15487 2
15489 2
15491 2
15492 2
15493 2
15494 2
15553 2
15556 2
15557 2
15558 2
15575 2
15615 2
15616 2
15617 2
15619 2
15620 2
15622 2
15638 2
15682 2
15683 2
15684 2
15685 2
15686 2
15749 2
15751 2
15752 2
15753 2
15754 2
15815 2
15816 2
15818 2
15820 2
15821 2
15822 2
15881 2
15882 2
15884 2
15885 2
15886 2
15887 2
15945 2
15946 2
15947 2
15948 2
15949 2
15950 2
15951 2
15997 2
16000 2
16002 2
16003 2
16005 2
16006 2
16007 2
16050 2
16053 2
16054 2
16055 2
16056 2
16057 2
16058 2
16059 2
16100 2
16103 2
16104 2
16105 2
16106 2
16107 2
16146 2
16148 2
16149 2
16150 2
16151 2
16152 2
16153 2
16154 2
16155 2
16193 2
16194 2
16195 2
16198 2
16199 2
16200 2
16201 2
16202 2
16241 2
16242 2
16243 2
16244 2
16245 2
16247 2
16248 2
16294 2
16334 2
16337 2
16339 2
16340 2
16341 2
16376 2
16379 2
16380 2
16381 2
16383 2
16384 2
16419 2
16422 2
16424 2
16425 2
16426 2
16464 2
16467 2
16469 2
16470 2
16512 2
16514 2
16515 2
16554 2
16556 2
16557 2
16558 2
16598 2
16599 2
16601 2
16643 2
16645 2
16686 2
16687 2
16734 2
16780 2
16781 2
16782 2
16829 2
16830 2
16878 2
16879 2
