pt_graph shape
10337 1
10337 1
10337 1
10337 1
10337 1
10337 1
10337 1
10337 1
10337 1
10342 1
10342 1
10342 1
10342 1
10342 1
10342 1
10342 1
10342 1
10342 1
10430 1
10430 1
10430 1
10430 1
10430 1
10430 1
10430 1
10430 1
10430 1
10523 1
10523 1
10523 1
10523 1
10523 1
10523 1
10523 1
10523 1
10523 1
10525 1
10525 1
10525 1
10525 1
10525 1
10525 1
10525 1
10525 1
10525 1
10620 1
10620 1
10620 1
10620 1
10620 1
10620 1
10620 1
10620 1
10620 1
10625 1
10625 1
10625 1
10625 1
10625 1
10625 1
10625 1
10625 1
10625 1
10717 1
10717 1
10717 1
10717 1
10717 1
10717 1
10717 1
10717 1
10717 1
10723 1
10723 1
10723 1
10723 1
10723 1
10723 1
10723 1
10723 1
10723 1
10724 1
10724 1
10724 1
10724 1
10724 1
10724 1
10724 1
10724 1
10724 1
10725 1
10725 1
10725 1
10725 1
10725 1
10725 1
10725 1
10725 1
10725 1
10825 1
10825 1
10825 1
10825 1
10825 1
10825 1
10825 1
10825 1
10825 1
10826 1
10826 1
10826 1
10826 1
10826 1
10826 1
10826 1
10826 1
10826 1
10923 1
10923 1
10923 1
10923 1
10923 1
10923 1
10923 1
10923 1
10923 1
10926 1
10926 1
10926 1
10926 1
10926 1
10926 1
10926 1
10926 1
10926 1
10927 1
10927 1
10927 1
10927 1
10927 1
10927 1
10927 1
10927 1
10927 1
10928 1
10928 1
10928 1
10928 1
10928 1
10928 1
10928 1
10928 1
10928 1
11040 1
11040 1
11040 1
11040 1
11040 1
11040 1
11040 1
11040 1
11040 1
11031 1
11031 1
11031 1
11031 1
11031 1
11031 1
11031 1
11031 1
11031 1
11032 1
11032 1
11032 1
11032 1
11032 1
11032 1
11032 1
11032 1
11032 1
11035 1
11035 1
11035 1
11035 1
11035 1
11035 1
11035 1
11035 1
11035 1
11036 1
11036 1
11036 1
11036 1
11036 1
11036 1
11036 1
11036 1
11036 1
11037 1
11037 1
11037 1
11037 1
11037 1
11037 1
11037 1
11037 1
11037 1
11154 1
11154 1
11154 1
11154 1
11154 1
11154 1
11154 1
11154 1
11154 1
11155 1
11155 1
11155 1
11155 1
11155 1
11155 1
11155 1
11155 1
11155 1
11152 1
11152 1
11152 1
11152 1
11152 1
11152 1
11152 1
11152 1
11152 1
11153 1
11153 1
11153 1
11153 1
11153 1
11153 1
11153 1
11153 1
11153 1
11149 1
11149 1
11149 1
11149 1
11149 1
11149 1
11149 1
11149 1
11149 1
11150 1
11150 1
11150 1
11150 1
11150 1
11150 1
11150 1
11150 1
11150 1
11151 1
11151 1
11151 1
11151 1
11151 1
11151 1
11151 1
11151 1
11151 1
11146 1
11146 1
11146 1
11146 1
11146 1
11146 1
11146 1
11146 1
11146 1
11147 1
11147 1
11147 1
11147 1
11147 1
11147 1
11147 1
11147 1
11147 1
11144 1
11144 1
11144 1
11144 1
11144 1
11144 1
11144 1
11144 1
11144 1
11276 1
11276 1
11276 1
11276 1
11276 1
11276 1
11276 1
11276 1
11276 1
11277 1
11277 1
11277 1
11277 1
11277 1
11277 1
11277 1
11277 1
11277 1
11274 1
11274 1
11274 1
11274 1
11274 1
11274 1
11274 1
11274 1
11274 1
11275 1
11275 1
11275 1
11275 1
11275 1
11275 1
11275 1
11275 1
