pt_graph cpue_kghour
10176 1.38
10176 0
10176 4.95
10176 3
10176 4.46
10176 3.94
10176 0.01
10176 0.05
10176 0.05
10337 1.38
10337 0
10337 4.95
10337 3
10337 4.46
10337 3.94
10337 0.01
10337 0.05
10337 0.05
10624 1.38
10624 0
10624 4.95
10624 3
10624 4.46
10624 3.94
10624 0.01
10624 0.05
10624 0.05
10927 1.38
10927 0
10927 4.95
10927 3
10927 4.46
10927 3.94
10927 0.01
10927 0.05
10927 0.05
11142 1.38
11142 0
11142 4.95
11142 3
11142 4.46
11142 3.94
11142 0.01
11142 0.05
11142 0.05
11145 1.38
11145 0
11145 4.95
11145 3
11145 4.46
11145 3.94
11145 0.01
11145 0.05
11145 0.05
11397 1.38
11397 0
11397 4.95
11397 3
11397 4.46
11397 3.94
11397 0.01
11397 0.05
11397 0.05
11392 1.38
11392 0
11392 4.95
11392 3
11392 4.46
11392 3.94
11392 0.01
11392 0.05
11392 0.05
11390 1.38
11390 0
11390 4.95
11390 3
11390 4.46
11390 3.94
11390 0.01
11390 0.05
11390 0.05
11386 1.38
11386 0
11386 4.95
11386 3
11386 4.46
11386 3.94
11386 0.01
11386 0.05
11386 0.05
11388 1.38
11388 0
11388 4.95
11388 3
11388 4.46
11388 3.94
11388 0.01
11388 0.05
11388 0.05
11534 1.38
11534 0
11534 4.95
11534 3
11534 4.46
11534 3.94
11534 0.01
11534 0.05
11534 0.05
11628 1.38
11628 0
11628 4.95
11628 3
11628 4.46
11628 3.94
11628 0.01
11628 0.05
11628 0.05
11629 1.38
11629 0
11629 4.95
11629 3
11629 4.46
11629 3.94
11629 0.01
11629 0.05
11629 0.05
11630 1.38
11630 0
11630 4.95
11630 3
11630 4.46
11630 3.94
11630 0.01
11630 0.05
11630 0.05
11633 1.38
11633 0
11633 4.95
11633 3
11633 4.46
11633 3.94
11633 0.01
11633 0.05
11633 0.05
11785 1.38
11785 0
11785 4.95
11785 3
11785 4.46
11785 3.94
11785 0.01
11785 0.05
11785 0.05
11922 1.38
11922 0
11922 4.95
11922 3
11922 4.46
11922 3.94
11922 0.01
11922 0.05
11922 0.05
11917 1.38
11917 0
11917 4.95
11917 3
11917 4.46
11917 3.94
11917 0.01
11917 0.05
11917 0.05
11916 1.38
11916 0
11916 4.95
11916 3
11916 4.46
11916 3.94
11916 0.01
11916 0.05
11916 0.05
12013 1.38
12013 0
12013 4.95
12013 3
12013 4.46
12013 3.94
12013 0.01
12013 0.05
12013 0.05
12034 1.38
12034 0
12034 4.95
12034 3
12034 4.46
12034 3.94
12034 0.01
12034 0.05
12034 0.05
12132 1.38
12132 0
12132 4.95
12132 3
12132 4.46
12132 3.94
12132 0.01
12132 0.05
12132 0.05
12133 1.38
12133 0
12133 4.95
12133 3
12133 4.46
12133 3.94
12133 0.01
12133 0.05
12133 0.05
12162 1.38
12162 0
12162 4.95
12162 3
12162 4.46
12162 3.94
12162 0.01
12162 0.05
12162 0.05
12142 1.38
12142 0
12142 4.95
12142 3
12142 4.46
12142 3.94
12142 0.01
12142 0.05
12142 0.05
12152 1.38
12152 0
12152 4.95
12152 3
12152 4.46
12152 3.94
12152 0.01
12152 0.05
12152 0.05
12273 1.38
12273 0
12273 4.95
12273 3
12273 4.46
12273 3.94
12273 0.01
12273 0.05
12273 0.05
12275 1.38
12275 0
12275 4.95
12275 3
12275 4.46
12275 3.94
12275 0.01
12275 0.05
12275 0.05
12276 1.38
12276 0
12276 4.95
12276 3
12276 4.46
12276 3.94
12276 0.01
12276 0.05
12276 0.05
12548 1.38
12548 0
12548 4.95
12548 3
12548 4.46
12548 3.94
12548 0.01
12548 0.05
12548 0.05
12520 1.38
12520 0
12520 4.95
12520 3
12520 4.46
12520 3.94
12520 0.01
12520 0.05
12520 0.05
12545 1.38
12545 0
12545 4.95
12545 3
12545 4.46
12545 3.94
12545 0.01
12545 0.05
12545 0.05
12530 1.38
12530 0
12530 4.95
12530 3
12530 4.46
12530 3.94
12530 0.01
12530 0.05
12530 0.05
12531 1.38
12531 0
12531 4.95
12531 3
12531 4.46
12531 3.94
12531 0.01
12531 0.05
12531 0.05
12673 1.38
12673 0
12673 4.95
12673 3
12673 4.46
12673 3.94
12673 0.01
12673 0.05
12673 0.05
12651 1.38
12651 0
12651 4.95
12651 3
12651 4.46
12651 3.94
12651 0.01
12651 0.05
12651 0.05
12660 1.38
12660 0
12660 4.95
12660 3
12660 4.46
12660 3.94
12660 0.01
12660 0.05
12660 0.05
12914 1.38
12914 0
12914 4.95
12914 3
12914 4.46
12914 3.94
12914 0.01
12914 0.05
12914 0.05
13027 1.38
13027 0
13027 4.95
13027 3
13027 4.46
13027 3.94
13027 0.01
13027 0.05
13027 0.05
13028 1.38
13028 0
13028 4.95
13028 3
13028 4.46
13028 3.94
13028 0.01
13028 0.05
13028 0.05
13023 1.38
13023 0
13023 4.95
13023 3
13023 4.46
13023 3.94
13023 0.01
13023 0.05
13023 0.05
13024 1.38
13024 0
13024 4.95
13024 3
13024 4.46
13024 3.94
13024 0.01
13024 0.05
13024 0.05
13490 1.38
13490 0
13490 4.95
13490 3
13490 4.46
13490 3.94
13490 0.01
13490 0.05
13490 0.05
13727 1.38
13727 0
13727 4.95
13727 3
13727 4.46
13727 3.94
13727 0.01
13727 0.05
13727 0.05
