pt_graph freq
10177 1
10260 1
10342 1
10429 1
10626 1
10722 1
10725 1
10824 1
10826 1
10926 1
10928 1
11030 1
11036 1
11037 1
11040 1
11146 1
11147 1
11149 1
11150 1
11151 1
11152 1
11153 1
11154 1
11155 1
11264 1
11266 1
11267 1
11268 1
11269 1
11270 1
11271 1
11274 1
11275 1
11277 1
11385 1
11386 1
11390 1
11391 1
11392 1
11394 1
11395 1
11397 1
11398 1
11400 1
11401 1
11402 1
11513 1
11514 1
11515 1
11520 1
11521 1
11524 1
11528 1
11530 1
11531 1
11532 1
11533 1
11534 1
11640 1
11641 1
11643 1
11644 1
11645 1
11646 1
11647 1
11649 1
11651 1
11653 1
11655 1
11656 1
11657 1
11658 1
11659 1
11660 1
11661 1
11762 1
11766 1
11769 1
11772 1
11773 1
11776 1
11780 1
11781 1
11783 1
11784 1
11785 1
11786 1
11787 1
11790 1
11791 1
11793 1
11896 1
11899 1
11902 1
11904 1
11905 1
11906 1
11908 1
11912 1
11919 1
11921 1
11922 1
11923 1
11924 1
12025 1
12029 1
12030 1
12031 1
12032 1
12036 1
12038 1
12039 1
12040 1
12041 1
12043 1
12044 1
12046 1
12048 1
12142 1
12143 1
12145 1
12147 1
12148 1
12149 1
12150 1
12153 1
12158 1
12159 1
12160 1
12161 1
12162 1
12164 1
12169 1
12170 1
12171 1
12265 1
12266 1
12268 1
12269 1
12273 1
12275 1
12276 1
12280 1
12281 1
12282 1
12283 1
12284 1
12285 1
12286 1
12287 1
12288 1
12291 1
12293 1
12294 1
12295 1
12296 1
12388 1
12396 1
12399 1
12400 1
12401 1
12402 1
12403 1
12404 1
12405 1
12406 1
12407 1
12408 1
12411 1
12412 1
12413 1
12414 1
12415 1
12416 1
12418 1
12419 1
12420 1
12421 1
12422 1
12424 1
12425 1
12426 1
12427 1
12520 1
12524 1
12525 1
12526 1
12527 1
12528 1
12529 1
12530 1
12531 1
12532 1
12533 1
12534 1
12535 1
12536 1
12537 1
12538 1
12539 1
12540 1
12541 1
12542 1
12543 1
12544 1
12545 1
12546 1
12547 1
12548 1
12549 1
12552 1
12556 1
12557 1
12558 1
12559 1
12648 1
12654 1
12655 1
12656 1
12657 1
12658 1
12660 1
12661 1
12662 1
12663 1
12664 1
12665 1
12666 1
12667 1
12669 1
12670 1
12671 1
12672 1
12673 1
12676 1
12679 1
12680 1
12681 1
12682 1
12784 1
12787 1
12788 1
12789 1
12790 1
12792 1
12794 1
12795 1
12796 1
12797 1
12798 1
12905 1
12906 1
12907 1
12910 1
12911 1
12912 1
12913 1
12914 1
12916 1
13010 1
13022 1
13023 1
13025 1
13026 1
13027 1
13028 1
13139 1
13727 1
