pt_graph met
10341 1
10724 1
10725 1
10826 1
10928 1
11036 1
11037 1
11040 1
11150 1
11151 1
11152 1
11153 1
11154 1
11155 1
11264 1
11268 1
11273 1
11274 1
11277 1
11390 1
11391 1
11392 1
11398 1
11401 1
11402 1
11520 1
11521 1
11532 1
11534 1
11625 1
11630 1
11643 1
11650 1
11655 1
11762 1
11781 1
11787 1
11788 1
11789 1
11793 1
11896 1
11903 1
11919 1
11924 1
12029 1
12136 1
12137 1
12144 1
12148 1
12149 1
12171 1
12265 1
12273 1
12274 1
12278 1
12293 1
12295 1
12296 1
12394 1
12402 1
12410 1
12411 1
12412 1
12413 1
12414 1
12415 1
12416 1
12426 1
12427 1
12520 1
12523 1
12527 1
12531 1
12533 1
12535 1
12538 1
12539 1
12540 1
12541 1
12542 1
12543 1
12544 1
12545 1
12546 1
12547 1
12548 1
12549 1
12559 1
12654 1
12655 1
12657 1
12662 1
12664 1
12665 1
12667 1
12669 1
12670 1
12671 1
12672 1
12677 1
12679 1
12784 1
12792 1
12793 1
12795 1
12796 1
12797 1
12905 1
12908 1
12912 1
12913 1
12914 1
13022 1
13025 1
13026 1
13027 1
13028 1
13123 1
13334 1
13409 1
13555 1
14009 1
