pt_graph freq
10725 1
10826 1
10928 1
11036 1
11040 1
11149 1
11150 1
11151 1
11152 1
11153 1
11154 1
11155 1
11268 1
11269 1
11270 1
11271 1
11272 1
11274 1
11275 1
11276 1
11277 1
11388 1
11391 1
11394 1
11395 1
11396 1
11397 1
11398 1
11399 1
11401 1
11402 1
11520 1
11521 1
11522 1
11524 1
11525 1
11530 1
11531 1
11532 1
11533 1
11534 1
11647 1
11652 1
11654 1
11655 1
11660 1
11785 1
11787 1
11790 1
11791 1
11792 1
11793 1
11906 1
11907 1
11915 1
11918 1
11920 1
11924 1
11925 1
11927 1
12042 1
12044 1
12045 1
12046 1
12047 1
12049 1
12050 1
12150 1
12154 1
12160 1
12162 1
12163 1
12164 1
12165 1
12166 1
12168 1
12169 1
12170 1
12171 1
12275 1
12282 1
12286 1
12287 1
12289 1
12290 1
12291 1
12295 1
12296 1
12410 1
12416 1
12420 1
12424 1
12426 1
12427 1
12531 1
12533 1
12537 1
12538 1
12539 1
12540 1
12542 1
12543 1
12544 1
12546 1
12547 1
12548 1
12549 1
12551 1
12554 1
12555 1
12557 1
12559 1
12560 1
12655 1
12656 1
12658 1
12659 1
12661 1
12662 1
12663 1
12664 1
12666 1
12667 1
12669 1
12670 1
12671 1
12672 1
12673 1
12675 1
12677 1
12678 1
12679 1
12680 1
12682 1
12696 1
12784 1
12787 1
12788 1
12790 1
12792 1
12793 1
12795 1
12796 1
12797 1
12798 1
12800 1
12803 1
12816 1
12905 1
12907 1
12909 1
12910 1
12911 1
12912 1
12913 1
12914 1
12916 1
12917 1
12942 1
13022 1
13023 1
13024 1
13025 1
13026 1
13027 1
13028 1
13037 1
13039 1
13058 1
13062 1
13155 1
13246 1
13338 1
13344 1
13422 1
13423 1
13495 1
13496 1
13497 1
