pt_graph met
11040 0
11149 0
11150 0
11151 0
11152 0
11153 0
11154 0
11155 0
11268 0
11269 0
11270 0
11271 0
11272 0
11274 0
11275 0
11276 0
11277 0
11391 0
11392 0
11394 0
11395 0
11397 0
11398 0
11399 0
11400 0
11401 0
11402 0
11522 0
11525 0
11526 0
11527 0
11529 0
11531 0
11533 0
11534 0
11651 0
11652 0
11653 0
11655 0
11657 0
11658 0
11659 0
11660 0
11661 0
11782 0
11783 0
11784 0
11787 0
11788 0
11789 0
11790 0
11791 0
11792 0
11793 0
11909 0
11911 0
11912 0
11916 0
11917 0
11918 0
11919 0
11922 0
11923 0
11924 0
12035 0
12036 0
12039 0
12041 0
12042 0
12043 0
12044 0
12046 0
12047 0
12048 0
12050 0
12052 0
12155 0
12157 0
12158 0
12159 0
12160 0
12161 0
12162 0
12163 0
12164 0
12165 0
12166 0
12167 0
12170 0
12171 0
12173 0
12279 0
12280 0
12281 0
12282 0
12283 0
12284 0
12285 0
12286 0
12288 0
12289 0
12292 0
12293 0
12294 0
12295 0
12296 0
12297 0
12298 0
12410 0
12411 0
12412 0
12413 0
12414 0
12415 0
12416 0
12418 0
12419 0
12421 0
12422 0
12423 0
12424 0
12425 0
12426 0
12427 0
12540 0
12541 0
12542 0
12543 0
12544 0
12545 0
12546 0
12547 0
12548 0
12549 0
12550 0
12554 0
12555 0
12556 0
12557 0
12558 0
12559 0
12665 0
12666 0
12667 0
12669 0
12670 0
12671 0
12672 0
12673 0
12675 0
12676 0
12677 0
12678 0
12679 0
12680 0
12682 0
12784 0
12787 0
12788 0
12789 0
12792 0
12794 0
12795 0
12796 0
12797 0
12798 0
12799 0
12800 0
12803 0
12905 0
12906 0
12907 0
12908 0
12910 0
12911 0
12912 0
12913 0
12914 0
12916 0
12917 0
12918 0
12936 0
13022 0
13023 0
13025 0
13026 0
13027 0
13028 0
13030 0
13034 0
13139 0
13142 0
13147 0
13238 0
13240 0
13242 0
13243 0
13247 0
13255 0
13336 0
13337 0
13338 0
13417 0
13421 0
13423 0
13496 0
