pt_graph cpue_kghour
11040 1.14
11040 0
11040 3.12
11040 2.38
11040 2.94
11040 2.74
11040 0.01
11040 0.05
11040 0.05
11154 1.14
11154 0
11154 3.12
11154 2.38
11154 2.94
11154 2.74
11154 0.01
11154 0.05
11154 0.05
11155 1.14
11155 0
11155 3.12
11155 2.38
11155 2.94
11155 2.74
11155 0.01
11155 0.05
11155 0.05
11152 1.14
11152 0
11152 3.12
11152 2.38
11152 2.94
11152 2.74
11152 0.01
11152 0.05
11152 0.05
11153 1.14
11153 0
11153 3.12
11153 2.38
11153 2.94
11153 2.74
11153 0.01
11153 0.05
11153 0.05
11149 1.14
11149 0
11149 3.12
11149 2.38
11149 2.94
11149 2.74
11149 0.01
11149 0.05
11149 0.05
11150 1.14
11150 0
11150 3.12
11150 2.38
11150 2.94
11150 2.74
11150 0.01
11150 0.05
11150 0.05
11151 1.14
11151 0
11151 3.12
11151 2.38
11151 2.94
11151 2.74
11151 0.01
11151 0.05
11151 0.05
11276 1.14
11276 0
11276 3.12
11276 2.38
11276 2.94
11276 2.74
11276 0.01
11276 0.05
11276 0.05
11277 1.14
11277 0
11277 3.12
11277 2.38
11277 2.94
11277 2.74
11277 0.01
11277 0.05
11277 0.05
11274 1.14
11274 0
11274 3.12
11274 2.38
11274 2.94
11274 2.74
11274 0.01
11274 0.05
11274 0.05
11275 1.14
11275 0
11275 3.12
11275 2.38
11275 2.94
11275 2.74
11275 0.01
11275 0.05
11275 0.05
11271 1.14
11271 0
11271 3.12
11271 2.38
11271 2.94
11271 2.74
11271 0.01
11271 0.05
11271 0.05
11272 1.14
11272 0
11272 3.12
11272 2.38
11272 2.94
11272 2.74
11272 0.01
11272 0.05
11272 0.05
11268 1.14
11268 0
11268 3.12
11268 2.38
11268 2.94
11268 2.74
11268 0.01
11268 0.05
11268 0.05
11269 1.14
11269 0
11269 3.12
11269 2.38
11269 2.94
11269 2.74
11269 0.01
11269 0.05
11269 0.05
11270 1.14
11270 0
11270 3.12
11270 2.38
11270 2.94
11270 2.74
11270 0.01
11270 0.05
11270 0.05
11401 1.14
11401 0
11401 3.12
11401 2.38
11401 2.94
11401 2.74
11401 0.01
11401 0.05
11401 0.05
11402 1.14
11402 0
11402 3.12
11402 2.38
11402 2.94
11402 2.74
11402 0.01
11402 0.05
11402 0.05
11399 1.14
11399 0
11399 3.12
11399 2.38
11399 2.94
11399 2.74
11399 0.01
11399 0.05
11399 0.05
11400 1.14
11400 0
11400 3.12
11400 2.38
11400 2.94
11400 2.74
11400 0.01
11400 0.05
11400 0.05
11397 1.14
11397 0
11397 3.12
11397 2.38
11397 2.94
11397 2.74
11397 0.01
11397 0.05
11397 0.05
11398 1.14
11398 0
11398 3.12
11398 2.38
11398 2.94
11398 2.74
11398 0.01
11398 0.05
11398 0.05
11394 1.14
11394 0
11394 3.12
11394 2.38
11394 2.94
11394 2.74
11394 0.01
11394 0.05
11394 0.05
11395 1.14
11395 0
11395 3.12
11395 2.38
11395 2.94
11395 2.74
11395 0.01
11395 0.05
11395 0.05
11391 1.14
11391 0
11391 3.12
11391 2.38
11391 2.94
11391 2.74
11391 0.01
11391 0.05
11391 0.05
11392 1.14
11392 0
11392 3.12
11392 2.38
11392 2.94
11392 2.74
11392 0.01
11392 0.05
11392 0.05
11534 1.14
11534 0
11534 3.12
11534 2.38
11534 2.94
11534 2.74
11534 0.01
11534 0.05
11534 0.05
11533 1.14
11533 0
11533 3.12
11533 2.38
11533 2.94
11533 2.74
11533 0.01
11533 0.05
11533 0.05
11531 1.14
11531 0
11531 3.12
11531 2.38
11531 2.94
11531 2.74
11531 0.01
11531 0.05
11531 0.05
11529 1.14
11529 0
11529 3.12
11529 2.38
11529 2.94
11529 2.74
11529 0.01
11529 0.05
11529 0.05
11525 1.14
11525 0
11525 3.12
11525 2.38
11525 2.94
11525 2.74
11525 0.01
11525 0.05
11525 0.05
11526 1.14
11526 0
11526 3.12
11526 2.38
11526 2.94
11526 2.74
11526 0.01
11526 0.05
11526 0.05
11527 1.14
11527 0
11527 3.12
11527 2.38
11527 2.94
11527 2.74
11527 0.01
11527 0.05
11527 0.05
11522 1.14
11522 0
11522 3.12
11522 2.38
11522 2.94
11522 2.74
11522 0.01
11522 0.05
11522 0.05
11661 1.14
11661 0
11661 3.12
11661 2.38
11661 2.94
11661 2.74
11661 0.01
11661 0.05
11661 0.05
11659 1.14
11659 0
11659 3.12
11659 2.38
11659 2.94
11659 2.74
11659 0.01
11659 0.05
11659 0.05
11660 1.14
11660 0
11660 3.12
11660 2.38
11660 2.94
11660 2.74
11660 0.01
11660 0.05
11660 0.05
11657 1.14
11657 0
11657 3.12
11657 2.38
11657 2.94
11657 2.74
11657 0.01
11657 0.05
11657 0.05
11658 1.14
11658 0
11658 3.12
11658 2.38
11658 2.94
11658 2.74
11658 0.01
11658 0.05
11658 0.05
11655 1.14
11655 0
11655 3.12
11655 2.38
11655 2.94
11655 2.74
11655 0.01
11655 0.05
11655 0.05
11652 1.14
11652 0
11652 3.12
11652 2.38
11652 2.94
11652 2.74
11652 0.01
11652 0.05
11652 0.05
11653 1.14
11653 0
11653 3.12
11653 2.38
11653 2.94
11653 2.74
11653 0.01
11653 0.05
11653 0.05
11651 1.14
11651 0
11651 3.12
11651 2.38
11651 2.94
11651 2.74
11651 0.01
11651 0.05
11651 0.05
11793 1.14
11793 0
11793 3.12
11793 2.38
11793 2.94
11793 2.74
11793 0.01
11793 0.05
11793 0.05
11791 1.14
11791 0
11791 3.12
11791 2.38
11791 2.94
11791 2.74
11791 0.01
11791 0.05
11791 0.05
11792 1.14
11792 0
11792 3.12
11792 2.38
11792 2.94
11792 2.74
11792 0.01
11792 0.05
11792 0.05
11789 1.14
11789 0
11789 3.12
11789 2.38
11789 2.94
11789 2.74
11789 0.01
11789 0.05
11789 0.05
11790 1.14
11790 0
11790 3.12
11790 2.38
11790 2.94
11790 2.74
11790 0.01
11790 0.05
11790 0.05
11787 1.14
11787 0
11787 3.12
11787 2.38
11787 2.94
11787 2.74
11787 0.01
11787 0.05
11787 0.05
11788 1.14
11788 0
11788 3.12
11788 2.38
11788 2.94
11788 2.74
11788 0.01
11788 0.05
11788 0.05
11782 1.14
11782 0
11782 3.12
11782 2.38
11782 2.94
11782 2.74
11782 0.01
11782 0.05
11782 0.05
11783 1.14
11783 0
11783 3.12
11783 2.38
11783 2.94
11783 2.74
11783 0.01
11783 0.05
11783 0.05
11784 1.14
11784 0
11784 3.12
11784 2.38
11784 2.94
11784 2.74
11784 0.01
11784 0.05
11784 0.05
11923 1.14
11923 0
11923 3.12
11923 2.38
11923 2.94
11923 2.74
11923 0.01
11923 0.05
11923 0.05
11924 1.14
11924 0
11924 3.12
11924 2.38
11924 2.94
11924 2.74
11924 0.01
11924 0.05
11924 0.05
11922 1.14
11922 0
11922 3.12
11922 2.38
11922 2.94
11922 2.74
11922 0.01
11922 0.05
11922 0.05
11919 1.14
11919 0
11919 3.12
11919 2.38
11919 2.94
11919 2.74
11919 0.01
11919 0.05
11919 0.05
11917 1.14
11917 0
11917 3.12
11917 2.38
11917 2.94
11917 2.74
11917 0.01
11917 0.05
11917 0.05
11918 1.14
11918 0
11918 3.12
11918 2.38
11918 2.94
11918 2.74
11918 0.01
11918 0.05
11918 0.05
11916 1.14
11916 0
11916 3.12
11916 2.38
11916 2.94
11916 2.74
11916 0.01
11916 0.05
11916 0.05
11911 1.14
11911 0
11911 3.12
11911 2.38
11911 2.94
11911 2.74
11911 0.01
11911 0.05
11911 0.05
11912 1.14
11912 0
11912 3.12
11912 2.38
11912 2.94
11912 2.74
11912 0.01
11912 0.05
11912 0.05
11909 1.14
11909 0
11909 3.12
11909 2.38
11909 2.94
11909 2.74
11909 0.01
11909 0.05
11909 0.05
12052 1.14
12052 0
12052 3.12
12052 2.38
12052 2.94
12052 2.74
12052 0.01
12052 0.05
12052 0.05
12050 1.14
12050 0
12050 3.12
12050 2.38
12050 2.94
12050 2.74
12050 0.01
12050 0.05
12050 0.05
12047 1.14
12047 0
12047 3.12
12047 2.38
12047 2.94
12047 2.74
12047 0.01
12047 0.05
12047 0.05
12048 1.14
12048 0
12048 3.12
12048 2.38
12048 2.94
12048 2.74
12048 0.01
