pt_graph freq
179 1
180 1
181 1
207 1
208 1
209 1
234 1
236 1
237 1
238 1
239 1
240 1
242 1
277 1
278 1
280 1
281 1
282 1
283 1
284 1
286 1
325 1
326 1
328 1
329 1
330 1
331 1
332 1
374 1
375 1
376 1
421 1
426 1
470 1
629 1
630 1
684 1
685 1
687 1
688 1
690 1
744 1
745 1
746 1
802 1
803 1
861 1
862 1
920 1
1042 1
1043 1
1166 1
1167 1
1168 1
1227 1
1228 1
1230 1
1232 1
1291 1
1292 1
1295 1
1296 1
1361 1
1362 1
1422 1
1489 1
1490 1
1495 1
1556 1
1557 1
1562 1
1563 1
1594 1
1595 1
1623 1
1624 1
1625 1
1630 1
1631 1
1633 1
1634 1
1673 1
1701 1
1702 1
1707 1
1708 1
1709 1
1710 1
1711 1
1783 1
1784 1
1785 1
1789 1
1790 1
1791 1
1792 1
1793 1
1794 1
1795 1
1868 1
1876 1
1877 1
1878 1
1879 1
1880 1
1881 1
1926 1
1955 1
1956 1
1957 1
1958 1
1959 1
1963 1
1964 1
1965 1
2013 1
2014 1
2040 1
2041 1
2042 1
2043 1
2044 1
2045 1
2046 1
2051 1
2100 1
2125 1
2126 1
2127 1
2128 1
2129 1
2130 1
2131 1
2134 1
2208 1
2209 1
2210 1
2289 1
2290 1
2966 1
3050 1
3051 1
3052 1
3135 1
3136 1
3217 1
3297 1
3377 1
3378 1
3379 1
3460 1
