pt_graph met
977 0
1163 0
1290 0
1357 0
1422 0
1487 0
1488 0
1489 0
1490 0
1555 0
1556 0
1557 0
1620 0
1623 0
1624 0
1701 0
1702 0
1703 0
1957 0
1958 0
2045 0
2046 0
2126 0
2127 0
2128 0
2129 0
2130 0
2208 0
2210 0
2211 0
2290 0
2372 0
2455 0
2456 0
2630 0
2713 0
2714 0
2795 0
2798 0
2799 0
2883 0
2884 0
2885 0
2967 0
2969 0
3053 0
3054 0
3136 0
3217 0
3374 0
3378 0
3379 0
3458 0
3459 0
3460 0
3461 0
3537 0
3538 0
3539 0
3540 0
3616 0
3617 0
3618 0
3847 0
3918 0
3919 0
3987 0
3988 0
4053 0
4054 0
4119 0
