pt_graph cpue_kghour
686 1.21
686 0
686 2.91
686 2.47
686 3.31
686 2.83
686 0
686 0
686 0
978 1.21
978 0
978 2.91
978 2.47
978 3.31
978 2.83
978 0
978 0
978 0
1291 1.21
1291 0
1291 2.91
1291 2.47
1291 3.31
1291 2.83
1291 0
1291 0
1291 0
1356 1.21
1356 0
1356 2.91
1356 2.47
1356 3.31
1356 2.83
1356 0
1356 0
1356 0
1423 1.21
1423 0
1423 2.91
1423 2.47
1423 3.31
1423 2.83
1423 0
1423 0
1423 0
1422 1.21
1422 0
1422 2.91
1422 2.47
1422 3.31
1422 2.83
1422 0
1422 0
1422 0
1421 1.21
1421 0
1421 2.91
1421 2.47
1421 3.31
1421 2.83
1421 0
1421 0
1421 0
1491 1.21
1491 0
1491 2.91
1491 2.47
1491 3.31
1491 2.83
1491 0
1491 0
1491 0
1488 1.21
1488 0
1488 2.91
1488 2.47
1488 3.31
1488 2.83
1488 0
1488 0
1488 0
1487 1.21
1487 0
1487 2.91
1487 2.47
1487 3.31
1487 2.83
1487 0
1487 0
1487 0
1558 1.21
1558 0
1558 2.91
1558 2.47
1558 3.31
1558 2.83
1558 0
1558 0
1558 0
1557 1.21
1557 0
1557 2.91
1557 2.47
1557 3.31
1557 2.83
1557 0
1557 0
1557 0
1556 1.21
1556 0
1556 2.91
1556 2.47
1556 3.31
1556 2.83
1556 0
1556 0
1556 0
1554 1.21
1554 0
1554 2.91
1554 2.47
1554 3.31
1554 2.83
1554 0
1554 0
1554 0
1623 1.21
1623 0
1623 2.91
1623 2.47
1623 3.31
1623 2.83
1623 0
1623 0
1623 0
1621 1.21
1621 0
1621 2.91
1621 2.47
1621 3.31
1621 2.83
1621 0
1621 0
1621 0
2045 1.21
2045 0
2045 2.91
2045 2.47
2045 3.31
2045 2.83
2045 0
2045 0
2045 0
2044 1.21
2044 0
2044 2.91
2044 2.47
2044 3.31
2044 2.83
2044 0
2044 0
2044 0
2130 1.21
2130 0
2130 2.91
2130 2.47
2130 3.31
2130 2.83
2130 0
2130 0
2130 0
2129 1.21
2129 0
2129 2.91
2129 2.47
2129 3.31
2129 2.83
2129 0
2129 0
2129 0
2127 1.21
2127 0
2127 2.91
2127 2.47
2127 3.31
2127 2.83
2127 0
2127 0
2127 0
2211 1.21
2211 0
2211 2.91
2211 2.47
2211 3.31
2211 2.83
2211 0
2211 0
2211 0
2210 1.21
2210 0
2210 2.91
2210 2.47
2210 3.31
2210 2.83
2210 0
2210 0
2210 0
2372 1.21
2372 0
2372 2.91
2372 2.47
2372 3.31
2372 2.83
2372 0
2372 0
2372 0
2456 1.21
2456 0
2456 2.91
2456 2.47
2456 3.31
2456 2.83
2456 0
2456 0
2456 0
2543 1.21
2543 0
2543 2.91
2543 2.47
2543 3.31
2543 2.83
2543 0
2543 0
2543 0
2542 1.21
2542 0
2542 2.91
2542 2.47
2542 3.31
2542 2.83
2542 0
2542 0
2542 0
2630 1.21
2630 0
2630 2.91
2630 2.47
2630 3.31
2630 2.83
2630 0
2630 0
2630 0
2713 1.21
2713 0
2713 2.91
2713 2.47
2713 3.31
2713 2.83
2713 0
2713 0
2713 0
2799 1.21
2799 0
2799 2.91
2799 2.47
2799 3.31
2799 2.83
2799 0
2799 0
2799 0
2885 1.21
2885 0
2885 2.91
2885 2.47
2885 3.31
2885 2.83
2885 0
2885 0
2885 0
2881 1.21
2881 0
2881 2.91
2881 2.47
2881 3.31
2881 2.83
2881 0
2881 0
2881 0
2969 1.21
2969 0
2969 2.91
2969 2.47
2969 3.31
2969 2.83
2969 0
2969 0
2969 0
2968 1.21
2968 0
2968 2.91
2968 2.47
2968 3.31
2968 2.83
2968 0
2968 0
2968 0
3054 1.21
3054 0
3054 2.91
3054 2.47
3054 3.31
3054 2.83
3054 0
3054 0
3054 0
3053 1.21
3053 0
3053 2.91
3053 2.47
3053 3.31
3053 2.83
3053 0
3053 0
3053 0
3052 1.21
3052 0
3052 2.91
3052 2.47
3052 3.31
3052 2.83
3052 0
3052 0
3052 0
3048 1.21
3048 0
3048 2.91
3048 2.47
3048 3.31
3048 2.83
3048 0
3048 0
3048 0
3297 1.21
3297 0
3297 2.91
3297 2.47
3297 3.31
3297 2.83
3297 0
3297 0
3297 0
3379 1.21
3379 0
3379 2.91
3379 2.47
3379 3.31
3379 2.83
3379 0
3379 0
3379 0
3378 1.21
3378 0
3378 2.91
3378 2.47
3378 3.31
3378 2.83
3378 0
3378 0
3378 0
3377 1.21
3377 0
3377 2.91
3377 2.47
3377 3.31
3377 2.83
3377 0
3377 0
3377 0
3461 1.21
3461 0
3461 2.91
3461 2.47
3461 3.31
3461 2.83
3461 0
3461 0
3461 0
3460 1.21
3460 0
3460 2.91
3460 2.47
3460 3.31
3460 2.83
3460 0
3460 0
3460 0
3459 1.21
3459 0
3459 2.91
3459 2.47
3459 3.31
3459 2.83
3459 0
3459 0
3459 0
3458 1.21
3458 0
3458 2.91
3458 2.47
3458 3.31
3458 2.83
3458 0
3458 0
3458 0
3540 1.21
3540 0
3540 2.91
3540 2.47
3540 3.31
3540 2.83
3540 0
3540 0
3540 0
3539 1.21
3539 0
3539 2.91
3539 2.47
3539 3.31
3539 2.83
3539 0
3539 0
3539 0
3538 1.21
3538 0
3538 2.91
3538 2.47
3538 3.31
3538 2.83
3538 0
3538 0
3538 0
3618 1.21
3618 0
3618 2.91
3618 2.47
3618 3.31
3618 2.83
3618 0
3618 0
3618 0
3617 1.21
3617 0
3617 2.91
3617 2.47
3617 3.31
3617 2.83
3617 0
3617 0
3617 0
3616 1.21
3616 0
3616 2.91
3616 2.47
3616 3.31
3616 2.83
3616 0
3616 0
3616 0
3919 1.21
3919 0
3919 2.91
3919 2.47
3919 3.31
3919 2.83
3919 0
3919 0
3919 0
3918 1.21
3918 0
3918 2.91
3918 2.47
3918 3.31
3918 2.83
3918 0
3918 0
3918 0
3988 1.21
3988 0
3988 2.91
3988 2.47
3988 3.31
3988 2.83
3988 0
3988 0
3988 0
3987 1.21
3987 0
3987 2.91
3987 2.47
3987 3.31
3987 2.83
3987 0
3987 0
3987 0
3986 1.21
3986 0
3986 2.91
3986 2.47
3986 3.31
3986 2.83
3986 0
3986 0
3986 0
4054 1.21
4054 0
4054 2.91
4054 2.47
4054 3.31
4054 2.83
4054 0
4054 0
4054 0
4053 1.21
4053 0
4053 2.91
4053 2.47
4053 3.31
4053 2.83
4053 0
4053 0
4053 0
4119 1.21
4119 0
4119 2.91
4119 2.47
4119 3.31
4119 2.83
4119 0
4119 0
4119 0
