pt_graph freq
11115 1
11484 1
11497 1
11863 1
11869 1
11889 1
12013 1
12258 1
12385 1
12501 1
12516 1
12631 1
12634 1
12646 1
12877 1
12881 1
13118 1
13120 1
13121 1
13212 1
13215 1
13216 1
13305 1
13311 1
13320 1
13380 1
13460 1
13543 1
13596 1
13601 1
13605 1
13618 1
13655 1
13673 1
13674 1
13675 1
13708 1
13925 1
13937 1
13942 1
13946 1
13951 1
13998 1
14046 1
14055 1
14087 1
14092 1
14115 1
14160 1
14168 1
14197 1
14207 1
14210 1
14245 1
14255 1
14264 1
14345 1
14374 1
14467 1
14475 1
14495 1
14536 1
14573 1
14594 1
14599 1
14631 1
14641 1
14667 1
14674 1
14762 1
14768 1
14800 1
14829 1
14908 1
14915 1
15008 1
15009 1
15043 1
15070 1
15126 1
15130 1
15171 1
15177 1
15266 1
15489 1
15494 1
15512 1
15575 1
15685 1
15749 1
15820 1
15885 1
15947 1
16007 1
16036 1
16048 1
16056 1
16057 1
16088 1
16104 1
16135 1
16150 1
16224 1
16234 1
16248 1
16275 1
16320 1
16329 1
16368 1
16413 1
16503 1
16513 1
16550 1
16732 1
