pt_graph shape
10897 1
10897 1
10897 1
10897 1
10897 1
10897 1
10897 1
10897 1
10897 1
11007 1
11007 1
11007 1
11007 1
11007 1
11007 1
11007 1
11007 1
11007 1
11114 1
11114 1
11114 1
11114 1
11114 1
11114 1
11114 1
11114 1
11114 1
11233 1
11233 1
11233 1
11233 1
11233 1
11233 1
11233 1
11233 1
11233 1
11234 1
11234 1
11234 1
11234 1
11234 1
11234 1
11234 1
11234 1
11234 1
11241 1
11241 1
11241 1
11241 1
11241 1
11241 1
11241 1
11241 1
11241 1
11354 1
11354 1
11354 1
11354 1
11354 1
11354 1
11354 1
11354 1
11354 1
11355 1
11355 1
11355 1
11355 1
11355 1
11355 1
11355 1
11355 1
11355 1
11480 1
11480 1
11480 1
11480 1
11480 1
11480 1
11480 1
11480 1
11480 1
11481 1
11481 1
11481 1
11481 1
11481 1
11481 1
11481 1
11481 1
11481 1
11607 1
11607 1
11607 1
11607 1
11607 1
11607 1
11607 1
11607 1
11607 1
11626 1
11626 1
11626 1
11626 1
11626 1
11626 1
11626 1
11626 1
11626 1
11739 1
11739 1
11739 1
11739 1
11739 1
11739 1
11739 1
11739 1
11739 1
11753 1
11753 1
11753 1
11753 1
11753 1
11753 1
11753 1
11753 1
11753 1
11754 1
11754 1
11754 1
11754 1
11754 1
11754 1
11754 1
11754 1
11754 1
11757 1
11757 1
11757 1
11757 1
11757 1
11757 1
11757 1
11757 1
11757 1
11883 1
11883 1
11883 1
11883 1
11883 1
11883 1
11883 1
11883 1
11883 1
11885 1
11885 1
11885 1
11885 1
11885 1
11885 1
11885 1
11885 1
11885 1
11886 1
11886 1
11886 1
11886 1
11886 1
11886 1
11886 1
11886 1
11886 1
11994 1
11994 1
11994 1
11994 1
11994 1
11994 1
11994 1
11994 1
11994 1
12010 1
12010 1
12010 1
12010 1
12010 1
12010 1
12010 1
12010 1
12010 1
12011 1
12011 1
12011 1
12011 1
12011 1
12011 1
12011 1
12011 1
12011 1
12014 1
12014 1
12014 1
12014 1
12014 1
12014 1
12014 1
12014 1
12014 1
12113 1
12113 1
12113 1
12113 1
12113 1
12113 1
12113 1
12113 1
12113 1
12128 1
12128 1
12128 1
12128 1
12128 1
12128 1
12128 1
12128 1
12128 1
12129 1
12129 1
12129 1
12129 1
12129 1
12129 1
12129 1
12129 1
12129 1
12131 1
12131 1
12131 1
12131 1
12131 1
12131 1
12131 1
12131 1
12131 1
12133 1
12133 1
12133 1
12133 1
12133 1
12133 1
12133 1
12133 1
12133 1
12134 1
12134 1
12134 1
12134 1
