pt_graph cpue_kghour
13389 1.38
13389 0
13389 4.9
13389 2.99
13389 4.42
13389 3.9
13389 0
13389 0.05
13389 0.05
13599 1.38
13599 0
13599 4.9
13599 2.99
13599 4.42
13599 3.9
13599 0
13599 0.05
13599 0.05
13600 1.38
13600 0
13600 4.9
13600 2.99
13600 4.42
13600 3.9
13600 0
13600 0.05
13600 0.05
13664 1.38
13664 0
13664 4.9
13664 2.99
13664 4.42
13664 3.9
13664 0
13664 0.05
13664 0.05
13720 1.38
13720 0
13720 4.9
13720 2.99
13720 4.42
13720 3.9
13720 0
13720 0.05
13720 0.05
13762 1.38
13762 0
13762 4.9
13762 2.99
13762 4.42
13762 3.9
13762 0
13762 0.05
13762 0.05
13820 1.38
13820 0
13820 4.9
13820 2.99
13820 4.42
13820 3.9
13820 0
13820 0.05
13820 0.05
13828 1.38
13828 0
13828 4.9
13828 2.99
13828 4.42
13828 3.9
13828 0
13828 0.05
13828 0.05
13866 1.38
13866 0
13866 4.9
13866 2.99
13866 4.42
13866 3.9
13866 0
13866 0.05
13866 0.05
13869 1.38
13869 0
13869 4.9
13869 2.99
13869 4.42
13869 3.9
13869 0
13869 0.05
13869 0.05
13934 1.38
13934 0
13934 4.9
13934 2.99
13934 4.42
13934 3.9
13934 0
13934 0.05
13934 0.05
13977 1.38
13977 0
13977 4.9
13977 2.99
13977 4.42
13977 3.9
13977 0
13977 0.05
13977 0.05
14002 1.38
14002 0
14002 4.9
14002 2.99
14002 4.42
14002 3.9
14002 0
14002 0.05
14002 0.05
14055 1.38
14055 0
14055 4.9
14055 2.99
14055 4.42
14055 3.9
14055 0
14055 0.05
14055 0.05
14095 1.38
14095 0
14095 4.9
14095 2.99
14095 4.42
14095 3.9
14095 0
14095 0.05
14095 0.05
14096 1.38
14096 0
14096 4.9
14096 2.99
14096 4.42
14096 3.9
14096 0
14096 0.05
14096 0.05
14163 1.38
14163 0
14163 4.9
14163 2.99
14163 4.42
14163 3.9
14163 0
14163 0.05
14163 0.05
14208 1.38
14208 0
14208 4.9
14208 2.99
14208 4.42
14208 3.9
14208 0
14208 0.05
14208 0.05
14210 1.38
14210 0
14210 4.9
14210 2.99
14210 4.42
14210 3.9
14210 0
14210 0.05
14210 0.05
14211 1.38
14211 0
14211 4.9
14211 2.99
14211 4.42
14211 3.9
14211 0
14211 0.05
14211 0.05
14238 1.38
14238 0
14238 4.9
14238 2.99
14238 4.42
14238 3.9
14238 0
14238 0.05
14238 0.05
14330 1.38
14330 0
14330 4.9
14330 2.99
14330 4.42
