pt_graph met
13389 0
13599 0
13600 0
13664 0
13720 0
13762 0
13820 0
13828 0
13866 0
13869 0
13934 0
13977 0
14002 0
14055 0
14095 0
14096 0
14163 0
14208 0
14210 0
14211 0
14238 0
14330 0
14337 0
14349 0
14355 0
14385 0
14394 0
14435 0
14466 0
14470 0
14474 0
14538 0
14565 0
14570 0
14571 0
14599 0
14607 0
14634 0
14638 0
14641 0
14674 0
14695 0
14699 0
14703 0
14726 0
14728 0
14739 0
14761 0
14766 0
14798 0
14799 0
14802 0
14830 0
14855 0
14857 0
14885 0
14887 0
15032 0
15039 0
15040 0
15068 0
15096 0
15098 0
15100 0
15137 0
15171 0
15176 0
15220 0
15221 0
15222 0
15267 0
15269 0
15312 0
15313 0
15314 0
15316 0
15317 0
15318 0
15364 0
15365 0
15366 0
15367 0
15368 0
15369 0
15371 0
15426 0
15427 0
15430 0
15431 0
15490 0
15493 0
15494 0
15555 0
15619 0
15622 0
15681 0
15684 0
15752 0
15754 0
15818 0
15882 0
15884 0
15885 0
15950 0
15951 0
