pt_graph shape
6507 1
6507 1
6507 1
6507 1
6507 1
6507 1
6507 1
6507 1
6507 1
6689 1
6689 1
6689 1
6689 1
6689 1
6689 1
6689 1
6689 1
6689 1
6683 1
6683 1
6683 1
6683 1
6683 1
6683 1
6683 1
6683 1
6683 1
6748 1
6748 1
6748 1
6748 1
6748 1
6748 1
6748 1
6748 1
6748 1
6866 1
6866 1
6866 1
6866 1
6866 1
6866 1
6866 1
6866 1
6866 1
6923 1
6923 1
6923 1
6923 1
6923 1
6923 1
6923 1
6923 1
6923 1
7481 1
7481 1
7481 1
7481 1
7481 1
7481 1
7481 1
7481 1
7481 1
7545 1
7545 1
7545 1
7545 1
7545 1
7545 1
7545 1
7545 1
7545 1
7799 1
7799 1
7799 1
7799 1
7799 1
7799 1
7799 1
7799 1
7799 1
7998 1
7998 1
7998 1
7998 1
7998 1
7998 1
7998 1
7998 1
7998 1
8032 1
8032 1
8032 1
8032 1
8032 1
8032 1
8032 1
8032 1
8032 1
8095 1
8095 1
8095 1
8095 1
8095 1
8095 1
8095 1
8095 1
8095 1
8161 1
8161 1
8161 1
8161 1
8161 1
8161 1
8161 1
8161 1
8161 1
8182 1
8182 1
8182 1
8182 1
8182 1
8182 1
8182 1
8182 1
8182 1
8215 1
8215 1
8215 1
8215 1
8215 1
8215 1
8215 1
8215 1
8215 1
8302 1
8302 1
8302 1
8302 1
8302 1
8302 1
8302 1
8302 1
8302 1
8339 1
8339 1
8339 1
8339 1
8339 1
8339 1
8339 1
8339 1
8339 1
8384 1
8384 1
8384 1
8384 1
8384 1
8384 1
8384 1
8384 1
8384 1
8387 1
8387 1
8387 1
8387 1
8387 1
8387 1
8387 1
8387 1
8387 1
8442 1
8442 1
8442 1
8442 1
8442 1
8442 1
8442 1
8442 1
8442 1
8443 1
8443 1
8443 1
8443 1
8443 1
8443 1
8443 1
8443 1
8443 1
8444 1
8444 1
8444 1
8444 1
8444 1
8444 1
8444 1
8444 1
8444 1
8501 1
8501 1
8501 1
8501 1
8501 1
8501 1
8501 1
8501 1
8501 1
8518 1
8518 1
8518 1
8518 1
8518 1
8518 1
8518 1
8518 1
8518 1
8607 1
8607 1
8607 1
8607 1
8607 1
8607 1
8607 1
8607 1
8607 1
8659 1
8659 1
8659 1
8659 1
8659 1
8659 1
8659 1
8659 1
8659 1
8691 1
8691 1
8691 1
8691 1
8691 1
8691 1
8691 1
8691 1
8691 1
8803 1
8803 1
8803 1
8803 1
8803 1
8803 1
8803 1
8803 1
8803 1
8847 1
8847 1
8847 1
8847 1
8847 1
8847 1
8847 1
8847 1
8847 1
8891 1
8891 1
8891 1
8891 1
8891 1
8891 1
8891 1
8891 1
8891 1
9000 1
9000 1
9000 1
9000 1
9000 1
9000 1
9000 1
9000 1
9000 1
9080 1
9080 1
9080 1
9080 1
9080 1
9080 1
9080 1
9080 1
9080 1
9091 1
9091 1
9091 1
9091 1
9091 1
9091 1
9091 1
9091 1
9091 1
9164 1
9164 1
9164 1
9164 1
9164 1
9164 1
9164 1
9164 1
9164 1
9173 1
9173 1
9173 1
9173 1
9173 1
9173 1
9173 1
9173 1
9173 1
9309 1
9309 1
9309 1
9309 1
9309 1
9309 1
9309 1
9309 1
9309 1
9364 1
9364 1
9364 1
9364 1
9364 1
9364 1
9364 1
9364 1
9364 1
9400 1
9400 1
9400 1
9400 1
9400 1
9400 1
9400 1
9400 1
9400 1
9533 1
9533 1
9533 1
9533 1
9533 1
9533 1
9533 1
9533 1
9533 1
9536 1
9536 1
9536 1
9536 1
9536 1
9536 1
9536 1
9536 1
9536 1
9589 1
9589 1
9589 1
9589 1
9589 1
9589 1
9589 1
9589 1
9589 1
9608 1
9608 1
9608 1
9608 1
9608 1
9608 1
9608 1
9608 1
9608 1
9656 1
9656 1
9656 1
9656 1
9656 1
9656 1
9656 1
9656 1
9656 1
9766 1
9766 1
9766 1
9766 1
9766 1
9766 1
9766 1
9766 1
9766 1
9815 1
9815 1
9815 1
9815 1
9815 1
9815 1
9815 1
9815 1
9815 1
9817 1
9817 1
9817 1
9817 1
9817 1
9817 1
9817 1
9817 1
9817 1
9835 1
9835 1
9835 1
9835 1
9835 1
9835 1
9835 1
9835 1
9835 1
9839 1
9839 1
9839 1
9839 1
9839 1
9839 1
9839 1
9839 1
9839 1
9846 1
9846 1
9846 1
9846 1
9846 1
9846 1
9846 1
9846 1
9846 1
9918 1
9918 1
9918 1
9918 1
9918 1
9918 1
9918 1
9918 1
9918 1
9924 1
9924 1
9924 1
