pt_graph met
5973 2
6029 2
6084 2
6086 2
6142 2
6261 2
6264 2
6324 2
6439 2
6444 2
6505 2
6507 2
6566 2
6568 2
6569 2
6629 2
6683 2
6684 2
6685 2
6686 2
6687 2
6688 2
6743 2
6749 2
6807 2
6808 2
6866 2
6923 2
6982 2
6983 2
7042 2
7043 2
7103 2
7104 2
7166 2
7229 2
7291 2
7292 2
7353 2
7354 2
7355 2
7419 2
7482 2
7483 2
7545 2
7547 2
7611 2
7661 2
7675 2
7676 2
7740 2
7741 2
7802 2
7864 2
7867 2
7868 2
7869 2
7870 2
7927 2
7929 2
7930 2
7932 2
7933 2
7934 2
7990 2
7991 2
7993 2
7995 2
7996 2
7998 2
8031 2
8053 2
8054 2
8056 2
8057 2
8058 2
8060 2
8061 2
8088 2
8114 2
8115 2
8118 2
8119 2
8120 2
8121 2
8122 2
8123 2
8124 2
8149 2
8152 2
8154 2
8156 2
8177 2
8178 2
8179 2
8180 2
8181 2
8182 2
8183 2
8184 2
8185 2
8186 2
8214 2
8218 2
8241 2
8242 2
8243 2
8244 2
8245 2
8246 2
8273 2
8276 2
8282 2
8300 2
8302 2
8303 2
8304 2
8333 2
8335 2
8336 2
8338 2
8339 2
8342 2
8357 2
8359 2
8389 2
8390 2
8391 2
8395 2
8396 2
8397 2
8411 2
8414 2
8442 2
8443 2
8445 2
8446 2
8448 2
8449 2
8450 2
8467 2
8468 2
8495 2
8496 2
8497 2
8498 2
8499 2
8500 2
8501 2
8502 2
8503 2
8504 2
8520 2
8521 2
8547 2
8550 2
8551 2
8552 2
8553 2
8554 2
8572 2
8573 2
8600 2
8601 2
8602 2
8603 2
8622 2
8623 2
8649 2
8650 2
8664 2
8742 2
8749 2
8755 2
8758 2
8785 2
8799 2
8826 2
8841 2
8842 2
8844 2
8848 2
8873 2
8884 2
8886 2
8887 2
8888 2
8889 2
8890 2
8891 2
8892 2
8893 2
8916 2
8917 2
8929 2
8930 2
8931 2
8932 2
8933 2
8934 2
8935 2
8957 2
8970 2
8972 2
8973 2
8974 2
8997 2
8999 2
9005 2
9006 2
9012 2
9036 2
9037 2
9038 2
9039 2
9040 2
9041 2
9043 2
9051 2
9074 2
9075 2
9076 2
9077 2
9078 2
9080 2
9083 2
9088 2
9092 2
9115 2
9117 2
9118 2
9133 2
9157 2
9160 2
9163 2
9172 2
9176 2
9198 2
9215 2
9218 2
9242 2
9244 2
9249 2
9263 2
9287 2
9288 2
9292 2
9293 2
9339 2
9342 2
9343 2
9349 2
9363 2
9364 2
9394 2
9395 2
9396 2
9403 2
9411 2
9417 2
9418 2
9420 2
9455 2
9472 2
9476 2
9477 2
9478 2
9479 2
9480 2
9513 2
9515 2
9520 2
9536 2
9537 2
9540 2
9541 2
9542 2
9543 2
9581 2
9582 2
9583 2
9584 2
9602 2
9605 2
9609 2
9612 2
9613 2
9656 2
9659 2
9665 2
9680 2
9681 2
9685 2
9687 2
9688 2
9689 2
9690 2
9737 2
9757 2
9758 2
9762 2
9765 2
9766 2
9767 2
9768 2
9816 2
9817 2
9840 2
9841 2
9847 2
9848 2
9849 2
9896 2
9897 2
9898 2
9899 2
9908 2
9923 2
9924 2
9925 2
9926 2
9929 2
9930 2
9931 2
9978 2
9979 2
9981 2
10001 2
10003 2
10010 2
10011 2
10012 2
10013 2
10061 2
10063 2
10090 2
10091 2
10092 2
10093 2
10094 2
10095 2
10143 2
10145 2
10146 2
10152 2
10154 2
10170 2
10171 2
10174 2
10176 2
10177 2
10226 2
10227 2
10229 2
10253 2
10255 2
10256 2
10258 2
10259 2
10260 2
10261 2
10313 2
10336 2
10338 2
10341 2
10342 2
10343 2
10400 2
10423 2
10424 2
10426 2
10427 2
10428 2
10429 2
10430 2
10497 2
10519 2
10521 2
10523 2
10525 2
10526 2
10595 2
10597 2
10620 2
10623 2
10624 2
10625 2
10626 2
10717 2
10720 2
10721 2
10722 2
10723 2
10724 2
10725 2
10795 2
10822 2
10824 2
10825 2
10826 2
10920 2
10921 2
10923 2
10924 2
10926 2
10927 2
10928 2
11031 2
11034 2
11035 2
11036 2
11037 2
11040 2
11116 2
11140 2
11141 2
11144 2
11145 2
11146 2
11147 2
11149 2
11150 2
11151 2
11152 2
11153 2
11154 2
11155 2
11264 2
11265 2
11266 2
11267 2
11268 2
11269 2
11270 2
11271 2
11272 2
11273 2
11274 2
11275 2
11276 2
11277 2
11362 2
11374 2
11382 2
11383 2
11384 2
11385 2
11386 2
11387 2
11388 2
11389 2
11390 2
11391 2
11392 2
11393 2
11394 2
11395 2
11396 2
11397 2
11398 2
11399 2
11400 2
11401 2
11402 2
11499 2
11501 2
11502 2
11503 2
11507 2
11508 2
11509 2
11512 2
11513 2
11514 2
11515 2
11520 2
11521 2
11522 2
11523 2
11524 2
11525 2
11526 2
11527 2
11528 2
11529 2
11530 2
11531 2
11532 2
11533 2
11534 2
11626 2
11628 2
11629 2
11631 2
11632 2
11633 2
11635 2
11638 2
11639 2
11640 2
11641 2
11642 2
11643 2
11644 2
11645 2
11646 2
11647 2
11648 2
11649 2
11650 2
11651 2
11652 2
11653 2
11654 2
11656 2
11657 2
11658 2
11659 2
11660 2
11661 2
11755 2
11757 2
11758 2
11760 2
11761 2
11764 2
11765 2
11767 2
11768 2
11769 2
11770 2
11771 2
11772 2
11773 2
11774 2
11776 2
11777 2
11778 2
11779 2
11780 2
11781 2
11782 2
11783 2
11784 2
11785 2
11786 2
11787 2
11789 2
11790 2
11791 2
11792 2
11882 2
11883 2
11889 2
11890 2
11891 2
11893 2
11894 2
11895 2
11896 2
11897 2
11898 2
11899 2
11900 2
11901 2
11902 2
11903 2
11904 2
11906 2
11907 2
11908 2
11909 2
11910 2
11911 2
11912 2
11913 2
11914 2
11915 2
11916 2
11917 2
11918 2
11919 2
11920 2
11921 2
12007 2
12010 2
12011 2
12012 2
12014 2
12017 2
12018 2
12019 2
12020 2
12021 2
12022 2
12023 2
12024 2
12025 2
12026 2
12027 2
12030 2
12031 2
12032 2
12034 2
12035 2
12036 2
12037 2
12038 2
12039 2
12040 2
12041 2
12042 2
12043 2
12044 2
12130 2
12131 2
12132 2
12133 2
12134 2
12138 2
12140 2
12141 2
12142 2
12143 2
12144 2
12145 2
12146 2
12147 2
12148 2
12149 2
12150 2
12151 2
12152 2
12153 2
12154 2
12155 2
12156 2
12158 2
12159 2
12160 2
12161 2
12162 2
12163 2
12164 2
12259 2
12260 2
12261 2
12263 2
12264 2
12265 2
12266 2
12267 2
12268 2
12269 2
12270 2
12271 2
12272 2
12273 2
12274 2
12275 2
12276 2
12278 2
12279 2
12280 2
12281 2
12282 2
12283 2
12284 2
12285 2
12389 2
12390 2
12391 2
12392 2
12393 2
12394 2
12395 2
12396 2
12397 2
12398 2
12399 2
12400 2
12401 2
12402 2
12403 2
12404 2
12405 2
12406 2
12408 2
12409 2
12410 2
12411 2
12412 2
12413 2
12414 2
12415 2
12524 2
12525 2
12526 2
12527 2
12528 2
12529 2
12530 2
12531 2
12532 2
12533 2
12534 2
12535 2
12536 2
12537 2
12538 2
12539 2
12540 2
12541 2
12542 2
12543 2
12654 2
12655 2
12656 2
12657 2
12658 2
12659 2
12660 2
12661 2
12662 2
12663 2
