pt_graph freq
7670 1
7802 1
7804 1
7862 1
7863 1
7866 1
7867 1
7868 1
7869 1
7870 1
7930 1
7931 1
7932 1
7933 1
7934 1
7990 1
7992 1
7993 1
7994 1
7995 1
7996 1
7997 1
7998 1
8053 1
8056 1
8058 1
8059 1
8060 1
8061 1
8115 1
8117 1
8118 1
8119 1
8121 1
8122 1
8123 1
8124 1
8163 1
8179 1
8181 1
8182 1
8183 1
8184 1
8185 1
8186 1
8240 1
8241 1
8242 1
8243 1
8244 1
8245 1
8246 1
8302 1
8303 1
8304 1
8357 1
8398 1
8414 1
8468 1
8505 1
8522 1
8572 1
8573 1
8574 1
8608 1
8623 1
8659 1
8666 1
8670 1
8706 1
8707 1
8713 1
8753 1
8755 1
8757 1
8758 1
8797 1
8798 1
8799 1
8801 1
8802 1
8803 1
8842 1
8843 1
8844 1
8845 1
8846 1
8847 1
8848 1
8886 1
8888 1
8889 1
8890 1
8891 1
8892 1
8893 1
8930 1
8931 1
8932 1
8933 1
8934 1
8935 1
8967 1
8968 1
8970 1
8971 1
8972 1
8973 1
8974 1
9011 1
9012 1
9013 1
9051 1
9092 1
9133 1
9176 1
9218 1
9263 1
9364 1
9420 1
9477 1
9479 1
9480 1
9542 1
9543 1
9613 1
19532 1
