pt_graph cpue_kghour
7417 1.17
7417 0
7417 2.77
7417 2.39
7417 3.1
7417 2.69
7417 0
7417 0
7417 0.05
7483 1.17
7483 0
7483 2.77
7483 2.39
7483 3.1
7483 2.69
7483 0
7483 0
7483 0.05
7547 1.17
7547 0
7547 2.77
7547 2.39
7547 3.1
7547 2.69
7547 0
7547 0
7547 0.05
7545 1.17
7545 0
7545 2.77
7545 2.39
7545 3.1
7545 2.69
7545 0
7545 0
7545 0.05
7609 1.17
7609 0
7609 2.77
7609 2.39
7609 3.1
7609 2.69
7609 0
7609 0
7609 0.05
7675 1.17
7675 0
7675 2.77
7675 2.39
7675 3.1
7675 2.69
7675 0
7675 0
7675 0.05
7676 1.17
7676 0
7676 2.77
7676 2.39
7676 3.1
7676 2.69
7676 0
7676 0
7676 0.05
7740 1.17
7740 0
7740 2.77
7740 2.39
7740 3.1
7740 2.69
7740 0
7740 0
7740 0.05
7741 1.17
7741 0
7741 2.77
7741 2.39
7741 3.1
7741 2.69
7741 0
7741 0
7741 0.05
7738 1.17
7738 0
7738 2.77
7738 2.39
7738 3.1
7738 2.69
7738 0
7738 0
7738 0.05
7805 1.17
7805 0
7805 2.77
7805 2.39
7805 3.1
7805 2.69
7805 0
7805 0
7805 0.05
7806 1.17
7806 0
7806 2.77
7806 2.39
7806 3.1
7806 2.69
7806 0
7806 0
7806 0.05
7868 1.17
7868 0
7868 2.77
7868 2.39
7868 3.1
7868 2.69
7868 0
7868 0
7868 0.05
7870 1.17
7870 0
7870 2.77
7870 2.39
7870 3.1
7870 2.69
7870 0
7870 0
7870 0.05
7867 1.17
7867 0
7867 2.77
7867 2.39
7867 3.1
7867 2.69
7867 0
7867 0
7867 0.05
7857 1.17
7857 0
7857 2.77
7857 2.39
7857 3.1
7857 2.69
7857 0
7857 0
7857 0.05
7932 1.17
7932 0
7932 2.77
7932 2.39
7932 3.1
7932 2.69
7932 0
7932 0
7932 0.05
7933 1.17
7933 0
7933 2.77
7933 2.39
7933 3.1
7933 2.69
7933 0
7933 0
7933 0.05
7934 1.17
7934 0
7934 2.77
7934 2.39
7934 3.1
7934 2.69
7934 0
7934 0
7934 0.05
7923 1.17
7923 0
7923 2.77
7923 2.39
7923 3.1
7923 2.69
7923 0
7923 0
7923 0.05
7998 1.17
7998 0
7998 2.77
7998 2.39
7998 3.1
7998 2.69
7998 0
7998 0
7998 0.05
7989 1.17
7989 0
7989 2.77
7989 2.39
7989 3.1
7989 2.69
7989 0
7989 0
7989 0.05
7991 1.17
7991 0
7991 2.77
7991 2.39
7991 3.1
7991 2.69
7991 0
7991 0
7991 0.05
7992 1.17
7992 0
7992 2.77
7992 2.39
7992 3.1
7992 2.69
7992 0
7992 0
7992 0.05
7995 1.17
7995 0
7995 2.77
7995 2.39
7995 3.1
7995 2.69
7995 0
7995 0
7995 0.05
7996 1.17
7996 0
7996 2.77
7996 2.39
7996 3.1
7996 2.69
7996 0
7996 0
7996 0.05
8033 1.17
8033 0
8033 2.77
8033 2.39
8033 3.1
8033 2.69
8033 0
8033 0
8033 0.05
8060 1.17
8060 0
8060 2.77
8060 2.39
8060 3.1
8060 2.69
8060 0
8060 0
8060 0.05
8054 1.17
8054 0
8054 2.77
8054 2.39
8054 3.1
8054 2.69
8054 0
8054 0
8054 0.05
8056 1.17
8056 0
8056 2.77
8056 2.39
8056 3.1
8056 2.69
8056 0
8056 0
8056 0.05
8123 1.17
8123 0
8123 2.77
8123 2.39
8123 3.1
8123 2.69
8123 0
8123 0
8123 0.05
8124 1.17
8124 0
8124 2.77
8124 2.39
8124 3.1
8124 2.69
8124 0
8124 0
8124 0.05
8116 1.17
8116 0
8116 2.77
8116 2.39
8116 3.1
8116 2.69
8116 0
8116 0
8116 0.05
8120 1.17
8120 0
8120 2.77
8120 2.39
8120 3.1
8120 2.69
8120 0
8120 0
8120 0.05
8183 1.17
8183 0
8183 2.77
8183 2.39
8183 3.1
8183 2.69
8183 0
8183 0
8183 0.05
8184 1.17
8184 0
8184 2.77
8184 2.39
8184 3.1
8184 2.69
8184 0
8184 0
8184 0.05
8186 1.17
8186 0
8186 2.77
8186 2.39
8186 3.1
8186 2.69
8186 0
8186 0
8186 0.05
8178 1.17
8178 0
8178 2.77
8178 2.39
8178 3.1
8178 2.69
8178 0
8178 0
8178 0.05
8181 1.17
8181 0
8181 2.77
8181 2.39
8181 3.1
8181 2.69
8181 0
8181 0
8181 0.05
8182 1.17
8182 0
8182 2.77
8182 2.39
8182 3.1
8182 2.69
8182 0
8182 0
8182 0.05
8238 1.17
8238 0
8238 2.77
8238 2.39
8238 3.1
8238 2.69
8238 0
8238 0
8238 0.05
8241 1.17
8241 0
8241 2.77
8241 2.39
8241 3.1
8241 2.69
8241 0
8241 0
8241 0.05
8242 1.17
8242 0
8242 2.77
8242 2.39
8242 3.1
8242 2.69
8242 0
8242 0
8242 0.05
8243 1.17
8243 0
8243 2.77
8243 2.39
8243 3.1
8243 2.69
8243 0
8243 0
8243 0.05
8244 1.17
8244 0
8244 2.77
8244 2.39
8244 3.1
8244 2.69
8244 0
8244 0
8244 0.05
8245 1.17
8245 0
8245 2.77
8245 2.39
8245 3.1
8245 2.69
8245 0
8245 0
8245 0.05
8246 1.17
8246 0
8246 2.77
8246 2.39
8246 3.1
8246 2.69
8246 0
8246 0
8246 0.05
8284 1.17
8284 0
8284 2.77
8284 2.39
8284 3.1
8284 2.69
8284 0
8284 0
8284 0.05
8300 1.17
8300 0
8300 2.77
8300 2.39
8300 3.1
8300 2.69
8300 0
8300 0
8300 0.05
8304 1.17
8304 0
8304 2.77
8304 2.39
8304 3.1
8304 2.69
8304 0
8304 0
8304 0.05
8341 1.17
8341 0
8341 2.77
8341 2.39
8341 3.1
8341 2.69
8341 0
8341 0
8341 0.05
8359 1.17
8359 0
8359 2.77
8359 2.39
8359 3.1
8359 2.69
8359 0
8359 0
8359 0.05
8412 1.17
