pt_graph met
14884 2
14915 2
14990 2
15010 2
15039 2
15040 2
15043 2
15066 2
15067 2
15068 2
15070 2
15095 2
15096 2
15097 2
15098 2
15099 2
15100 2
15128 2
15131 2
15134 2
15135 2
15136 2
15137 2
15173 2
15174 2
15175 2
15176 2
15177 2
15178 2
15213 2
15218 2
15219 2
15220 2
15221 2
15222 2
15266 2
15267 2
15268 2
15269 2
15270 2
15313 2
15315 2
15316 2
15317 2
15318 2
15367 2
15368 2
15369 2
15370 2
15371 2
15372 2
15423 2
15425 2
15428 2
15429 2
15430 2
15431 2
15490 2
15492 2
15493 2
15494 2
15552 2
15555 2
15557 2
15558 2
15615 2
15620 2
15621 2
15622 2
15683 2
15686 2
15748 2
15749 2
15751 2
15752 2
15753 2
15754 2
15820 2
15821 2
15822 2
15880 2
15885 2
15943 2
15944 2
15945 2
15949 2
15950 2
15951 2
16002 2
16005 2
16006 2
16007 2
16053 2
16055 2
16056 2
16057 2
16058 2
16059 2
16083 2
16103 2
16104 2
16105 2
16106 2
16107 2
16152 2
16153 2
16154 2
16155 2
16182 2
16186 2
16199 2
16200 2
16201 2
16202 2
16232 2
16245 2
16247 2
16288 2
16292 2
16294 2
16322 2
16337 2
16338 2
16340 2
16341 2
16370 2
16381 2
16383 2
16384 2
16406 2
16410 2
16416 2
16419 2
16421 2
16423 2
16426 2
16457 2
16464 2
16469 2
16496 2
16497 2
16502 2
16503 2
16505 2
16513 2
16540 2
16547 2
16553 2
16556 2
16558 2
16584 2
16585 2
16591 2
16601 2
16628 2
16634 2
16641 2
16667 2
16672 2
16673 2
16681 2
16688 2
16715 2
16717 2
16723 2
16726 2
16729 2
16734 2
16768 2
16775 2
16805 2
16814 2
16823 2
16827 2
16829 2
16830 2
16857 2
16872 2
16873 2
16874 2
16876 2
16877 2
16878 2
16907 2
16914 2
16923 2
16955 2
17001 2
17002 2
17008 2
17044 2
17048 2
17083 2
17088 2
17090 2
17123 2
17124 2
17125 2
17130 2
17132 2
17166 2
17174 2
17175 2
17202 2
17203 2
17205 2
17206 2
17208 2
17209 2
17210 2
17246 2
17247 2
17282 2
17283 2
17284 2
17285 2
17286 2
17288 2
17289 2
17293 2
17294 2
17317 2
17320 2
17321 2
17322 2
17330 2
17349 2
17352 2
17354 2
17356 2
17357 2
17361 2
17364 2
17387 2
17389 2
17392 2
17393 2
17398 2
17419 2
17421 2
17424 2
17430 2
17451 2
17453 2
17457 2
17486 2
17488 2
17489 2
17490 2
17491 2
17499 2
17522 2
17525 2
17526 2
17527 2
17530 2
17531 2
17537 2
17540 2
17562 2
17563 2
17565 2
17566 2
17570 2
17572 2
17579 2
17580 2
17581 2
17603 2
17605 2
17606 2
17607 2
17611 2
17613 2
17614 2
17618 2
17621 2
17646 2
17648 2
17652 2
17653 2
17655 2
17657 2
17660 2
17661 2
17662 2
17665 2
17666 2
17694 2
17696 2
17700 2
17702 2
17704 2
17709 2
17743 2
17745 2
17746 2
17748 2
17749 2
17751 2
17786 2
17788 2
17790 2
17792 2
17793 2
17795 2
17798 2
17800 2
17832 2
17833 2
17835 2
17836 2
17837 2
17839 2
17840 2
17841 2
17842 2
17843 2
17845 2
17880 2
17882 2
17883 2
17885 2
17887 2
17888 2
17889 2
17892 2
17893 2
17926 2
17929 2
17930 2
17931 2
17932 2
17934 2
17935 2
17937 2
17939 2
17941 2
17973 2
17974 2
17976 2
17977 2
17978 2
17981 2
17983 2
18021 2
18022 2
18024 2
18025 2
18035 2
18069 2
18070 2
18073 2
18075 2
18076 2
18077 2
18079 2
18080 2
18082 2
18115 2
18116 2
18119 2
18120 2
18123 2
18127 2
18128 2
18164 2
18165 2
18167 2
18169 2
18170 2
18171 2
18173 2
18212 2
18213 2
18214 2
18215 2
18218 2
18219 2
18220 2
18221 2
18225 2
18259 2
18260 2
18261 2
18262 2
18263 2
18264 2
18268 2
18270 2
18271 2
18306 2
18307 2
18308 2
18309 2
18310 2
18311 2
18313 2
18314 2
18316 2
18350 2
18351 2
18352 2
18354 2
18355 2
18356 2
18357 2
18392 2
18425 2
18426 2
18460 2
18461 2
18493 2
18494 2
18524 2
