pt_graph shape
14756 1
14756 1
14756 1
14756 1
14756 1
14756 1
14756 1
14756 1
14756 1
14759 1
14759 1
14759 1
14759 1
14759 1
14759 1
14759 1
14759 1
14759 1
14854 1
14854 1
14854 1
14854 1
14854 1
14854 1
14854 1
14854 1
14854 1
14987 1
14987 1
14987 1
14987 1
14987 1
14987 1
14987 1
14987 1
14987 1
15063 1
15063 1
15063 1
15063 1
15063 1
15063 1
15063 1
15063 1
15063 1
15070 1
15070 1
15070 1
15070 1
15070 1
15070 1
15070 1
15070 1
15070 1
15098 1
15098 1
15098 1
15098 1
15098 1
15098 1
15098 1
15098 1
15098 1
15129 1
15129 1
15129 1
15129 1
15129 1
15129 1
15129 1
15129 1
15129 1
15134 1
15134 1
15134 1
15134 1
15134 1
15134 1
15134 1
15134 1
15134 1
15212 1
15212 1
15212 1
15212 1
15212 1
15212 1
15212 1
15212 1
15212 1
15216 1
15216 1
15216 1
15216 1
15216 1
15216 1
15216 1
15216 1
15216 1
15222 1
15222 1
15222 1
15222 1
15222 1
15222 1
15222 1
15222 1
15222 1
15487 1
15487 1
15487 1
15487 1
15487 1
15487 1
15487 1
15487 1
15487 1
15556 1
15556 1
15556 1
15556 1
15556 1
15556 1
15556 1
15556 1
15556 1
15558 1
15558 1
15558 1
15558 1
15558 1
15558 1
15558 1
15558 1
15558 1
15685 1
15685 1
15685 1
15685 1
15685 1
15685 1
15685 1
15685 1
15685 1
15927 1
15927 1
15927 1
15927 1
15927 1
15927 1
15927 1
15927 1
15927 1
15943 1
15943 1
15943 1
15943 1
15943 1
15943 1
15943 1
15943 1
15943 1
16034 1
16034 1
16034 1
16034 1
16034 1
16034 1
16034 1
16034 1
16034 1
16051 1
16051 1
16051 1
16051 1
16051 1
16051 1
16051 1
16051 1
16051 1
16055 1
16055 1
16055 1
16055 1
16055 1
16055 1
16055 1
16055 1
16055 1
16082 1
16082 1
16082 1
16082 1
16082 1
16082 1
16082 1
16082 1
16082 1
16147 1
16147 1
16147 1
16147 1
16147 1
16147 1
16147 1
16147 1
16147 1
16150 1
16150 1
16150 1
16150 1
16150 1
16150 1
16150 1
16150 1
16150 1
16151 1
16151 1
16151 1
16151 1
16151 1
16151 1
16151 1
16151 1
16151 1
16182 1
16182 1
16182 1
16182 1
16182 1
16182 1
16182 1
16182 1
16182 1
16201 1
16201 1
16201 1
16201 1
16201 1
16201 1
16201 1
16201 1
16201 1
16223 1
16223 1
16223 1
16223 1
16223 1
16223 1
16223 1
16223 1
16223 1
16241 1
16241 1
16241 1
16241 1
16241 1
16241 1
16241 1
16241 1
16241 1
16272 1
16272 1
16272 1
16272 1
16272 1
16272 1
16272 1
16272 1
16272 1
16378 1
16378 1
16378 1
16378 1
16378 1
16378 1
16378 1
16378 1
16378 1
16379 1
16379 1
16379 1
16379 1
16379 1
16379 1
16379 1
16379 1
16379 1
16413 1
16413 1
16413 1
16413 1
16413 1
16413 1
16413 1
16413 1
16413 1
16469 1
16469 1
16469 1
16469 1
16469 1
16469 1
16469 1
16469 1
16469 1
16495 1
16495 1
16495 1
16495 1
16495 1
16495 1
16495 1
16495 1
16495 1
16512 1
16512 1
16512 1
16512 1
16512 1
16512 1
16512 1
16512 1
16512 1
16538 1
16538 1
16538 1
16538 1
16538 1
16538 1
16538 1
16538 1
16538 1
16541 1
16541 1
16541 1
16541 1
16541 1
16541 1
16541 1
16541 1
16541 1
16548 1
16548 1
16548 1
16548 1
16548 1
16548 1
16548 1
16548 1
16548 1
16589 1
16589 1
16589 1
16589 1
16589 1
