pt_graph cpue_kghour
15944 1.16
15944 0
15944 3.25
15944 2.43
15944 3.05
15944 2.82
15944 0.01
15944 0.05
15944 0.05
15945 1.16
15945 0
15945 3.25
15945 2.43
15945 3.05
15945 2.82
15945 0.01
15945 0.05
15945 0.05
15986 1.16
15986 0
15986 3.25
15986 2.43
15986 3.05
15986 2.82
15986 0.01
15986 0.05
15986 0.05
15997 1.16
15997 0
15997 3.25
15997 2.43
15997 3.05
15997 2.82
15997 0.01
15997 0.05
15997 0.05
16101 1.16
16101 0
16101 3.25
16101 2.43
16101 3.05
16101 2.82
16101 0.01
16101 0.05
16101 0.05
16103 1.16
16103 0
16103 3.25
16103 2.43
16103 3.05
16103 2.82
16103 0.01
16103 0.05
16103 0.05
16106 1.16
16106 0
16106 3.25
16106 2.43
16106 3.05
16106 2.82
16106 0.01
16106 0.05
16106 0.05
16178 1.16
16178 0
16178 3.25
16178 2.43
16178 3.05
16178 2.82
16178 0.01
16178 0.05
16178 0.05
16337 1.16
16337 0
16337 3.25
16337 2.43
16337 3.05
16337 2.82
16337 0.01
16337 0.05
16337 0.05
16364 1.16
16364 0
16364 3.25
16364 2.43
16364 3.05
16364 2.82
16364 0.01
16364 0.05
16364 0.05
16371 1.16
16371 0
16371 3.25
16371 2.43
16371 3.05
16371 2.82
16371 0.01
16371 0.05
16371 0.05
16412 1.16
16412 0
16412 3.25
16412 2.43
16412 3.05
16412 2.82
16412 0.01
16412 0.05
16412 0.05
16444 1.16
16444 0
16444 3.25
16444 2.43
16444 3.05
16444 2.82
16444 0.01
16444 0.05
16444 0.05
16445 1.16
16445 0
16445 3.25
16445 2.43
16445 3.05
16445 2.82
16445 0.01
16445 0.05
16445 0.05
16464 1.16
16464 0
16464 3.25
16464 2.43
16464 3.05
16464 2.82
16464 0.01
16464 0.05
16464 0.05
16549 1.16
16549 0
16549 3.25
16549 2.43
16549 3.05
16549 2.82
16549 0.01
16549 0.05
16549 0.05
16550 1.16
16550 0
16550 3.25
16550 2.43
16550 3.05
16550 2.82
16550 0.01
16550 0.05
16550 0.05
16596 1.16
16596 0
16596 3.25
16596 2.43
16596 3.05
16596 2.82
16596 0.01
16596 0.05
16596 0.05
16598 1.16
16598 0
16598 3.25
16598 2.43
16598 3.05
16598 2.82
16598 0.01
16598 0.05
16598 0.05
16622 1.16
16622 0
16622 3.25
16622 2.43
16622 3.05
16622 2.82
16622 0.01
16622 0.05
16622 0.05
16675 1.16
16675 0
16675 3.25
16675 2.43
16675 3.05
16675 2.82
16675 0.01
16675 0.05
16675 0.05
16678 1.16
16678 0
16678 3.25
16678 2.43
16678 3.05
16678 2.82
16678 0.01
16678 0.05
16678 0.05
16684 1.16
16684 0
16684 3.25
16684 2.43
16684 3.05
16684 2.82
16684 0.01
16684 0.05
16684 0.05
16716 1.16
16716 0
16716 3.25
16716 2.43
16716 3.05
16716 2.82
16716 0.01
16716 0.05
16716 0.05
16779 1.16
16779 0
16779 3.25
16779 2.43
16779 3.05
16779 2.82
16779 0.01
16779 0.05
16779 0.05
16829 1.16
16829 0
16829 3.25
16829 2.43
16829 3.05
16829 2.82
16829 0.01
16829 0.05
16829 0.05
16852 1.16
16852 0
16852 3.25
16852 2.43
16852 3.05
16852 2.82
16852 0.01
16852 0.05
16852 0.05
16864 1.16
16864 0
16864 3.25
16864 2.43
16864 3.05
16864 2.82
16864 0.01
16864 0.05
16864 0.05
16875 1.16
16875 0
16875 3.25
16875 2.43
16875 3.05
16875 2.82
16875 0.01
16875 0.05
16875 0.05
16906 1.16
16906 0
16906 3.25
16906 2.43
16906 3.05
16906 2.82
16906 0.01
16906 0.05
16906 0.05
16953 1.16
16953 0
16953 3.25
16953 2.43
16953 3.05
16953 2.82
16953 0.01
16953 0.05
16953 0.05
17036 1.16
17036 0
17036 3.25
17036 2.43
17036 3.05
17036 2.82
17036 0.01
17036 0.05
17036 0.05
17252 1.16
17252 0
17252 3.25
17252 2.43
17252 3.05
17252 2.82
17252 0.01
17252 0.05
17252 0.05
17393 1.16
17393 0
17393 3.25
17393 2.43
17393 3.05
17393 2.82
17393 0.01
17393 0.05
17393 0.05
17428 1.16
17428 0
17428 3.25
17428 2.43
17428 3.05
17428 2.82
17428 0.01
17428 0.05
17428 0.05
17666 1.16
17666 0
17666 3.25
17666 2.43
17666 3.05
17666 2.82
17666 0.01
17666 0.05
17666 0.05
