pt_graph freq
15681 1
15748 1
15749 1
15750 1
15815 1
15816 1
15817 1
15818 1
15819 1
15881 1
15882 1
15883 1
15884 1
15885 1
15886 1
15944 1
15945 1
15946 1
15947 1
15948 1
15949 1
15950 1
15984 1
16000 1
16001 1
16002 1
16003 1
16004 1
16005 1
16006 1
16007 1
16052 1
16053 1
16054 1
16055 1
16056 1
16057 1
16058 1
16059 1
16089 1
16101 1
16102 1
16103 1
16104 1
16105 1
16106 1
16107 1
16134 1
16137 1
16146 1
16148 1
16149 1
16150 1
16151 1
16152 1
16153 1
16154 1
16155 1
16182 1
16183 1
16186 1
16194 1
16195 1
16196 1
16198 1
16199 1
16200 1
16201 1
16202 1
16226 1
16227 1
16229 1
16230 1
16240 1
16241 1
16242 1
16243 1
16244 1
16245 1
16246 1
16247 1
16248 1
16270 1
16275 1
16276 1
16289 1
16290 1
16291 1
16292 1
16293 1
16294 1
16322 1
16323 1
16336 1
16337 1
16338 1
16339 1
16340 1
16341 1
16367 1
16368 1
16377 1
16379 1
16380 1
16381 1
16382 1
16383 1
16384 1
16405 1
16408 1
16409 1
16410 1
16420 1
16422 1
16423 1
16424 1
16425 1
16426 1
16445 1
16450 1
16452 1
16458 1
16467 1
16468 1
16469 1
16470 1
16495 1
16496 1
16509 1
16513 1
16514 1
16515 1
16540 1
16541 1
16547 1
16552 1
16555 1
16556 1
16557 1
16558 1
16583 1
16600 1
16601 1
16637 1
16642 1
16643 1
16645 1
16671 1
16672 1
16681 1
16683 1
16685 1
16687 1
16717 1
16724 1
16726 1
16727 1
16728 1
16729 1
16730 1
16731 1
16732 1
16733 1
16734 1
16765 1
16773 1
16775 1
16776 1
16779 1
16780 1
16781 1
16782 1
16813 1
16815 1
16820 1
16821 1
16825 1
16827 1
16828 1
16829 1
16830 1
16872 1
16874 1
16875 1
16876 1
16877 1
16878 1
16879 1
16919 1
16923 1
16954 1
16957 1
16965 1
16966 1
16993 1
16999 1
17000 1
17001 1
17005 1
17006 1
17007 1
17008 1
17040 1
17041 1
17044 1
17045 1
17046 1
17049 1
17081 1
17083 1
17084 1
17119 1
17123 1
17124 1
17125 1
17129 1
17133 1
17160 1
17162 1
17163 1
17164 1
17165 1
17167 1
17169 1
17171 1
17175 1
17203 1
17204 1
17205 1
17206 1
17207 1
17209 1
17210 1
17211 1
17245 1
17246 1
17248 1
17249 1
17250 1
17251 1
17285 1
17286 1
17287 1
17288 1
17293 1
17294 1
17325 1
17326 1
17328 1
17329 1
17330 1
17360 1
17361 1
17392 1
17394 1
17398 1
17424 1
17426 1
17430 1
17456 1
17457 1
17460 1
17490 1
17491 1
17493 1
17494 1
17495 1
17496 1
17497 1
17498 1
17499 1
17530 1
17531 1
17532 1
17533 1
17536 1
17538 1
17540 1
17572 1
17573 1
17577 1
17581 1
17614 1
17615 1
17616 1
17618 1
17619 1
17620 1
17621 1
17658 1
17660 1
17661 1
17662 1
17663 1
17664 1
17665 1
17666 1
17706 1
17708 1
17709 1
17754 1
17755 1
17756 1
17757 1
17801 1
