pt_graph shape
9540 1
9540 1
9540 1
9540 1
9540 1
9540 1
9540 1
9540 1
9540 1
9919 1
9919 1
9919 1
9919 1
9919 1
9919 1
9919 1
9919 1
9919 1
9921 1
9921 1
9921 1
9921 1
9921 1
9921 1
9921 1
9921 1
9921 1
10088 1
10088 1
10088 1
10088 1
10088 1
10088 1
10088 1
10088 1
10088 1
10620 1
10620 1
10620 1
10620 1
10620 1
10620 1
10620 1
10620 1
10620 1
10824 1
10824 1
10824 1
10824 1
10824 1
10824 1
10824 1
10824 1
10824 1
10925 1
10925 1
10925 1
10925 1
10925 1
10925 1
10925 1
10925 1
10925 1
11030 1
11030 1
11030 1
11030 1
11030 1
11030 1
11030 1
11030 1
11030 1
11037 1
11037 1
11037 1
11037 1
11037 1
11037 1
11037 1
11037 1
11037 1
11271 1
11271 1
11271 1
11271 1
11271 1
11271 1
11271 1
11271 1
11271 1
11401 1
11401 1
11401 1
11401 1
11401 1
11401 1
11401 1
11401 1
11401 1
11400 1
11400 1
11400 1
11400 1
11400 1
11400 1
11400 1
11400 1
11400 1
11398 1
11398 1
11398 1
11398 1
11398 1
11398 1
11398 1
11398 1
11398 1
11527 1
11527 1
11527 1
11527 1
11527 1
11527 1
11527 1
11527 1
11527 1
11512 1
11512 1
11512 1
11512 1
11512 1
11512 1
11512 1
11512 1
11512 1
11660 1
11660 1
11660 1
11660 1
11660 1
11660 1
11660 1
11660 1
11660 1
11652 1
11652 1
11652 1
11652 1
11652 1
11652 1
11652 1
11652 1
11652 1
11629 1
11629 1
11629 1
11629 1
11629 1
11629 1
11629 1
11629 1
11629 1
11650 1
11650 1
11650 1
11650 1
11650 1
11650 1
11650 1
11650 1
11650 1
11790 1
11790 1
11790 1
11790 1
11790 1
11790 1
11790 1
11790 1
11790 1
11929 1
11929 1
11929 1
11929 1
11929 1
11929 1
11929 1
11929 1
11929 1
11923 1
11923 1
11923 1
11923 1
11923 1
11923 1
11923 1
11923 1
11923 1
11915 1
11915 1
11915 1
11915 1
11915 1
11915 1
11915 1
11915 1
11915 1
11910 1
11910 1
11910 1
11910 1
11910 1
11910 1
11910 1
11910 1
11910 1
11897 1
11897 1
11897 1
11897 1
11897 1
11897 1
11897 1
11897 1
11897 1
12052 1
12052 1
12052 1
12052 1
12052 1
12052 1
12052 1
12052 1
12052 1
12011 1
12011 1
12011 1
12011 1
12011 1
12011 1
12011 1
12011 1
12011 1
12019 1
12019 1
12019 1
12019 1
12019 1
12019 1
12019 1
12019 1
12019 1
12281 1
12281 1
12281 1
12281 1
12281 1
12281 1
12281 1
12281 1
12281 1
12424 1
12424 1
12424 1
12424 1
12424 1
12424 1
12424 1
12424 1
12424 1
12421 1
12421 1
12421 1
12421 1
12421 1
12421 1
12421 1
12421 1
12421 1
12389 1
12389 1
12389 1
12389 1
12389 1
12389 1
12389 1
12389 1
12389 1
12416 1
12416 1
12416 1
12416 1
12416 1
12416 1
12416 1
12416 1
12416 1
12410 1
12410 1
12410 1
12410 1
12410 1
12410 1
12410 1
12410 1
12410 1
12413 1
12413 1
12413 1
12413 1
12413 1
12413 1
12413 1
12413 1
12413 1
12564 1
12564 1
12564 1
12564 1
12564 1
12564 1
12564 1
12564 1
12564 1
12552 1
12552 1
12552 1
12552 1
12552 1
12552 1
12552 1
12552 1
12552 1
12548 1
12548 1
12548 1
12548 1
12548 1
12548 1
12548 1
12548 1
12548 1
12677 1
12677 1
12677 1
12677 1
12677 1
12677 1
12677 1
12677 1
12677 1
12675 1
12675 1
12675 1
12675 1
12675 1
12675 1
12675 1
12675 1
12675 1
12672 1
12672 1
12672 1
12672 1
12672 1
12672 1
12672 1
12672 1
12672 1
12666 1
12666 1
12666 1
12666 1
12666 1
12666 1
12666 1
12666 1
12666 1
12657 1
12657 1
12657 1
12657 1
12657 1
12657 1
12657 1
12657 1
12657 1
12804 1
12804 1
12804 1
12804 1
12804 1
12804 1
12804 1
12804 1
12804 1
12798 1
12798 1
12798 1
12798 1
12798 1
12798 1
12798 1
12798 1
12798 1
12790 1
12790 1
12790 1
12790 1
12790 1
12790 1
12790 1
12790 1
12790 1
12765 1
12765 1
12765 1
12765 1
12765 1
12765 1
12765 1
12765 1
12765 1
12947 1
12947 1
12947 1
12947 1
12947 1
12947 1
12947 1
12947 1
12947 1
12925 1
12925 1
12925 1
12925 1
12925 1
12925 1
12925 1
12925 1
12925 1
13023 1
13023 1
13023 1
13023 1
13023 1
13023 1
13023 1
13023 1
13023 1
13145 1
13145 1
13145 1
13145 1
13145 1
13145 1
13145 1
13145 1
13145 1
13243 1
13243 1
13243 1
13243 1
13243 1
13243 1
13243 1
13243 1
13243 1
13349 1
13349 1
13349 1
13349 1
13349 1
13349 1
13349 1
13349 1
13349 1
13342 1
13342 1
13342 1
13342 1
13342 1
13342 1
13342 1
13342 1
13342 1
13339 1
13339 1
13339 1
13339 1
13339 1
13339 1
13339 1
13339 1
13339 1
13335 1
13335 1
13335 1
13335 1
13335 1
13335 1
13335 1
13335 1
13335 1
13425 1
13425 1
13425 1
13425 1
13425 1
13425 1
13425 1
13425 1
13425 1
13420 1
13420 1
13420 1
13420 1
13420 1
13420 1
13420 1
13420 1
13420 1
13487 1
13487 1
13487 1
13487 1
13487 1
13487 1
13487 1
13487 1
13487 1
