pt_graph cpue_kghour
6865 1.09
6865 3.9
6865 6.07
6865 2.59
6865 2.65
6865 2.9
6865 0.1
6865 1.51
6865 0.19
6922 1.09
6922 3.9
6922 6.07
6922 2.59
6922 2.65
6922 2.9
6922 0.1
6922 1.51
6922 0.19
6921 1.09
6921 3.9
6921 6.07
6921 2.59
6921 2.65
6921 2.9
6921 0.1
6921 1.51
6921 0.19
7041 1.09
7041 3.9
7041 6.07
7041 2.59
7041 2.65
7041 2.9
7041 0.1
7041 1.51
7041 0.19
7102 1.09
7102 3.9
7102 6.07
7102 2.59
7102 2.65
7102 2.9
7102 0.1
7102 1.51
7102 0.19
7227 1.09
7227 3.9
7227 6.07
7227 2.59
7227 2.65
7227 2.9
7227 0.1
7227 1.51
7227 0.19
7290 1.09
7290 3.9
7290 6.07
7290 2.59
7290 2.65
7290 2.9
7290 0.1
7290 1.51
7290 0.19
7273 1.09
7273 3.9
7273 6.07
7273 2.59
7273 2.65
7273 2.9
7273 0.1
7273 1.51
7273 0.19
7353 1.09
7353 3.9
7353 6.07
7353 2.59
7353 2.65
7353 2.9
7353 0.1
7353 1.51
7353 0.19
7403 1.09
7403 3.9
7403 6.07
7403 2.59
7403 2.65
7403 2.9
7403 0.1
7403 1.51
7403 0.19
7599 1.09
7599 3.9
7599 6.07
7599 2.59
7599 2.65
7599 2.9
7599 0.1
7599 1.51
7599 0.19
7674 1.09
7674 3.9
7674 6.07
7674 2.59
7674 2.65
7674 2.9
7674 0.1
7674 1.51
7674 0.19
7666 1.09
7666 3.9
7666 6.07
7666 2.59
7666 2.65
7666 2.9
7666 0.1
7666 1.51
7666 0.19
7739 1.09
7739 3.9
7739 6.07
7739 2.59
7739 2.65
7739 2.9
7739 0.1
7739 1.51
7739 0.19
7738 1.09
7738 3.9
7738 6.07
7738 2.59
7738 2.65
7738 2.9
7738 0.1
7738 1.51
7738 0.19
7732 1.09
7732 3.9
7732 6.07
7732 2.59
7732 2.65
7732 2.9
7732 0.1
7732 1.51
7732 0.19
7930 1.09
7930 3.9
7930 6.07
7930 2.59
7930 2.65
7930 2.9
7930 0.1
7930 1.51
7930 0.19
8055 1.09
8055 3.9
8055 6.07
8055 2.59
8055 2.65
8055 2.9
8055 0.1
8055 1.51
8055 0.19
8057 1.09
8057 3.9
8057 6.07
8057 2.59
8057 2.65
8057 2.9
8057 0.1
8057 1.51
8057 0.19
8508 1.09
8508 3.9
8508 6.07
8508 2.59
8508 2.65
8508 2.9
8508 0.1
8508 1.51
8508 0.19
8509 1.09
8509 3.9
8509 6.07
8509 2.59
8509 2.65
8509 2.9
8509 0.1
8509 1.51
8509 0.19
8520 1.09
8520 3.9
8520 6.07
8520 2.59
8520 2.65
8520 2.9
8520 0.1
8520 1.51
8520 0.19
8560 1.09
8560 3.9
8560 6.07
8560 2.59
8560 2.65
8560 2.9
8560 0.1
8560 1.51
8560 0.19
8561 1.09
8561 3.9
8561 6.07
8561 2.59
8561 2.65
8561 2.9
8561 0.1
8561 1.51
8561 0.19
8572 1.09
8572 3.9
8572 6.07
8572 2.59
8572 2.65
8572 2.9
8572 0.1
8572 1.51
8572 0.19
8610 1.09
8610 3.9
8610 6.07
8610 2.59
8610 2.65
8610 2.9
8610 0.1
8610 1.51
8610 0.19
8611 1.09
8611 3.9
8611 6.07
8611 2.59
8611 2.65
8611 2.9
8611 0.1
8611 1.51
8611 0.19
8612 1.09
8612 3.9
8612 6.07
8612 2.59
8612 2.65
8612 2.9
8612 0.1
8612 1.51
8612 0.19
8622 1.09
8622 3.9
8622 6.07
8622 2.59
8622 2.65
8622 2.9
8622 0.1
8622 1.51
8622 0.19
8655 1.09
8655 3.9
8655 6.07
8655 2.59
8655 2.65
8655 2.9
8655 0.1
8655 1.51
8655 0.19
8657 1.09
8657 3.9
8657 6.07
8657 2.59
8657 2.65
8657 2.9
8657 0.1
8657 1.51
8657 0.19
8667 1.09
8667 3.9
8667 6.07
8667 2.59
8667 2.65
8667 2.9
8667 0.1
8667 1.51
8667 0.19
8699 1.09
8699 3.9
8699 6.07
8699 2.59
8699 2.65
8699 2.9
8699 0.1
8699 1.51
8699 0.19
8701 1.09
8701 3.9
8701 6.07
8701 2.59
8701 2.65
8701 2.9
8701 0.1
8701 1.51
8701 0.19
8709 1.09
8709 3.9
8709 6.07
8709 2.59
8709 2.65
8709 2.9
8709 0.1
8709 1.51
8709 0.19
8743 1.09
8743 3.9
8743 6.07
8743 2.59
8743 2.65
8743 2.9
8743 0.1
8743 1.51
8743 0.19
8744 1.09
8744 3.9
8744 6.07
8744 2.59
8744 2.65
8744 2.9
8744 0.1
8744 1.51
8744 0.19
8745 1.09
8745 3.9
8745 6.07
8745 2.59
8745 2.65
8745 2.9
8745 0.1
8745 1.51
8745 0.19
8746 1.09
8746 3.9
8746 6.07
8746 2.59
8746 2.65
8746 2.9
8746 0.1
8746 1.51
8746 0.19
8753 1.09
8753 3.9
8753 6.07
8753 2.59
8753 2.65
8753 2.9
8753 0.1
8753 1.51
8753 0.19
8789 1.09
8789 3.9
8789 6.07
8789 2.59
8789 2.65
8789 2.9
8789 0.1
8789 1.51
8789 0.19
8790 1.09
8790 3.9
8790 6.07
8790 2.59
8790 2.65
8790 2.9
8790 0.1
8790 1.51
8790 0.19
8791 1.09
8791 3.9
8791 6.07
8791 2.59
8791 2.65
8791 2.9
8791 0.1
8791 1.51
8791 0.19
8800 1.09
8800 3.9
8800 6.07
8800 2.59
8800 2.65
8800 2.9
8800 0.1
8800 1.51
8800 0.19
8835 1.09
8835 3.9
8835 6.07
8835 2.59
8835 2.65
8835 2.9
8835 0.1
8835 1.51
8835 0.19
8836 1.09
8836 3.9
8836 6.07
8836 2.59
8836 2.65
8836 2.9
8836 0.1
8836 1.51
8836 0.19
8841 1.09
8841 3.9
8841 6.07
8841 2.59
8841 2.65
8841 2.9
8841 0.1
8841 1.51
8841 0.19
8881 1.09
8881 3.9
8881 6.07
8881 2.59
8881 2.65
8881 2.9
8881 0.1
8881 1.51
8881 0.19
8882 1.09
8882 3.9
8882 6.07
8882 2.59
8882 2.65
8882 2.9
8882 0.1
8882 1.51
8882 0.19
8887 1.09
8887 3.9
8887 6.07
8887 2.59
8887 2.65
8887 2.9
8887 0.1
8887 1.51
8887 0.19
8888 1.09
8888 3.9
8888 6.07
8888 2.59
8888 2.65
8888 2.9
8888 0.1
8888 1.51
8888 0.19
8924 1.09
8924 3.9
8924 6.07
8924 2.59
8924 2.65
8924 2.9
8924 0.1
8924 1.51
8924 0.19
8925 1.09
8925 3.9
8925 6.07
8925 2.59
8925 2.65
8925 2.9
8925 0.1
8925 1.51
8925 0.19
8926 1.09
8926 3.9
8926 6.07
8926 2.59
8926 2.65
8926 2.9
8926 0.1
8926 1.51
8926 0.19
8928 1.09
8928 3.9
8928 6.07
8928 2.59
8928 2.65
8928 2.9
8928 0.1
8928 1.51
8928 0.19
8968 1.09
8968 3.9
8968 6.07
8968 2.59
8968 2.65
8968 2.9
8968 0.1
8968 1.51
8968 0.19
9007 1.09
9007 3.9
9007 6.07
9007 2.59
9007 2.65
9007 2.9
9007 0.1
9007 1.51
9007 0.19
9085 1.09
9085 3.9
9085 6.07
9085 2.59
9085 2.65
9085 2.9
9085 0.1
9085 1.51
9085 0.19
9129 1.09
9129 3.9
9129 6.07
9129 2.59
9129 2.65
9129 2.9
9129 0.1
9129 1.51
9129 0.19
9130 1.09
9130 3.9
9130 6.07
9130 2.59
9130 2.65
9130 2.9
9130 0.1
9130 1.51
9130 0.19
9171 1.09
9171 3.9
9171 6.07
9171 2.59
9171 2.65
9171 2.9
9171 0.1
9171 1.51
9171 0.19
9172 1.09
9172 3.9
9172 6.07
9172 2.59
9172 2.65
9172 2.9
9172 0.1
9172 1.51
9172 0.19
9173 1.09
9173 3.9
9173 6.07
9173 2.59
9173 2.65
9173 2.9
9173 0.1
9173 1.51
9173 0.19
9174 1.09
9174 3.9
9174 6.07
9174 2.59
9174 2.65
9174 2.9
9174 0.1
9174 1.51
9174 0.19
9216 1.09
9216 3.9
9216 6.07
9216 2.59
9216 2.65
9216 2.9
9216 0.1
9216 1.51
9216 0.19
9217 1.09
9217 3.9
9217 6.07
9217 2.59
9217 2.65
9217 2.9
9217 0.1
9217 1.51
9217 0.19
9259 1.09
9259 3.9
9259 6.07
9259 2.59
9259 2.65
9259 2.9
9259 0.1
9259 1.51
9259 0.19
9261 1.09
9261 3.9
9261 6.07
9261 2.59
9261 2.65
9261 2.9
9261 0.1
9261 1.51
9261 0.19
9306 1.09
9306 3.9
9306 6.07
9306 2.59
9306 2.65
9306 2.9
9306 0.1
9306 1.51
9306 0.19
