pt_graph met
6865 3
6921 3
6922 3
7041 3
7102 3
7227 3
7273 3
7290 3
7353 3
7403 3
7599 3
7666 3
7674 3
7732 3
7738 3
7739 3
7930 3
8055 3
8057 3
8508 3
8509 3
8520 3
8560 3
8561 3
8572 3
8610 3
8611 3
8612 3
8622 3
8655 3
8657 3
8667 3
8699 3
8701 3
8709 3
8743 3
8744 3
8745 3
8746 3
8753 3
8789 3
8790 3
8791 3
8800 3
8835 3
8836 3
8841 3
8881 3
8882 3
8887 3
8888 3
8924 3
8925 3
8926 3
8928 3
8968 3
9007 3
9085 3
9129 3
9130 3
9171 3
9172 3
9173 3
9174 3
9216 3
9217 3
9259 3
9261 3
9306 3
9308 3
9309 3
9310 3
9360 3
9361 3
9362 3
9412 3
9414 3
9416 3
9454 3
9472 3
9473 3
9477 3
9527 3
9529 3
9530 3
9531 3
9533 3
9534 3
9536 3
9540 3
9584 3
9585 3
9586 3
9595 3
9603 3
9605 3
9606 3
9607 3
9661 3
9671 3
9673 3
9674 3
9676 3
9678 3
9679 3
9680 3
9681 3
9682 3
9683 3
9684 3
9685 3
9686 3
9738 3
9751 3
9754 3
9757 3
9758 3
9759 3
9761 3
9762 3
9763 3
9836 3
9838 3
9839 3
9841 3
9842 3
9843 3
9844 3
9845 3
9846 3
9902 3
9909 3
9913 3
9915 3
9917 3
9919 3
9920 3
9922 3
9923 3
9924 3
9925 3
9926 3
9927 3
9928 3
9982 3
9993 3
9994 3
9995 3
9996 3
10001 3
10002 3
10004 3
10006 3
10007 3
10008 3
10072 3
10073 3
10075 3
10078 3
10084 3
10085 3
10086 3
10087 3
10088 3
10089 3
10090 3
10091 3
10092 3
10155 3
10157 3
10158 3
10159 3
10163 3
10164 3
10165 3
10166 3
10168 3
10170 3
10171 3
10172 3
10173 3
10175 3
10238 3
10240 3
10241 3
10246 3
10248 3
10249 3
10251 3
10253 3
10254 3
10255 3
10256 3
10257 3
10258 3
10308 3
10319 3
10320 3
10322 3
10323 3
10325 3
10329 3
10330 3
10332 3
10333 3
10336 3
10337 3
10338 3
10340 3
10404 3
10406 3
10413 3
10414 3
10415 3
10418 3
10419 3
10420 3
10421 3
10422 3
10423 3
10424 3
10425 3
10427 3
10502 3
10506 3
10510 3
10512 3
10513 3
10515 3
10517 3
10520 3
10521 3
10522 3
10524 3
10599 3
10601 3
10602 3
10603 3
10606 3
10607 3
10608 3
10609 3
10611 3
10613 3
10614 3
10615 3
10619 3
10620 3
10621 3
10623 3
10699 3
10700 3
10701 3
10706 3
10709 3
10711 3
10712 3
10713 3
10715 3
10718 3
10719 3
10720 3
10721 3
10800 3
10801 3
10805 3
10809 3
10810 3
10812 3
10813 3
10814 3
10815 3
10817 3
10818 3
10819 3
10820 3
10821 3
10822 3
10823 3
10900 3
10902 3
10911 3
10913 3
10914 3
10915 3
10916 3
10917 3
10918 3
10919 3
10920 3
10921 3
10923 3
10925 3
11015 3
11021 3
11022 3
11023 3
11025 3
11026 3
11027 3
11028 3
11029 3
11030 3
11031 3
11032 3
11033 3
11120 3
11121 3
11129 3
11130 3
11131 3
11132 3
11133 3
11134 3
11135 3
11136 3
11137 3
11138 3
11139 3
11140 3
11141 3
11142 3
11143 3
11144 3
11162 3
11187 3
11239 3
11241 3
11242 3
11244 3
11249 3
11251 3
11252 3
11253 3
11254 3
11255 3
11256 3
11257 3
11258 3
11260 3
11261 3
11262 3
11263 3
11264 3
11274 3
11285 3
11286 3
11364 3
11366 3
11367 3
11370 3
11373 3
11375 3
11376 3
11377 3
11378 3
11379 3
11380 3
11381 3
11383 3
11384 3
11385 3
11393 3
11394 3
11395 3
11396 3
11397 3
11398 3
11399 3
11400 3
11414 3
11490 3
11493 3
11495 3
11496 3
11497 3
11502 3
11503 3
11504 3
11506 3
11507 3
11508 3
11509 3
11510 3
11511 3
11512 3
11525 3
11527 3
11529 3
11531 3
11617 3
11618 3
11622 3
11623 3
11624 3
11629 3
11630 3
11631 3
11632 3
11634 3
11635 3
11636 3
11637 3
11638 3
11639 3
11640 3
11650 3
11652 3
11653 3
11654 3
11655 3
11656 3
11657 3
11658 3
11659 3
11660 3
11673 3
11744 3
11746 3
11747 3
11748 3
11750 3
11752 3
11754 3
11755 3
11759 3
11760 3
11761 3
11762 3
11763 3
11764 3
11765 3
11766 3
11767 3
11780 3
11781 3
11782 3
11783 3
11784 3
11785 3
11786 3
11787 3
11788 3
11789 3
11790 3
11791 3
11876 3
11877 3
11878 3
11881 3
11882 3
11886 3
11887 3
11889 3
11890 3
11891 3
11892 3
11893 3
11894 3
11895 3
11897 3
11898 3
11899 3
11900 3
11906 3
11907 3
11908 3
11909 3
11910 3
11911 3
11912 3
11913 3
11914 3
11915 3
11916 3
11917 3
11918 3
11919 3
11920 3
11921 3
11931 3
11932 3
11938 3
11940 3
11942 3
11999 3
12001 3
12002 3
12006 3
12007 3
12009 3
12010 3
12012 3
12013 3
12014 3
12015 3
12016 3
12017 3
12018 3
12020 3
12021 3
12023 3
12025 3
12026 3
12027 3
12029 3
12032 3
12033 3
12034 3
12035 3
12036 3
12038 3
12044 3
12045 3
12046 3
12055 3
12058 3
12059 3
12066 3
12070 3
12072 3
12122 3
12123 3
12125 3
12127 3
12128 3
12129 3
12131 3
12132 3
12133 3
12134 3
12137 3
12139 3
12148 3
12149 3
12150 3
12151 3
12152 3
12154 3
12155 3
12162 3
12165 3
12166 3
12167 3
12168 3
12178 3
12180 3
12181 3
12182 3
12184 3
12185 3
12194 3
12200 3
12203 3
12204 3
12246 3
12247 3
12248 3
12251 3
12252 3
12254 3
12256 3
12257 3
12275 3
12276 3
12277 3
12278 3
12280 3
12287 3
12288 3
12289 3
12290 3
12291 3
12292 3
12293 3
12305 3
12307 3
12312 3
12313 3
12316 3
12319 3
12321 3
12329 3
12333 3
12375 3
12378 3
12380 3
12385 3
12386 3
12387 3
12417 3
12418 3
12419 3
12420 3
12421 3
12422 3
12423 3
12424 3
12437 3
12438 3
12445 3
12462 3
12463 3
12510 3
12511 3
12515 3
12516 3
12517 3
12519 3
12549 3
12550 3
12551 3
12552 3
12553 3
12554 3
12556 3
12557 3
12565 3
12567 3
12568 3
12574 3
12575 3
12576 3
12585 3
12586 3
12587 3
12594 3
12634 3
12639 3
12641 3
12646 3
12647 3
12648 3
12672 3
12673 3
12674 3
12675 3
12676 3
12677 3
12678 3
12679 3
12685 3
12686 3
12687 3
12688 3
12694 3
12695 3
12696 3
12697 3
12698 3
12699 3
12707 3
12708 3
12710 3
12756 3
12757 3
12759 3
12761 3
12763 3
12764 3
12765 3
12789 3
12790 3
12791 3
12792 3
12793 3
12794 3
12795 3
12806 3
12807 3
12810 3
12811 3
12816 3
12818 3
12819 3
12820 3
12821 3
12822 3
12826 3
12827 3
12828 3
12829 3
12831 3
12873 3
12875 3
12876 3
12879 3
12881 3
12882 3
12883 3
12909 3
12927 3
12928 3
12929 3
12930 3
12931 3
12947 3
12948 3
12949 3
12994 3
12998 3
12999 3
13002 3
13003 3
13004 3
13005 3
13040 3
13041 3
13043 3
13044 3
13046 3
13064 3
13065 3
13066 3
