pt_graph freq
10176 1
10177 1
10331 1
10343 1
10429 1
10517 1
10521 1
10712 1
10713 1
10814 1
10917 1
10918 1
11024 1
11026 1
11027 1
11135 1
11137 1
11149 1
11150 1
11151 1
11153 1
11250 1
11262 1
11266 1
11268 1
11271 1
11272 1
11275 1
11276 1
11378 1
11379 1
11385 1
11394 1
11395 1
11396 1
11397 1
11398 1
11399 1
11400 1
11512 1
11513 1
11514 1
11515 1
11520 1
11521 1
11522 1
11523 1
11524 1
11525 1
11527 1
11528 1
11529 1
11530 1
11531 1
11532 1
11533 1
11639 1
11640 1
11641 1
11642 1
11643 1
11645 1
11647 1
11650 1
11651 1
11652 1
11653 1
11654 1
11656 1
11658 1
11659 1
11660 1
11664 1
11758 1
11768 1
11769 1
11772 1
11773 1
11776 1
11777 1
11779 1
11780 1
11781 1
11782 1
11783 1
11784 1
11785 1
11786 1
11787 1
11788 1
11789 1
11791 1
11794 1
11888 1
11892 1
11893 1
11896 1
11897 1
11905 1
11907 1
11909 1
11910 1
11911 1
11912 1
11913 1
11915 1
11916 1
11918 1
11919 1
11920 1
11921 1
11925 1
12017 1
12020 1
12021 1
12022 1
12023 1
12024 1
12028 1
12032 1
12033 1
12034 1
12035 1
12036 1
12037 1
12038 1
12040 1
12042 1
12043 1
12044 1
12045 1
12145 1
12146 1
12147 1
12148 1
12151 1
12154 1
12155 1
12156 1
12157 1
12158 1
12159 1
12160 1
12161 1
12162 1
12163 1
12164 1
12165 1
12166 1
12168 1
12175 1
12269 1
12273 1
12277 1
12280 1
12282 1
12283 1
12288 1
12289 1
12290 1
12291 1
12292 1
12298 1
12392 1
12409 1
12410 1
12411 1
12412 1
12413 1
12415 1
12417 1
12418 1
12419 1
12420 1
12421 1
12422 1
12424 1
12430 1
12539 1
12540 1
12543 1
12544 1
12546 1
12549 1
12550 1
12551 1
12552 1
12553 1
12554 1
12555 1
12556 1
12664 1
12669 1
12670 1
12671 1
12675 1
12677 1
12678 1
12786 1
12787 1
12788 1
12789 1
12790 1
12792 1
12793 1
12794 1
12815 1
12885 1
12905 1
12906 1
12907 1
12909 1
12914 1
12944 1
13022 1
13028 1
13052 1
13056 1
13057 1
