pt_graph cpue_kghour
8092 1.06
8092 0
8092 2.67
8092 2.07
8092 2
8092 2.36
8092 0
8092 0
8092 0
8093 1.06
8093 0
8093 2.67
8093 2.07
8093 2
8093 2.36
8093 0
8093 0
8093 0
8222 1.06
8222 0
8222 2.67
8222 2.07
8222 2
8222 2.36
8222 0
8222 0
8222 0
8271 1.06
8271 0
8271 2.67
8271 2.07
8271 2
8271 2.36
8271 0
8271 0
8271 0
8396 1.06
8396 0
8396 2.67
8396 2.07
8396 2
8396 2.36
8396 0
8396 0
8396 0
8397 1.06
8397 0
8397 2.67
8397 2.07
8397 2
8397 2.36
8397 0
8397 0
8397 0
8439 1.06
8439 0
8439 2.67
8439 2.07
8439 2
8439 2.36
8439 0
8439 0
8439 0
8450 1.06
8450 0
8450 2.67
8450 2.07
8450 2
8450 2.36
8450 0
8450 0
8450 0
8493 1.06
8493 0
8493 2.67
8493 2.07
8493 2
8493 2.36
8493 0
8493 0
8493 0
8496 1.06
8496 0
8496 2.67
8496 2.07
8496 2
8496 2.36
8496 0
8496 0
8496 0
8504 1.06
8504 0
8504 2.67
8504 2.07
8504 2
8504 2.36
8504 0
8504 0
8504 0
8607 1.06
8607 0
8607 2.67
8607 2.07
8607 2
8607 2.36
8607 0
8607 0
8607 0
8621 1.06
8621 0
8621 2.67
8621 2.07
8621 2
8621 2.36
8621 0
8621 0
8621 0
8704 1.06
8704 0
8704 2.67
8704 2.07
8704 2
8704 2.36
8704 0
8704 0
8704 0
8750 1.06
8750 0
8750 2.67
8750 2.07
8750 2
8750 2.36
8750 0
8750 0
8750 0
8757 1.06
8757 0
8757 2.67
8757 2.07
8757 2
8757 2.36
8757 0
8757 0
8757 0
8876 1.06
8876 0
8876 2.67
8876 2.07
8876 2
8876 2.36
8876 0
8876 0
8876 0
8891 1.06
8891 0
8891 2.67
8891 2.07
8891 2
8891 2.36
8891 0
8891 0
8891 0
8920 1.06
8920 0
8920 2.67
8920 2.07
8920 2
8920 2.36
8920 0
8920 0
8920 0
8921 1.06
8921 0
8921 2.67
8921 2.07
8921 2
8921 2.36
8921 0
8921 0
8921 0
8961 1.06
8961 0
8961 2.67
8961 2.07
8961 2
8961 2.36
8961 0
8961 0
8961 0
9010 1.06
9010 0
9010 2.67
9010 2.07
9010 2
9010 2.36
9010 0
9010 0
9010 0
9048 1.06
9048 0
9048 2.67
9048 2.07
9048 2
9048 2.36
9048 0
9048 0
9048 0
9169 1.06
9169 0
9169 2.67
9169 2.07
9169 2
9169 2.36
9169 0
9169 0
9169 0
9243 1.06
9243 0
9243 2.67
9243 2.07
9243 2
9243 2.36
9243 0
9243 0
9243 0
9244 1.06
9244 0
9244 2.67
9244 2.07
9244 2
9244 2.36
9244 0
9244 0
9244 0
9246 1.06
9246 0
9246 2.67
9246 2.07
9246 2
9246 2.36
9246 0
9246 0
9246 0
9251 1.06
9251 0
9251 2.67
9251 2.07
9251 2
9251 2.36
9251 0
9251 0
9251 0
9286 1.06
9286 0
9286 2.67
9286 2.07
9286 2
9286 2.36
9286 0
9286 0
9286 0
9348 1.06
9348 0
9348 2.67
9348 2.07
9348 2
9348 2.36
9348 0
9348 0
9348 0
9364 1.06
9364 0
9364 2.67
9364 2.07
9364 2
9364 2.36
9364 0
9364 0
9364 0
9451 1.06
9451 0
9451 2.67
9451 2.07
9451 2
9451 2.36
9451 0
9451 0
9451 0
9476 1.06
9476 0
9476 2.67
9476 2.07
9476 2
9476 2.36
9476 0
9476 0
9476 0
9514 1.06
9514 0
9514 2.67
9514 2.07
9514 2
9514 2.36
9514 0
9514 0
9514 0
9515 1.06
9515 0
9515 2.67
9515 2.07
9515 2
9515 2.36
9515 0
9515 0
9515 0
9520 1.06
9520 0
9520 2.67
9520 2.07
9520 2
9520 2.36
9520 0
9520 0
9520 0
9607 1.06
9607 0
9607 2.67
9607 2.07
9607 2
9607 2.36
9607 0
9607 0
9607 0
9685 1.06
9685 0
9685 2.67
9685 2.07
9685 2
9685 2.36
9685 0
9685 0
9685 0
9688 1.06
9688 0
9688 2.67
9688 2.07
9688 2
9688 2.36
9688 0
9688 0
9688 0
9689 1.06
9689 0
9689 2.67
9689 2.07
9689 2
9689 2.36
9689 0
9689 0
9689 0
9733 1.06
9733 0
9733 2.67
9733 2.07
9733 2
9733 2.36
9733 0
9733 0
9733 0
9737 1.06
9737 0
9737 2.67
9737 2.07
9737 2
9737 2.36
9737 0
9737 0
9737 0
9741 1.06
9741 0
9741 2.67
9741 2.07
9741 2
9741 2.36
9741 0
9741 0
9741 0
9810 1.06
9810 0
9810 2.67
9810 2.07
9810 2
9810 2.36
9810 0
9810 0
9810 0
9839 1.06
9839 0
9839 2.67
9839 2.07
9839 2
9839 2.36
9839 0
9839 0
9839 0
9844 1.06
9844 0
9844 2.67
9844 2.07
9844 2
9844 2.36
9844 0
9844 0
9844 0
9848 1.06
9848 0
9848 2.67
9848 2.07
9848 2
9848 2.36
9848 0
9848 0
9848 0
9930 1.06
9930 0
9930 2.67
9930 2.07
9930 2
9930 2.36
9930 0
9930 0
9930 0
9968 1.06
9968 0
9968 2.67
9968 2.07
9968 2
9968 2.36
9968 0
9968 0
9968 0
10005 1.06
10005 0
10005 2.67
10005 2.07
10005 2
10005 2.36
10005 0
10005 0
10005 0
10057 1.06
10057 0
10057 2.67
10057 2.07
10057 2
10057 2.36
10057 0
10057 0
10057 0
10087 1.06
10087 0
10087 2.67
10087 2.07
10087 2
10087 2.36
10087 0
10087 0
10087 0
10096 1.06
10096 0
10096 2.67
10096 2.07
10096 2
10096 2.36
10096 0
10096 0
10096 0
10136 1.06
10136 0
10136 2.67
10136 2.07
10136 2
10136 2.36
10136 0
10136 0
10136 0
10142 1.06
10142 0
10142 2.67
10142 2.07
10142 2
10142 2.36
10142 0
10142 0
10142 0
10155 1.06
10155 0
10155 2.67
10155 2.07
10155 2
10155 2.36
10155 0
10155 0
10155 0
10175 1.06
10175 0
10175 2.67
10175 2.07
10175 2
10175 2.36
10175 0
10175 0
10175 0
10213 1.06
10213 0
10213 2.67
10213 2.07
10213 2
10213 2.36
10213 0
10213 0
10213 0
10228 1.06
10228 0
10228 2.67
10228 2.07
10228 2
10228 2.36
10228 0
10228 0
10228 0
10256 1.06
10256 0
10256 2.67
