pt_graph freq
8162 1
8342 1
8384 1
8395 1
8505 1
8550 1
8552 1
8553 1
8568 1
8659 1
8709 1
8749 1
8796 1
8801 1
8802 1
8932 1
9006 1
9034 1
9074 1
9087 1
9166 1
9171 1
9345 1
9392 1
9533 1
9574 1
9590 1
9608 1
9610 1
9652 1
9661 1
9677 1
9686 1
9732 1
9740 1
9765 1
9768 1
9812 1
9818 1
9825 1
9886 1
9888 1
9977 1
10177 1
10301 1
10303 1
10314 1
10395 1
10424 1
10426 1
10488 1
10525 1
10620 1
10625 1
10824 1
10888 1
10897 1
11106 1
11261 1
11384 1
11508 1
11520 1
11612 1
11633 1
11739 1
11752 1
11772 1
11903 1
11990 1
12010 1
12025 1
12034 1
12108 1
12113 1
12138 1
12147 1
12156 1
12240 1
12259 1
12269 1
12272 1
12273 1
12277 1
12282 1
12367 1
12376 1
12410 1
12534 1
12630 1
12644 1
12651 1
12652 1
12656 1
12657 1
12759 1
12769 1
12877 1
12878 1
12998 1
13217 1
13297 1
13304 1
13316 1
13390 1
13397 1
13469 1
13531 1
13539 1
13602 1
13616 1
13670 1
13729 1
13836 1
13876 1
13926 1
13927 1
13977 1
13979 1
14097 1
14142 1
14254 1
14264 1
14311 1
14337 1
14355 1
14394 1
14430 1
14431 1
14606 1
14641 1
